fM0[-18.7236599045,18.8432999039]
fM1[-39.8401197968,39.7204797974]
fM2[-7.47749996185,7.38776996231]
fM3[-16.7994494858,16.9988494797]
fM4[-14.9549995422,15.2042495346]
fM5[-25.204160675,23.2101606216]
fM6[-37.447319809,37.6865998077]
fM7[-63.1699223633,63.8877623901]
fT0[-0.757719984055,0.671977985859]
fT1[-0.942164980173,0.924218980551]
fT2[-1.94414995909,1.77067196274]
fT5[-0.684340826511,0.770481629848]
fT6[-1.41773397017,1.45362596941]
fT7[-2.46458394814,2.78362394142]
fT8[-0.598200023174,0.597003623128]
fT9[-1.39978800774,1.4105556078]
