fM0[-14.3754001884,14.6082001915]
fM1[-30.1476003952,29.9148003922]
fM2[-5.90730007744,5.84910007668]
fM3[-6.79,6.79]
fM4[-11.4945,11.543]
fM5[-17.3823996582,16.9943996658]
fM6[-28.7508003769,29.216400383]
fM7[-45.7452015991,45.9198016052]
fT0[-0.531560015678,0.514100015163]
fT1[-0.710040020943,0.707130020857]
fT2[-1.42590004206,1.38516004086]
fT5[-0.498192014694,0.54009601593]
fT6[-1.14654003382,1.17564003468]
fT7[-1.80808005333,2.02536005974]
fT8[-0.289836008549,0.289836008549]
fT9[-0.764748022556,0.764748022556]
