fM0[-22.4070002937,22.6398002968]
fM1[-46.6764006119,46.4436006088]
fM2[-9.22470012093,9.13740011978]
fM3[-10.5245,10.573]
fM4[-17.945,17.945]
fM5[-27.004799469,26.5391994781]
fM6[-44.8140005875,45.2796005936]
fM7[-70.887602478,71.4114024963]
fT0[-0.83032002449,0.810920023918]
fT1[-1.11744003296,1.11162003279]
fT2[-2.22324006557,2.18250006437]
fT5[-0.78453602314,0.849720025063]
fT6[-1.80420005322,1.83912005424]
fT7[-2.87896008492,3.13504009247]
fT8[-0.455124013424,0.455124013424]
fT9[-1.27458003759,1.27458003759]
