fM0[-21.8832002869,22.1160002899]
fM1[-45.5124005966,45.2796005936]
fM2[-8.99190011787,8.93370011711]
fM3[-10.2335,10.282]
fM4[-17.5085,17.557]
fM5[-26.3839994812,25.9183994904]
fM6[-43.7664005737,44.2320005798]
fM7[-69.141602417,69.6654024353]
fT0[-0.810920023918,0.791520023346]
fT1[-1.0883400321,1.08543003201]
fT2[-2.17086006403,2.13012006283]
fT5[-0.765912022591,0.828768024445]
fT6[-1.76346005201,1.79838005304]
fT7[-2.80912008286,3.06520009041]
fT8[-0.444648013115,0.444648013115]
fT9[-1.24315203667,1.24315203667]
