fM0  -14.9549999237 15.493379921
fM1  -32.542079834 31.8242398376
fM2  -6.3708299675 6.19136996841
fM3  -10.3687996826 10.5681996765
fM4  -12.4624996185 12.612049614
fM5  -20.9768805618 19.2221605148
fM6  -29.9099998474 30.9867598419
fM7  -49.7104218597 50.4282618866
fT0  -0.801587983131 0.644061986446
fT1  -0.963101979733 0.930200980425
fT2  -2.02789795732 1.70486996412
fT5  -0.641270424843 0.787231230497
fT6  -1.33398597193 1.39380597067
fT7  -2.24125595284 2.77564794159
fT8  -0.410365215898 0.410365215898
fT9  -1.13777640629 1.13777640629
