fM0 -14.117519928 14.3567999268
fM1 -28.7135998535 28.4743198547
fM2 -5.83244997025 5.7427199707
fM3 -9.42164971161 9.47149971008
fM4 -11.0666996613 11.1165496597
fM5 -17.8662404785 16.988880455
fM6 -28.235039856 28.7135998535
fM7 -43.7882416382 43.9677016449
fT0 -0.522427989006 0.466595990181
fT1 -0.675965985775 0.664001986027
fT2 -1.38782397079 1.26818397331
fT5 -0.466596018076 0.519237620115
fT6 -1.11265197659 1.14256197596
fT7 -1.73079196358 1.95411995888
fT8 -0.334992012978 0.334992012978
fT9 -0.843462004662 0.847051204681
fM0[-14.117519928,14.3567999268]
fM1[-28.7135998535,28.4743198547]
fM2[-5.83244997025,5.7427199707]
fM3[-9.42164971161,9.47149971008]
fM4[-11.0666996613,11.1165496597]
fM5[-17.8662404785,16.988880455]
fM6[-28.235039856,28.7135998535]
fM7[-43.7882416382,43.9677016449]
fT0[-0.522427989006,0.466595990181]
fT1[-0.675965985775,0.664001986027]
fT2[-1.38782397079,1.26818397331]
fT5[-0.466596018076,0.519237620115]
fT6[-1.11265197659,1.14256197596]
fT7[-1.73079196358,1.95411995888]
fT8[-0.334992012978,0.334992012978]
fT9[-0.843462004662,0.847051204681]
