fM0[-9.8940001297,10.068600132]
fM1[-20.0208002625,19.7880002594]
fM2[-4.10310005379,4.04490005302]
fM3[-8.536,8.633]
fM4[-7.7115,7.8085]
fM5[-12.6487997513,11.8727997665]
fM6[-19.7880002594,20.137200264]
fM7[-30.2058010559,30.5550010681]
fT0[-0.376360011101,0.32786000967]
fT1[-0.483060014248,0.47433001399]
fT2[-1.00104002953,0.896280026436]
fT5[-0.332904009819,0.381792011261]
fT6[-0.843900024891,0.873000025749]
fT7[-1.24936003685,1.46664004326]
fT8[-0.231636006832,0.231636006832]
fT9[-0.656496019363,0.656496019363]
