fM0[-10.3596001358,10.4760001373]
fM1[-20.8356002731,20.6028002701]
fM2[-4.27770005608,4.21950005531]
fM3[-8.8755,8.9725]
fM4[-8.051,8.148]
fM5[-13.1919997406,12.4159997559]
fM6[-20.7192002716,20.9520002747]
fM7[-31.4280010986,31.7772011108]
fT0[-0.389940011501,0.343380010128]
fT1[-0.503430014849,0.494700014591]
fT2[-1.03596003056,0.931200027466]
fT5[-0.346872010231,0.395760011673]
fT6[-0.878820025921,0.907920026779]
fT7[-1.30368003845,1.52096004486]
fT8[-0.240948007107,0.240948007107]
fT9[-0.684432020187,0.684432020187]
