aQGC limits
fM0 -14.4513241692  14.691180172
fM1 -30.1019283524  29.7421443481
fM2 -5.96641806984  5.87647206879
fM3 -9.8940602417   9.99400024414
fM4 -11.4931002808  11.543070282
fM5 -18.4689128036  17.5094887619
fM6 -28.9026483383  29.3823603439
fM7 -46.0523515625  46.4121355591
fT0 -0.555666410923 0.495702409744
fT1 -0.713571585655 0.701578785896
fT2 -1.46911797047  1.33719717312
fT5 -0.49650192976  0.554067370892
fT6 -1.15730517673  1.19328357601
fT7 -1.83889603615  2.08674724102
fT8 -0.374175367355 0.374175367355
fT9 -0.910253537893 0.910253537893
