
fM0  -14.5712521706 14.7511441727
fM1  -29.982000351 29.7421443481
fM2  -5.99640007019 5.90645406914
fM3  -9.74415023804 9.79412023926
fM4  -11.4931002808 11.543070282
fM5  -18.4689128036 17.5894407654
fM6  -29.1425043411 29.5022883453
fM7  -45.8724595642 46.2322435608
fT0  -0.549670010805 0.493703609705
fT1  -0.710573385715 0.698580585957
fT2  -1.45712517071 1.33719717312
fT5  -0.494103369713 0.549270250797
fT6  -1.17529437637 1.21127277565
fT7  -1.83889603615 2.07075684071
fT8  -0.37897248745 0.37897248745
fT9  -0.939036258459 0.94263409853
