Scan on variable: photon_pt
isUpper WP: 0
                  WP       Passed Events
                  20            0.026559
                  30           0.0137638
                  40          0.00842547
                  50            0.005341
                  60          0.00362048
                  70          0.00260559
                  80          0.00194039
                  90          0.00148651
                 100          0.00116053
                 200         0.000195823
                 400         1.87906e-05
