pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	186.909	50.0327	0.267685	0.560699	0.0775785	3.777
20 <pt<25 	3<chiso range<9 	186.909	50.0327	0.267685	0.570829	0.0789884	3.83783
20 <pt<25 	3<chiso range<10 	186.909	50.0327	0.267685	0.555616	0.0768851	3.74495
20 <pt<25 	3<chiso range<11 	186.909	50.0327	0.267685	0.544616	0.0754684	3.6695
20 <pt<25 	3<chiso range<12 	186.909	50.0327	0.267685	0.545262	0.0755837	3.67245
20 <pt<25 	3<chiso range<13 	186.909	50.0327	0.267685	0.538262	0.0746601	3.62412
20 <pt<25 	4<chiso range<9 	186.909	50.0327	0.267685	0.585398	0.0810059	3.9221
20 <pt<25 	4<chiso range<10 	186.909	50.0327	0.267685	0.564391	0.0780455	3.80171
20 <pt<25 	4<chiso range<11 	186.909	50.0327	0.267685	0.550551	0.0762672	3.70888
20 <pt<25 	4<chiso range<12 	186.909	50.0327	0.267685	0.550693	0.0763195	3.7082
20 <pt<25 	4<chiso range<13 	186.909	50.0327	0.267685	0.542318	0.0752141	3.65135
20 <pt<25 	5<chiso range<10 	186.909	50.0327	0.267685	0.574274	0.0793914	3.86174
20 <pt<25 	5<chiso range<11 	186.909	50.0327	0.267685	0.556127	0.0770471	3.74371
20 <pt<25 	5<chiso range<12 	186.909	50.0327	0.267685	0.55561	0.0770109	3.73876
20 <pt<25 	5<chiso range<13 	186.909	50.0327	0.267685	0.545408	0.0756574	3.6708
20 <pt<25 	6<chiso range<11 	186.909	50.0327	0.267685	0.555738	0.077021	3.73993
20 <pt<25 	6<chiso range<12 	186.909	50.0327	0.267685	0.555139	0.0769733	3.73447
20 <pt<25 	6<chiso range<13 	186.909	50.0327	0.267685	0.543173	0.0753772	3.65479
20 <pt<25 	7<chiso range<12 	186.909	50.0327	0.267685	0.52274	0.0726017	3.51307
20 <pt<25 	7<chiso range<13 	186.909	50.0327	0.267685	0.513385	0.0713425	3.44395
20 <pt<25 	8<chiso range<13 	186.909	50.0327	0.267685	0.510666	0.0709784	3.42331
#######################################################################################
25 <pt<30 	3<chiso range<8 	102.211	23.7809	0.232665	0.473449	0.101096	2.38174
25 <pt<30 	3<chiso range<9 	102.211	23.7809	0.232665	0.47517	0.101538	2.38832
25 <pt<30 	3<chiso range<10 	102.211	23.7809	0.232665	0.472534	0.101011	2.37468
25 <pt<30 	3<chiso range<11 	102.211	23.7809	0.232665	0.465212	0.0993866	2.33982
25 <pt<30 	3<chiso range<12 	102.211	23.7809	0.232665	0.455591	0.0973988	2.2888
25 <pt<30 	3<chiso range<13 	102.211	23.7809	0.232665	0.445112	0.0952614	2.23015
25 <pt<30 	4<chiso range<9 	102.211	23.7809	0.232665	0.470421	0.100547	2.36463
25 <pt<30 	4<chiso range<10 	102.211	23.7809	0.232665	0.467992	0.100066	2.35172
25 <pt<30 	4<chiso range<11 	102.211	23.7809	0.232665	0.460121	0.098329	2.31322
25 <pt<30 	4<chiso range<12 	102.211	23.7809	0.232665	0.449767	0.0961884	2.25705
25 <pt<30 	4<chiso range<13 	102.211	23.7809	0.232665	0.438613	0.0938941	2.19341
25 <pt<30 	5<chiso range<10 	102.211	23.7809	0.232665	0.446179	0.095571	2.23409
25 <pt<30 	5<chiso range<11 	102.211	23.7809	0.232665	0.440452	0.0942618	2.20436
25 <pt<30 	5<chiso range<12 	102.211	23.7809	0.232665	0.43117	0.0923143	2.15032
25 <pt<30 	5<chiso range<13 	102.211	23.7809	0.232665	0.420687	0.0901307	2.08611
