pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	96.025	47.6045	46.1413	44.622	26.3376	0.515145	1.94432
20 <pt<25 	3<chiso range<9 	96.025	47.6045	46.1413	44.336	26.6513	0.568341	1.91923
20 <pt<25 	3<chiso range<10 	96.025	47.6045	46.1413	43.634	27.3601	0.701299	1.85883
20 <pt<25 	3<chiso range<11 	96.025	47.6045	46.1413	42.1469	28.8437	0.996849	1.72872
20 <pt<25 	3<chiso range<12 	96.025	47.6045	46.1413	40.9978	29.9819	1.23957	1.62679
20 <pt<25 	3<chiso range<13 	96.025	47.6045	46.1413	40.5681	30.4373	1.33447	1.58698
20 <pt<25 	4<chiso range<9 	96.025	47.6045	46.1413	42.9766	28.0166	0.829339	1.80118
20 <pt<25 	4<chiso range<10 	96.025	47.6045	46.1413	42.3236	28.6759	0.960761	1.74391
20 <pt<25 	4<chiso range<11 	96.025	47.6045	46.1413	40.7491	30.2441	1.29424	1.6039
20 <pt<25 	4<chiso range<12 	96.025	47.6045	46.1413	39.5732	31.4047	1.56006	1.49777
20 <pt<25 	4<chiso range<13 	96.025	47.6045	46.1413	39.2003	31.8057	1.64855	1.4621
20 <pt<25 	5<chiso range<10 	96.025	47.6045	46.1413	40.8173	30.1656	1.27893	1.61024
20 <pt<25 	5<chiso range<11 	96.025	47.6045	46.1413	39.1335	31.8436	1.66355	1.45726
20 <pt<25 	5<chiso range<12 	96.025	47.6045	46.1413	37.9357	33.0321	1.95735	1.34615
20 <pt<25 	5<chiso range<13 	96.025	47.6045	46.1413	37.6597	33.3345	2.02877	1.31883
20 <pt<25 	6<chiso range<11 	96.025	47.6045	46.1413	38	32.9752	1.94145	1.35192
20 <pt<25 	6<chiso range<12 	96.025	47.6045	46.1413	36.7422	34.2231	2.26924	1.2333
20 <pt<25 	6<chiso range<13 	96.025	47.6045	46.1413	36.5534	34.4406	2.32176	1.21365
20 <pt<25 	7<chiso range<12 	96.025	47.6045	46.1413	36.1884	34.7771	2.42119	1.18039
20 <pt<25 	7<chiso range<13 	96.025	47.6045	46.1413	36.0317	34.9723	2.46673	1.16297
20 <pt<25 	8<chiso range<13 	96.025	47.6045	46.1413	35.2045	35.8556	2.70701	1.07878
#######################################################################################
25 <pt<50 	3<chiso range<8 	131.699	55.7023	72.6332	45.8587	50.0947	1.48161	1.91721
25 <pt<50 	3<chiso range<9 	131.699	55.7023	72.6332	44.4229	51.5189	1.75094	1.81194
25 <pt<50 	3<chiso range<10 	131.699	55.7023	72.6332	43.1975	52.7426	1.99524	1.72042
25 <pt<50 	3<chiso range<11 	131.699	55.7023	72.6332	41.667	54.2612	2.31959	1.60384
25 <pt<50 	3<chiso range<12 	131.699	55.7023	72.6332	40.6244	55.3004	2.55476	1.52299
25 <pt<50 	3<chiso range<13 	131.699	55.7023	72.6332	39.2671	56.647	2.87844	1.4158
25 <pt<50 	4<chiso range<9 	131.699	55.7023	72.6332	43.3503	52.5635	1.96186	1.73143
25 <pt<50 	4<chiso range<10 	131.699	55.7023	72.6332	42.0939	53.8234	2.22529	1.6363
25 <pt<50 	4<chiso range<11 	131.699	55.7023	72.6332	40.4646	55.4468	2.59004	1.51016
25 <pt<50 	4<chiso range<12 	131.699	55.7023	72.6332	39.4008	56.5098	2.84475	1.42628
25 <pt<50 	4<chiso range<13 	131.699	55.7023	72.6332	37.9957	57.9098	3.20148	1.31315
25 <pt<50 	5<chiso range<10 	131.699	55.7023	72.6332	42.3029	53.6334	2.18195	1.65227
25 <pt<50 	5<chiso range<11 	131.699	55.7023	72.6332	40.3305	55.592	2.62265	1.49967
25 <pt<50 	5<chiso range<12 	131.699	55.7023	72.6332	39.1027	56.8166	2.91977	1.40253
25 <pt<50 	5<chiso range<13 	131.699	55.7023	72.6332	37.5233	58.3863	3.32869	1.27479
25 <pt<50 	6<chiso range<11 	131.699	55.7023	72.6332	38.186	57.7723	3.15938	1.32835
25 <pt<50 	6<chiso range<12 	131.699	55.7023	72.6332	37.0379	58.9068	3.468	1.23478
25 <pt<50 	6<chiso range<13 	131.699	55.7023	72.6332	35.4901	60.431	3.91417	1.10656
25 <pt<50 	7<chiso range<12 	131.699	55.7023	72.6332	34.6749	61.2463	4.16703	1.03766
25 <pt<50 	7<chiso range<13 	131.699	55.7023	72.6332	33.2292	62.6841	4.64255	0.913507
25 <pt<50 	8<chiso range<13 	131.699	55.7023	72.6332	31.8609	64.0499	5.13061	0.793516
#######################################################################################
