pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	50.0327	67.2146	9.25185	1.85713
20 <pt<25 	3<chiso range<9 	50.0327	68.4289	9.42001	1.95289
20 <pt<25 	3<chiso range<10 	50.0327	66.6053	9.16917	1.80743
20 <pt<25 	3<chiso range<11 	50.0327	65.2866	9.00035	1.69481
20 <pt<25 	3<chiso range<12 	50.0327	65.364	9.01413	1.70081
20 <pt<25 	3<chiso range<13 	50.0327	64.5249	8.90404	1.6276
20 <pt<25 	4<chiso range<9 	50.0327	70.1754	9.6606	2.08504
20 <pt<25 	4<chiso range<10 	50.0327	67.6572	9.30749	1.89358
20 <pt<25 	4<chiso range<11 	50.0327	65.9981	9.09558	1.75529
20 <pt<25 	4<chiso range<12 	50.0327	66.0151	9.10187	1.75595
20 <pt<25 	4<chiso range<13 	50.0327	65.0112	8.9701	1.66983
20 <pt<25 	5<chiso range<10 	50.0327	68.842	9.46797	1.98662
20 <pt<25 	5<chiso range<11 	50.0327	66.6665	9.18861	1.81026
20 <pt<25 	5<chiso range<12 	50.0327	66.6045	9.18433	1.80436
20 <pt<25 	5<chiso range<13 	50.0327	65.3816	9.02299	1.70109
20 <pt<25 	6<chiso range<11 	50.0327	66.6199	9.18553	1.8058
20 <pt<25 	6<chiso range<12 	50.0327	66.5481	9.17987	1.79909
20 <pt<25 	6<chiso range<13 	50.0327	65.1136	8.98961	1.67759
20 <pt<25 	7<chiso range<12 	50.0327	62.6642	8.65867	1.45883
20 <pt<25 	7<chiso range<13 	50.0327	61.5428	8.50854	1.35277
20 <pt<25 	8<chiso range<13 	50.0327	61.2169	8.46514	1.32121
#######################################################################################
25 <pt<30 	3<chiso range<8 	23.7809	31.0522	6.6067	1.10059
25 <pt<30 	3<chiso range<9 	23.7809	31.1651	6.63566	1.11281
25 <pt<30 	3<chiso range<10 	23.7809	30.9922	6.60123	1.09242
25 <pt<30 	3<chiso range<11 	23.7809	30.512	6.49504	1.03634
25 <pt<30 	3<chiso range<12 	23.7809	29.881	6.36516	0.958358
25 <pt<30 	3<chiso range<13 	23.7809	29.1937	6.22553	0.869452
25 <pt<30 	4<chiso range<9 	23.7809	30.8536	6.57089	1.07637
25 <pt<30 	4<chiso range<10 	23.7809	30.6944	6.53948	1.05719
25 <pt<30 	4<chiso range<11 	23.7809	30.1781	6.42594	0.995528
25 <pt<30 	4<chiso range<12 	23.7809	29.499	6.28608	0.909645
25 <pt<30 	4<chiso range<13 	23.7809	28.7675	6.13619	0.812654
25 <pt<30 	5<chiso range<10 	23.7809	29.2637	6.2458	0.877838
25 <pt<30 	5<chiso range<11 	23.7809	28.8881	6.16021	0.829063
25 <pt<30 	5<chiso range<12 	23.7809	28.2793	6.03295	0.745639
25 <pt<30 	5<chiso range<13 	23.7809	27.5917	5.89028	0.646964
25 <pt<30 	6<chiso range<11 	23.7809	28.9943	6.18189	0.843334
25 <pt<30 	6<chiso range<12 	23.7809	28.2522	6.02688	0.741893
25 <pt<30 	6<chiso range<13 	23.7809	27.4561	5.86193	0.626961
25 <pt<30 	7<chiso range<12 	23.7809	29.0526	6.19523	0.850929
25 <pt<30 	7<chiso range<13 	23.7809	27.9485	5.96633	0.69852
25 <pt<30 	8<chiso range<13 	23.7809	26.9966	5.76662	0.55764
#######################################################################################
30 <pt<40 	3<chiso range<8 	19.5915	23.1783	6.49976	0.551836
30 <pt<40 	3<chiso range<9 	19.5915	22.6542	6.36587	0.481113
30 <pt<40 	3<chiso range<10 	19.5915	21.6691	6.09045	0.341124
30 <pt<40 	3<chiso range<11 	19.5915	20.5987	5.79451	0.17382
30 <pt<40 	3<chiso range<12 	19.5915	20.3927	5.73642	0.139669
30 <pt<40 	3<chiso range<13 	19.5915	19.7778	5.56808	0.0334586
30 <pt<40 	4<chiso range<9 	19.5915	22.8136	6.41295	0.502436
30 <pt<40 	4<chiso range<10 	19.5915	21.6275	6.08026	0.334854
30 <pt<40 	4<chiso range<11 	19.5915	20.3914	5.73691	0.13943
30 <pt<40 	4<chiso range<12 	19.5915	20.1796	5.67819	0.103572
30 <pt<40 	4<chiso range<13 	19.5915	19.5069	5.49345	0.0154002
30 <pt<40 	5<chiso range<10 	19.5915	20.4411	5.74707	0.147832
30 <pt<40 	5<chiso range<11 	19.5915	19.2735	5.42462	0.0586216
30 <pt<40 	5<chiso range<12 	19.5915	19.1798	5.39887	0.0762567
30 <pt<40 	5<chiso range<13 	19.5915	18.5549	5.22748	0.198298
30 <pt<40 	6<chiso range<11 	19.5915	18.7212	5.27264	0.16506
30 <pt<40 	6<chiso range<12 	19.5915	18.6935	5.26496	0.170562
30 <pt<40 	6<chiso range<13 	19.5915	17.9916	5.07318	0.315364
30 <pt<40 	7<chiso range<12 	19.5915	18.3029	5.15847	0.249803
30 <pt<40 	7<chiso range<13 	19.5915	17.5317	4.94557	0.416494
30 <pt<40 	8<chiso range<13 	19.5915	16.4477	4.64214	0.677231
#######################################################################################
40 <pt<50 	3<chiso range<8 	6.20357	6.75182	3.00685	0.182334
40 <pt<50 	3<chiso range<9 	6.20357	6.39137	2.84858	0.0659276
40 <pt<50 	3<chiso range<10 	6.20357	6.60105	2.94004	0.135195
40 <pt<50 	3<chiso range<11 	6.20357	6.60997	2.94457	0.138017
40 <pt<50 	3<chiso range<12 	6.20357	6.49301	2.89402	0.100013
40 <pt<50 	3<chiso range<13 	6.20357	6.53024	2.91032	0.112245
40 <pt<50 	4<chiso range<9 	6.20357	6.18624	2.75709	0.00628561
40 <pt<50 	4<chiso range<10 	6.20357	6.45833	2.87607	0.0885792
40 <pt<50 	4<chiso range<11 	6.20357	6.4854	2.88885	0.0975579
40 <pt<50 	4<chiso range<12 	6.20357	6.36993	2.8392	0.058594
40 <pt<50 	4<chiso range<13 	6.20357	6.42447	2.86319	0.0771517
40 <pt<50 	5<chiso range<10 	6.20357	6.28027	2.79575	0.0274345
40 <pt<50 	5<chiso range<11 	6.20357	6.33607	2.82167	0.046958
40 <pt<50 	5<chiso range<12 	6.20357	6.22648	2.77502	0.0082558
40 <pt<50 	5<chiso range<13 	6.20357	6.30478	2.80961	0.0360228
40 <pt<50 	6<chiso range<11 	6.20357	6.21294	2.76766	0.00338553
40 <pt<50 	6<chiso range<12 	6.20357	6.10269	2.72092	0.0370757
40 <pt<50 	6<chiso range<13 	6.20357	6.21139	2.76887	0.00282426
40 <pt<50 	7<chiso range<12 	6.20357	6.11093	2.72559	0.033989
40 <pt<50 	7<chiso range<13 	6.20357	6.23717	2.78112	0.0120815
40 <pt<50 	8<chiso range<13 	6.20357	6.29718	2.8086	0.0333298
#######################################################################################
50 <pt<60 	3<chiso range<8 	2.71078	4.06244	2.35543	0.573849
50 <pt<60 	3<chiso range<9 	2.71078	3.64769	2.12208	0.441506
50 <pt<60 	3<chiso range<10 	2.71078	3.63786	2.11674	0.437975
50 <pt<60 	3<chiso range<11 	2.71078	3.4166	1.99094	0.354516
50 <pt<60 	3<chiso range<12 	2.71078	3.40154	1.98239	0.348448
50 <pt<60 	3<chiso range<13 	2.71078	3.43664	2.00221	0.362529
50 <pt<60 	4<chiso range<9 	2.71078	3.35602	1.95645	0.329801
50 <pt<60 	4<chiso range<10 	2.71078	3.38819	1.9748	0.343027
50 <pt<60 	4<chiso range<11 	2.71078	3.18744	1.86018	0.256244
50 <pt<60 	4<chiso range<12 	2.71078	3.1958	1.86468	0.260109
50 <pt<60 	4<chiso range<13 	2.71078	3.25612	1.89941	0.28711
50 <pt<60 	5<chiso range<10 	2.71078	3.34793	1.9518	0.326442
50 <pt<60 	5<chiso range<11 	2.71078	3.12142	1.82242	0.225327
50 <pt<60 	5<chiso range<12 	2.71078	3.1402	1.83304	0.234267
50 <pt<60 	5<chiso range<13 	2.71078	3.21362	1.87501	0.26818
50 <pt<60 	6<chiso range<11 	2.71078	3.02483	1.76713	0.177718
50 <pt<60 	6<chiso range<12 	2.71078	3.06112	1.78762	0.195981
50 <pt<60 	6<chiso range<13 	2.71078	3.15698	1.84265	0.242151
50 <pt<60 	7<chiso range<12 	2.71078	2.87798	1.68284	0.0993559
50 <pt<60 	7<chiso range<13 	2.71078	3.01444	1.76074	0.172462
50 <pt<60 	8<chiso range<13 	2.71078	2.85571	1.67008	0.0867803
#######################################################################################
60 <pt<400 	3<chiso range<8 	3.61437	3.38955	1.91199	0.117584
60 <pt<400 	3<chiso range<9 	3.61437	3.38693	1.9109	0.119022
60 <pt<400 	3<chiso range<10 	3.61437	3.46993	1.95768	0.0737812
60 <pt<400 	3<chiso range<11 	3.61437	3.26295	1.8416	0.190823
60 <pt<400 	3<chiso range<12 	3.61437	3.16356	1.78644	0.252351
60 <pt<400 	3<chiso range<13 	3.61437	3.0333	1.71259	0.339293
60 <pt<400 	4<chiso range<9 	3.61437	3.25756	1.83846	0.194081
60 <pt<400 	4<chiso range<10 	3.61437	3.37113	1.90229	0.127867
60 <pt<400 	4<chiso range<11 	3.61437	3.14839	1.77812	0.262063
60 <pt<400 	4<chiso range<12 	3.61437	3.07147	1.73388	0.313113
60 <pt<400 	4<chiso range<13 	3.61437	2.93198	1.65599	0.412074
60 <pt<400 	5<chiso range<10 	3.61437	3.38221	1.90841	0.121651
60 <pt<400 	5<chiso range<11 	3.61437	3.12329	1.76397	0.278395
60 <pt<400 	5<chiso range<12 	3.61437	3.03696	1.71483	0.336716
60 <pt<400 	5<chiso range<13 	3.61437	2.8895	1.63216	0.444117
