pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	67.8153	52.8759	14.2183	1.05072
20  <pt<25 	3<chiso range<9 	67.8153	51.6222	14.3358	1.12956
20  <pt<25 	3<chiso range<10 	67.8153	53.4906	14.1648	1.01129
20  <pt<25 	3<chiso range<11 	67.8153	54.737	14.0785	0.928955
20  <pt<25 	3<chiso range<12 	67.8153	54.6324	14.0943	0.935336
20  <pt<25 	3<chiso range<13 	67.8153	55.4439	14.0332	0.881581
20  <pt<25 	4<chiso range<9 	67.8153	49.9534	14.4893	1.23276
20  <pt<25 	4<chiso range<10 	67.8153	52.4633	14.2454	1.07768
20  <pt<25 	4<chiso range<11 	67.8153	54.032	14.1362	0.975036
20  <pt<25 	4<chiso range<12 	67.8153	53.9827	14.1488	0.977652
20  <pt<25 	4<chiso range<13 	67.8153	54.9553	14.0748	0.91369
20  <pt<25 	5<chiso range<10 	67.8153	51.2666	14.3508	1.15316
20  <pt<25 	5<chiso range<11 	67.8153	53.3402	14.201	1.0193
20  <pt<25 	5<chiso range<12 	67.8153	53.3694	14.207	1.01682
20  <pt<25 	5<chiso range<13 	67.8153	54.5618	14.1139	0.939039
20  <pt<25 	6<chiso range<11 	67.8153	53.3611	14.2059	1.01748
20  <pt<25 	6<chiso range<12 	67.8153	53.4005	14.211	1.01434
20  <pt<25 	6<chiso range<13 	67.8153	54.8065	14.0993	0.922656
20  <pt<25 	7<chiso range<12 	67.8153	57.247	13.8975	0.760446
20  <pt<25 	7<chiso range<13 	67.8153	58.3491	13.8114	0.68539
20  <pt<25 	8<chiso range<13 	67.8153	58.6673	13.7873	0.663509
#######################################################################################
25  <pt<30 	3<chiso range<8 	41.2175	34.5343	10.371	0.644412
25  <pt<30 	3<chiso range<9 	41.2175	34.4064	10.3978	0.655052
25  <pt<30 	3<chiso range<10 	41.2175	34.5755	10.3787	0.639965
25  <pt<30 	3<chiso range<11 	41.2175	35.0716	10.3031	0.59651
25  <pt<30 	3<chiso range<12 	41.2175	35.7003	10.2255	0.539553
25  <pt<30 	3<chiso range<13 	41.2175	36.3789	10.1467	0.476864
25  <pt<30 	4<chiso range<9 	41.2175	34.7175	10.3575	0.627565
25  <pt<30 	4<chiso range<10 	41.2175	34.8726	10.3408	0.613579
25  <pt<30 	4<chiso range<11 	41.2175	35.4072	10.2607	0.566267
25  <pt<30 	4<chiso range<12 	41.2175	36.0832	10.1779	0.504456
25  <pt<30 	4<chiso range<13 	41.2175	36.8048	10.093	0.437204
25  <pt<30 	5<chiso range<10 	41.2175	36.2979	10.1675	0.483855
25  <pt<30 	5<chiso range<11 	41.2175	36.6877	10.1054	0.448255
25  <pt<30 	5<chiso range<12 	41.2175	37.2948	10.0303	0.391085
25  <pt<30 	5<chiso range<13 	41.2175	37.9783	9.95014	0.325543
25  <pt<30 	6<chiso range<11 	41.2175	36.5832	10.1175	0.458048
25  <pt<30 	6<chiso range<12 	41.2175	37.3229	10.0261	0.388446
25  <pt<30 	6<chiso range<13 	41.2175	38.1132	9.93386	0.312497
25  <pt<30 	7<chiso range<12 	41.2175	36.5218	10.1273	0.463668
25  <pt<30 	7<chiso range<13 	41.2175	37.6206	9.99644	0.359818
25  <pt<30 	8<chiso range<13 	41.2175	38.5689	9.88074	0.268057
#######################################################################################
30  <pt<40 	3<chiso range<8 	45.2287	42.0055	10.2509	0.314431
30  <pt<40 	3<chiso range<9 	45.2287	42.4413	10.184	0.273704
30  <pt<40 	3<chiso range<10 	45.2287	43.4472	10.0107	0.17796
30  <pt<40 	3<chiso range<11 	45.2287	44.5025	9.83864	0.073811
30  <pt<40 	3<chiso range<12 	45.2287	44.7047	9.80436	0.0534456
30  <pt<40 	3<chiso range<13 	45.2287	45.298	9.71307	0.00713472
30  <pt<40 	4<chiso range<9 	45.2287	42.31	10.2218	0.285537
30  <pt<40 	4<chiso range<10 	45.2287	43.4816	10.0071	0.174586
30  <pt<40 	4<chiso range<11 	45.2287	44.7016	9.80613	0.0537521
30  <pt<40 	4<chiso range<12 	45.2287	44.9099	9.77275	0.0326213
30  <pt<40 	4<chiso range<13 	45.2287	45.56	9.67257	0.0342515
30  <pt<40 	5<chiso range<10 	45.2287	44.6723	9.8053	0.0567448
30  <pt<40 	5<chiso range<11 	45.2287	45.8151	9.62635	0.0609161
30  <pt<40 	5<chiso range<12 	45.2287	45.9047	9.61281	0.0703228
30  <pt<40 	5<chiso range<13 	45.2287	46.5019	9.52397	0.133684
30  <pt<40 	6<chiso range<11 	45.2287	46.347	9.54609	0.117147
30  <pt<40 	6<chiso range<12 	45.2287	46.3731	9.54211	0.119932
30  <pt<40 	6<chiso range<13 	45.2287	47.0761	9.44807	0.195532
30  <pt<40 	7<chiso range<12 	45.2287	46.7371	9.4897	0.158951
30  <pt<40 	7<chiso range<13 	45.2287	47.5221	9.38382	0.244399
30  <pt<40 	8<chiso range<13 	45.2287	48.6037	9.22883	0.365702
#######################################################################################
40  <pt<50 	3<chiso range<8 	24.5012	23.8996	6.1568	0.0977131
40  <pt<50 	3<chiso range<9 	24.5012	24.2558	6.08201	0.0403485
40  <pt<50 	3<chiso range<10 	24.5012	24.0505	6.12393	0.0735965
40  <pt<50 	3<chiso range<11 	24.5012	24.0401	6.12701	0.0752569
40  <pt<50 	3<chiso range<12 	24.5012	24.1534	6.10441	0.0569752
40  <pt<50 	3<chiso range<13 	24.5012	24.1168	6.112	0.0628927
40  <pt<50 	4<chiso range<9 	24.5012	24.4614	6.03793	0.00659166
40  <pt<50 	4<chiso range<10 	24.5012	24.195	6.09184	0.050264
40  <pt<50 	4<chiso range<11 	24.5012	24.1659	6.09918	0.0549746
40  <pt<50 	4<chiso range<12 	24.5012	24.2768	6.07771	0.0369218
40  <pt<50 	4<chiso range<13 	24.5012	24.223	6.0889	0.0456897
40  <pt<50 	5<chiso range<10 	24.5012	24.3763	6.05142	0.0206398
40  <pt<50 	5<chiso range<11 	24.5012	24.3175	6.0655	0.030286
40  <pt<50 	5<chiso range<12 	24.5012	24.4211	6.04648	0.0132474
40  <pt<50 	5<chiso range<13 	24.5012	24.3436	6.06259	0.0259955
40  <pt<50 	6<chiso range<11 	24.5012	24.4384	6.0409	0.0103958
40  <pt<50 	6<chiso range<12 	24.5012	24.5418	6.02246	0.00674143
40  <pt<50 	6<chiso range<13 	24.5012	24.4346	6.04443	0.0110184
40  <pt<50 	7<chiso range<12 	24.5012	24.5307	6.02622	0.00489527
40  <pt<50 	7<chiso range<13 	24.5012	24.4067	6.05144	0.0156161
40  <pt<50 	8<chiso range<13 	24.5012	24.3446	6.06574	0.0258171
#######################################################################################
50  <pt<60 	3<chiso range<8 	14.6924	13.4318	4.6355	0.271945
50  <pt<60 	3<chiso range<9 	14.6924	13.8467	4.52384	0.186943
50  <pt<60 	3<chiso range<10 	14.6924	13.8586	4.52098	0.184429
50  <pt<60 	3<chiso range<11 	14.6924	14.0773	4.46378	0.137798
50  <pt<60 	3<chiso range<12 	14.6924	14.0966	4.45875	0.133625
50  <pt<60 	3<chiso range<13 	14.6924	14.0555	4.46923	0.142508
50  <pt<60 	4<chiso range<9 	14.6924	14.1379	4.4482	0.124657
50  <pt<60 	4<chiso range<10 	14.6924	14.1088	4.45564	0.13098
50  <pt<60 	4<chiso range<11 	14.6924	14.3051	4.40566	0.0879096
50  <pt<60 	4<chiso range<12 	14.6924	14.3023	4.40587	0.088541
50  <pt<60 	4<chiso range<13 	14.6924	14.2347	4.42349	0.10347
50  <pt<60 	5<chiso range<10 	14.6924	14.1447	4.44644	0.123177
50  <pt<60 	5<chiso range<11 	14.6924	14.3663	4.39039	0.0742759
50  <pt<60 	5<chiso range<12 	14.6924	14.354	4.39316	0.0770288
50  <pt<60 	5<chiso range<13 	14.6924	14.2738	4.41346	0.0948462
50  <pt<60 	6<chiso range<11 	14.6924	14.4607	4.36689	0.0530584
50  <pt<60 	6<chiso range<12 	14.6924	14.4329	4.37322	0.0593384
50  <pt<60 	6<chiso range<13 	14.6924	14.3291	4.39957	0.0825763
50  <pt<60 	7<chiso range<12 	14.6924	14.6054	4.33111	0.0200872
50  <pt<60 	7<chiso range<13 	14.6924	14.464	4.36553	0.052319
50  <pt<60 	8<chiso range<13 	14.6924	14.626	4.32614	0.0153486
#######################################################################################
60  <pt<400 	3<chiso range<8 	35.9122	36.2824	6.38495	0.0579801
60  <pt<400 	3<chiso range<9 	35.9122	36.2832	6.38525	0.0581027
60  <pt<400 	3<chiso range<10 	35.9122	36.1983	6.40039	0.0447004
60  <pt<400 	3<chiso range<11 	35.9122	36.4053	6.36397	0.0774831
60  <pt<400 	3<chiso range<12 	35.9122	36.484	6.33949	0.0901965
60  <pt<400 	3<chiso range<13 	35.9122	36.6366	6.32509	0.114528
60  <pt<400 	4<chiso range<9 	35.9122	36.4114	6.36274	0.0784568
60  <pt<400 	4<chiso range<10 	35.9122	36.2971	6.38297	0.0603011
60  <pt<400 	4<chiso range<11 	35.9122	36.4972	6.33721	0.0923119
60  <pt<400 	4<chiso range<12 	35.9122	36.5623	6.31968	0.102869
60  <pt<400 	4<chiso range<13 	35.9122	36.696	6.29495	0.124513
60  <pt<400 	5<chiso range<10 	35.9122	36.286	6.38492	0.0585442
60  <pt<400 	5<chiso range<11 	35.9122	36.5221	6.33295	0.0963058
60  <pt<400 	5<chiso range<12 	35.9122	36.6317	6.3259	0.113739
60  <pt<400 	5<chiso range<13 	35.9122	36.7386	6.28844	0.131416
60  <pt<400 	6<chiso range<11 	35.9122	36.421	6.36118	0.0799852
60  <pt<400 	6<chiso range<12 	35.9122	36.5399	6.32992	0.099164
60  <pt<400 	6<chiso range<13 	35.9122	36.6963	6.29485	0.124562
60  <pt<400 	7<chiso range<12 	35.9122	36.6639	6.31902	0.118958
60  <pt<400 	7<chiso range<13 	35.9122	36.8202	6.27412	0.144721
60  <pt<400 	8<chiso range<13 	35.9122	36.9525	6.27508	0.165783
#######################################################################################
