pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	186.909	50.0327	67.8153	67.2146	52.8759	1.85713	1.05072
20 <pt<25 	3<chiso range<9 	186.909	50.0327	67.8153	68.4289	51.6222	1.95289	1.12956
20 <pt<25 	3<chiso range<10 	186.909	50.0327	67.8153	66.6053	53.4906	1.80743	1.01129
20 <pt<25 	3<chiso range<11 	186.909	50.0327	67.8153	65.2866	54.737	1.69481	0.928955
20 <pt<25 	3<chiso range<12 	186.909	50.0327	67.8153	65.364	54.6324	1.70081	0.935336
20 <pt<25 	3<chiso range<13 	186.909	50.0327	67.8153	64.5249	55.4439	1.6276	0.881581
20 <pt<25 	4<chiso range<9 	186.909	50.0327	67.8153	70.1754	49.9534	2.08504	1.23276
20 <pt<25 	4<chiso range<10 	186.909	50.0327	67.8153	67.6572	52.4633	1.89358	1.07768
20 <pt<25 	4<chiso range<11 	186.909	50.0327	67.8153	65.9981	54.032	1.75529	0.975036
20 <pt<25 	4<chiso range<12 	186.909	50.0327	67.8153	66.0151	53.9827	1.75595	0.977652
20 <pt<25 	4<chiso range<13 	186.909	50.0327	67.8153	65.0112	54.9553	1.66983	0.91369
20 <pt<25 	5<chiso range<10 	186.909	50.0327	67.8153	68.842	51.2666	1.98662	1.15316
20 <pt<25 	5<chiso range<11 	186.909	50.0327	67.8153	66.6665	53.3402	1.81026	1.0193
20 <pt<25 	5<chiso range<12 	186.909	50.0327	67.8153	66.6045	53.3694	1.80436	1.01682
20 <pt<25 	5<chiso range<13 	186.909	50.0327	67.8153	65.3816	54.5618	1.70109	0.939039
20 <pt<25 	6<chiso range<11 	186.909	50.0327	67.8153	66.6199	53.3611	1.8058	1.01748
20 <pt<25 	6<chiso range<12 	186.909	50.0327	67.8153	66.5481	53.4005	1.79909	1.01434
20 <pt<25 	6<chiso range<13 	186.909	50.0327	67.8153	65.1136	54.8065	1.67759	0.922656
20 <pt<25 	7<chiso range<12 	186.909	50.0327	67.8153	62.6642	57.247	1.45883	0.760446
20 <pt<25 	7<chiso range<13 	186.909	50.0327	67.8153	61.5428	58.3491	1.35277	0.68539
20 <pt<25 	8<chiso range<13 	186.909	50.0327	67.8153	61.2169	58.6673	1.32121	0.663509
#######################################################################################
25 <pt<30 	3<chiso range<8 	102.211	23.7809	41.2175	31.0522	34.5343	1.10059	0.644412
25 <pt<30 	3<chiso range<9 	102.211	23.7809	41.2175	31.1651	34.4064	1.11281	0.655052
25 <pt<30 	3<chiso range<10 	102.211	23.7809	41.2175	30.9922	34.5755	1.09242	0.639965
25 <pt<30 	3<chiso range<11 	102.211	23.7809	41.2175	30.512	35.0716	1.03634	0.59651
25 <pt<30 	3<chiso range<12 	102.211	23.7809	41.2175	29.881	35.7003	0.958358	0.539553
25 <pt<30 	3<chiso range<13 	102.211	23.7809	41.2175	29.1937	36.3789	0.869452	0.476864
25 <pt<30 	4<chiso range<9 	102.211	23.7809	41.2175	30.8536	34.7175	1.07637	0.627565
25 <pt<30 	4<chiso range<10 	102.211	23.7809	41.2175	30.6944	34.8726	1.05719	0.613579
25 <pt<30 	4<chiso range<11 	102.211	23.7809	41.2175	30.1781	35.4072	0.995528	0.566267
25 <pt<30 	4<chiso range<12 	102.211	23.7809	41.2175	29.499	36.0832	0.909645	0.504456
25 <pt<30 	4<chiso range<13 	102.211	23.7809	41.2175	28.7675	36.8048	0.812654	0.437204
25 <pt<30 	5<chiso range<10 	102.211	23.7809	41.2175	29.2637	36.2979	0.877838	0.483855
25 <pt<30 	5<chiso range<11 	102.211	23.7809	41.2175	28.8881	36.6877	0.829063	0.448255
25 <pt<30 	5<chiso range<12 	102.211	23.7809	41.2175	28.2793	37.2948	0.745639	0.391085
25 <pt<30 	5<chiso range<13 	102.211	23.7809	41.2175	27.5917	37.9783	0.646964	0.325543
25 <pt<30 	6<chiso range<11 	102.211	23.7809	41.2175	28.9943	36.5832	0.843334	0.458048
25 <pt<30 	6<chiso range<12 	102.211	23.7809	41.2175	28.2522	37.3229	0.741893	0.388446
25 <pt<30 	6<chiso range<13 	102.211	23.7809	41.2175	27.4561	38.1132	0.626961	0.312497
25 <pt<30 	7<chiso range<12 	102.211	23.7809	41.2175	29.0526	36.5218	0.850929	0.463668
25 <pt<30 	7<chiso range<13 	102.211	23.7809	41.2175	27.9485	37.6206	0.69852	0.359818
25 <pt<30 	8<chiso range<13 	102.211	23.7809	41.2175	26.9966	38.5689	0.55764	0.268057
#######################################################################################
30 <pt<40 	3<chiso range<8 	101.674	19.5915	45.2287	23.1783	42.0055	0.551836	0.314431
30 <pt<40 	3<chiso range<9 	101.674	19.5915	45.2287	22.6542	42.4413	0.481113	0.273704
30 <pt<40 	3<chiso range<10 	101.674	19.5915	45.2287	21.6691	43.4472	0.341124	0.17796
30 <pt<40 	3<chiso range<11 	101.674	19.5915	45.2287	20.5987	44.5025	0.17382	0.073811
30 <pt<40 	3<chiso range<12 	101.674	19.5915	45.2287	20.3927	44.7047	0.139669	0.0534456
30 <pt<40 	3<chiso range<13 	101.674	19.5915	45.2287	19.7778	45.298	0.0334586	0.00713472
30 <pt<40 	4<chiso range<9 	101.674	19.5915	45.2287	22.8136	42.31	0.502436	0.285537
30 <pt<40 	4<chiso range<10 	101.674	19.5915	45.2287	21.6275	43.4816	0.334854	0.174586
30 <pt<40 	4<chiso range<11 	101.674	19.5915	45.2287	20.3914	44.7016	0.13943	0.0537521
