pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	96.025	47.6045	0.495751	0.628691	0.0826145	1.60916
20 <pt<25 	3<chiso range<9 	96.025	47.6045	0.495751	0.624661	0.0820631	1.57086
20 <pt<25 	3<chiso range<10 	96.025	47.6045	0.495751	0.61477	0.0807881	1.47322
20 <pt<25 	3<chiso range<11 	96.025	47.6045	0.495751	0.593817	0.0781205	1.25532
20 <pt<25 	3<chiso range<12 	96.025	47.6045	0.495751	0.577627	0.0760499	1.07661
20 <pt<25 	3<chiso range<13 	96.025	47.6045	0.495751	0.571574	0.0752364	1.0078
20 <pt<25 	4<chiso range<9 	96.025	47.6045	0.495751	0.605507	0.0796251	1.37841
20 <pt<25 	4<chiso range<10 	96.025	47.6045	0.495751	0.596307	0.0784311	1.28209
20 <pt<25 	4<chiso range<11 	96.025	47.6045	0.495751	0.574123	0.0755795	1.03695
20 <pt<25 	4<chiso range<12 	96.025	47.6045	0.495751	0.557556	0.073455	0.841398
20 <pt<25 	4<chiso range<13 	96.025	47.6045	0.495751	0.552302	0.0727404	0.777434
20 <pt<25 	5<chiso range<10 	96.025	47.6045	0.495751	0.575086	0.075723	1.0477
20 <pt<25 	5<chiso range<11 	96.025	47.6045	0.495751	0.551362	0.0726564	0.765396
20 <pt<25 	5<chiso range<12 	96.025	47.6045	0.495751	0.534485	0.070481	0.549565
20 <pt<25 	5<chiso range<13 	96.025	47.6045	0.495751	0.530596	0.0699412	0.498203
20 <pt<25 	6<chiso range<11 	96.025	47.6045	0.495751	0.535391	0.0705858	0.561585
20 <pt<25 	6<chiso range<12 	96.025	47.6045	0.495751	0.51767	0.0682972	0.320934
20 <pt<25 	6<chiso range<13 	96.025	47.6045	0.495751	0.51501	0.0679132	0.283581
20 <pt<25 	7<chiso range<12 	96.025	47.6045	0.495751	0.509868	0.0672742	0.209841
20 <pt<25 	7<chiso range<13 	96.025	47.6045	0.495751	0.50766	0.0669396	0.177905
20 <pt<25 	8<chiso range<13 	96.025	47.6045	0.495751	0.496005	0.0653592	0.00388459
#######################################################################################
