pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	47.6045	44.622	5.78963	0.515145
20 <pt<25 	3<chiso range<9 	47.6045	44.336	5.75095	0.568341
20 <pt<25 	3<chiso range<10 	47.6045	43.634	5.66164	0.701299
20 <pt<25 	3<chiso range<11 	47.6045	42.1469	5.47485	0.996849
20 <pt<25 	3<chiso range<12 	47.6045	40.9978	5.32985	1.23957
20 <pt<25 	3<chiso range<13 	47.6045	40.5681	5.2728	1.33447
20 <pt<25 	4<chiso range<9 	47.6045	42.9766	5.58023	0.829339
20 <pt<25 	4<chiso range<10 	47.6045	42.3236	5.49658	0.960761
20 <pt<25 	4<chiso range<11 	47.6045	40.7491	5.29686	1.29424
20 <pt<25 	4<chiso range<12 	47.6045	39.5732	5.14807	1.56006
20 <pt<25 	4<chiso range<13 	47.6045	39.2003	5.09795	1.64855
20 <pt<25 	5<chiso range<10 	47.6045	40.8173	5.30695	1.27893
20 <pt<25 	5<chiso range<11 	47.6045	39.1335	5.09213	1.66355
20 <pt<25 	5<chiso range<12 	47.6045	37.9357	4.93975	1.95735
20 <pt<25 	5<chiso range<13 	47.6045	37.6597	4.90188	2.02877
20 <pt<25 	6<chiso range<11 	47.6045	38	4.94708	1.94145
20 <pt<25 	6<chiso range<12 	47.6045	36.7422	4.78676	2.26924
20 <pt<25 	6<chiso range<13 	47.6045	36.5534	4.75979	2.32176
20 <pt<25 	7<chiso range<12 	47.6045	36.1884	4.71507	2.42119
20 <pt<25 	7<chiso range<13 	47.6045	36.0317	4.69155	2.46673
20 <pt<25 	8<chiso range<13 	47.6045	35.2045	4.5807	2.70701
#######################################################################################
25 <pt<50 	3<chiso range<8 	55.7023	45.8587	6.64387	1.48161
25 <pt<50 	3<chiso range<9 	55.7023	44.4229	6.44191	1.75094
25 <pt<50 	3<chiso range<10 	55.7023	43.1975	6.26731	1.99524
25 <pt<50 	3<chiso range<11 	55.7023	41.667	6.05078	2.31959
25 <pt<50 	3<chiso range<12 	55.7023	40.6244	5.90189	2.55476
25 <pt<50 	3<chiso range<13 	55.7023	39.2671	5.70976	2.87844
25 <pt<50 	4<chiso range<9 	55.7023	43.3503	6.29607	1.96186
25 <pt<50 	4<chiso range<10 	55.7023	42.0939	6.11534	2.22529
25 <pt<50 	4<chiso range<11 	55.7023	40.4646	5.8832	2.59004
