pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	46.1413	26.3376	10.1854	1.94432
20  <pt<25 	3<chiso range<9 	46.1413	26.6513	10.1551	1.91923
20  <pt<25 	3<chiso range<10 	46.1413	27.3601	10.1038	1.85883
20  <pt<25 	3<chiso range<11 	46.1413	28.8437	10.006	1.72872
20  <pt<25 	3<chiso range<12 	46.1413	29.9819	9.93328	1.62679
20  <pt<25 	3<chiso range<13 	46.1413	30.4373	9.89552	1.58698
20  <pt<25 	4<chiso range<9 	46.1413	28.0166	10.0627	1.80118
20  <pt<25 	4<chiso range<10 	46.1413	28.6759	10.0151	1.74391
20  <pt<25 	4<chiso range<11 	46.1413	30.2441	9.91158	1.6039
20  <pt<25 	4<chiso range<12 	46.1413	31.4047	9.83906	1.49777
20  <pt<25 	4<chiso range<13 	46.1413	31.8057	9.80482	1.4621
20  <pt<25 	5<chiso range<10 	46.1413	30.1656	9.92129	1.61024
20  <pt<25 	5<chiso range<11 	46.1413	31.8436	9.81136	1.45726
20  <pt<25 	5<chiso range<12 	46.1413	33.0321	9.73826	1.34615
20  <pt<25 	5<chiso range<13 	46.1413	33.3345	9.71072	1.31883
20  <pt<25 	6<chiso range<11 	46.1413	32.9752	9.73883	1.35192
20  <pt<25 	6<chiso range<12 	46.1413	34.2231	9.66369	1.2333
20  <pt<25 	6<chiso range<13 	46.1413	34.4406	9.64092	1.21365
20  <pt<25 	7<chiso range<12 	46.1413	34.7771	9.62753	1.18039
20  <pt<25 	7<chiso range<13 	46.1413	34.9723	9.6039	1.16297
20  <pt<25 	8<chiso range<13 	46.1413	35.8556	9.53455	1.07878
#######################################################################################
25  <pt<50 	3<chiso range<8 	72.6332	50.0947	11.7559	1.91721
25  <pt<50 	3<chiso range<9 	72.6332	51.5189	11.6529	1.81194
25  <pt<50 	3<chiso range<10 	72.6332	52.7426	11.5615	1.72042
25  <pt<50 	3<chiso range<11 	72.6332	54.2612	11.455	1.60384
25  <pt<50 	3<chiso range<12 	72.6332	55.3004	11.3808	1.52299
25  <pt<50 	3<chiso range<13 	72.6332	56.647	11.2913	1.4158
25  <pt<50 	4<chiso range<9 	72.6332	52.5635	11.5914	1.73143
25  <pt<50 	4<chiso range<10 	72.6332	53.8234	11.4953	1.6363
25  <pt<50 	4<chiso range<11 	72.6332	55.4468	11.3805	1.51016
25  <pt<50 	4<chiso range<12 	72.6332	56.5098	11.3045	1.42628
25  <pt<50 	4<chiso range<13 	72.6332	57.9098	11.2123	1.31315
25  <pt<50 	5<chiso range<10 	72.6332	53.6334	11.4992	1.65227
25  <pt<50 	5<chiso range<11 	72.6332	55.592	11.3633	1.49967
25  <pt<50 	5<chiso range<12 	72.6332	56.8166	11.2772	1.40253
25  <pt<50 	5<chiso range<13 	72.6332	58.3863	11.1759	1.27479
25  <pt<50 	6<chiso range<11 	72.6332	57.7723	11.1875	1.32835
25  <pt<50 	6<chiso range<12 	72.6332	58.9068	11.1165	1.23478
25  <pt<50 	6<chiso range<13 	72.6332	60.431	11.0271	1.10656
25  <pt<50 	7<chiso range<12 	72.6332	61.2463	10.9736	1.03766
25  <pt<50 	7<chiso range<13 	72.6332	62.6841	10.8911	0.913507
25  <pt<50 	8<chiso range<13 	72.6332	64.0499	10.8168	0.793516
#######################################################################################
50  <pt<80 	3<chiso range<8 	15.9462	10.5401	8.86921	0.609536
50  <pt<80 	3<chiso range<9 	15.9462	10.5401	8.86921	0.609536
50  <pt<80 	3<chiso range<10 	15.9462	12.7305	4.52645	0.710424
50  <pt<80 	3<chiso range<11 	15.9462	12.8646	4.50177	0.684531
50  <pt<80 	3<chiso range<12 	15.9462	12.7596	4.51926	0.705115
50  <pt<80 	3<chiso range<13 	15.9462	12.8241	4.50508	0.693018
50  <pt<80 	4<chiso range<9 	15.9462	10.5401	8.86921	0.609536
50  <pt<80 	4<chiso range<10 	15.9462	12.8257	4.5047	0.692721
50  <pt<80 	4<chiso range<11 	15.9462	12.9612	4.48092	0.666158
50  <pt<80 	4<chiso range<12 	15.9462	12.8663	4.5028	0.683997
50  <pt<80 	4<chiso range<13 	15.9462	12.9311	4.48951	0.671588
50  <pt<80 	5<chiso range<10 	15.9462	13.2353	4.42625	0.61246
50  <pt<80 	5<chiso range<11 	15.9462	13.2908	4.41286	0.601741
50  <pt<80 	5<chiso range<12 	15.9462	13.1493	4.44315	0.629486
50  <pt<80 	5<chiso range<13 	15.9462	13.1875	4.43588	0.621906
50  <pt<80 	6<chiso range<11 	15.9462	13.1884	4.4339	0.621981
50  <pt<80 	6<chiso range<12 	15.9462	13.0332	4.46777	0.652003
50  <pt<80 	6<chiso range<13 	15.9462	13.0941	4.45561	0.640114
50  <pt<80 	7<chiso range<12 	15.9462	13.1168	4.45068	0.635723
50  <pt<80 	7<chiso range<13 	15.9462	13.1745	4.43935	0.624348
50  <pt<80 	8<chiso range<13 	15.9462	13.1565	4.44199	0.628029
#######################################################################################
80  <pt<400 	3<chiso range<8 	8.79105	7.79121	2.83881	0.352204
80  <pt<400 	3<chiso range<9 	8.79105	7.64194	2.91376	0.394374
80  <pt<400 	3<chiso range<10 	8.79105	7.65573	2.90703	0.390543
80  <pt<400 	3<chiso range<11 	8.79105	7.72856	2.87001	0.370204
80  <pt<400 	3<chiso range<12 	8.79105	7.75305	2.85796	0.363196
80  <pt<400 	3<chiso range<13 	8.79105	7.80932	2.82994	0.346908
80  <pt<400 	4<chiso range<9 	8.79105	7.84814	2.81063	0.33548
80  <pt<400 	4<chiso range<10 	8.79105	7.83776	2.81594	0.338533
80  <pt<400 	4<chiso range<11 	8.79105	7.91431	2.8026	0.312831
80  <pt<400 	4<chiso range<12 	8.79105	7.92259	2.79731	0.310463
80  <pt<400 	4<chiso range<13 	8.79105	7.95047	2.77657	0.30274
80  <pt<400 	5<chiso range<10 	8.79105	4.78069	4.02281	0.996905
80  <pt<400 	5<chiso range<11 	8.79105	4.78069	4.02281	0.996905
80  <pt<400 	5<chiso range<12 	8.79105	4.78069	4.02281	0.996905
80  <pt<400 	5<chiso range<13 	8.79105	4.78069	4.02281	0.996905
80  <pt<400 	6<chiso range<11 	8.79105	4.78069	4.02281	0.996905
80  <pt<400 	6<chiso range<12 	8.79105	4.78069	4.02281	0.996905
