pt range	total	half	sum	chiso
20~400		53	26.5	26	7.8494
20~400		53	26.5	26	7.8497
20~400		53	26.5	26	7.85
20~400		53	26.5	26	7.8503
20~400		53	26.5	26	7.8506
20~400		53	26.5	26	7.8509
20~400		53	26.5	26	7.8512
20~400		53	26.5	26	7.8515
20~400		53	26.5	26	7.8518
20~400		53	26.5	26	7.8521
20~400		53	26.5	26	7.8524
20~400		53	26.5	26	7.8527
20~400		53	26.5	26	7.853
20~400		53	26.5	26	7.8533
20~400		53	26.5	26	7.8536
20~400		53	26.5	26	7.8539
20~400		53	26.5	26	7.8542
20~400		53	26.5	26	7.8545
20~400		53	26.5	26	7.8548
20~400		53	26.5	26	7.8551
20~400		53	26.5	26	7.8554
20~400		53	26.5	26	7.8557
20~400		53	26.5	26	7.856
20~400		53	26.5	26	7.8563
20~400		53	26.5	26	7.8566
20~400		53	26.5	26	7.8569
20~400		53	26.5	26	7.8572
20~400		53	26.5	26	7.8575
20~400		53	26.5	26	7.8578
20~400		53	26.5	26	7.8581
20~400		53	26.5	26	7.8584
20~400		53	26.5	26	7.8587
20~400		53	26.5	26	7.859
20~400		53	26.5	26	7.8593
20~400		53	26.5	26	7.8596
20~400		53	26.5	26	7.8599
20~400		53	26.5	26	7.8602
20~400		53	26.5	26	7.8605
20~400		53	26.5	26	7.8608
20~400		53	26.5	26	7.8611
20~400		53	26.5	26	7.8614
20~400		53	26.5	26	7.8617
20~400		53	26.5	26	7.862
20~400		53	26.5	26	7.8623
20~400		53	26.5	26	7.8626
20~400		53	26.5	26	7.8629
20~400		53	26.5	26	7.8632
20~400		53	26.5	26	7.8635
20~400		53	26.5	26	7.8638
20~400		53	26.5	26	7.8641
20~400		53	26.5	26	7.8644
20~400		53	26.5	26	7.8647
20~400		53	26.5	26	7.865
20~400		53	26.5	26	7.8653
20~400		53	26.5	26	7.8656
20~400		53	26.5	26	7.8659
20~400		53	26.5	26	7.8662
20~400		53	26.5	26	7.8665
20~400		53	26.5	26	7.8668
20~400		53	26.5	26	7.8671
20~400		53	26.5	26	7.8674
20~400		53	26.5	26	7.8677
20~400		53	26.5	26	7.868
20~400		53	26.5	26	7.8683
20~400		53	26.5	26	7.8686
20~400		53	26.5	26	7.8689
20~400		53	26.5	26	7.8692
20~400		53	26.5	26	7.8695
20~400		53	26.5	26	7.8698
20~400		53	26.5	26	7.8701
20~400		53	26.5	26	7.8704
20~400		53	26.5	26	7.8707
20~400		53	26.5	26	7.871
20~400		53	26.5	26	7.8713
20~400		53	26.5	26	7.8716
20~400		53	26.5	26	7.8719
20~400		53	26.5	26	7.8722
20~400		53	26.5	26	7.8725
20~400		53	26.5	26	7.8728
20~400		53	26.5	26	7.8731
20~400		53	26.5	26	7.8734
20~400		53	26.5	26	7.8737
20~400		53	26.5	26	7.874
20~400		53	26.5	26	7.8743
20~400		53	26.5	26	7.8746
20~400		53	26.5	26	7.8749
20~400		53	26.5	26	7.8752
20~400		53	26.5	26	7.8755
20~400		53	26.5	26	7.8758
20~400		53	26.5	26	7.8761
20~400		53	26.5	26	7.8764
20~400		53	26.5	26	7.8767
20~400		53	26.5	26	7.877
20~400		53	26.5	26	7.8773
20~400		53	26.5	26	7.8776
20~400		53	26.5	26	7.8779
20~400		53	26.5	26	7.8782
20~400		53	26.5	26	7.8785
20~400		53	26.5	26	7.8788
20~400		53	26.5	26	7.8791
20~400		53	26.5	26	7.8794
20~400		53	26.5	26	7.8797
20~400		53	26.5	26	7.88
20~400		53	26.5	26	7.8803
20~400		53	26.5	26	7.8806
20~400		53	26.5	26	7.8809
20~400		53	26.5	26	7.8812
20~400		53	26.5	26	7.8815
20~400		53	26.5	26	7.8818
20~400		53	26.5	26	7.8821
20~400		53	26.5	26	7.8824
20~400		53	26.5	26	7.8827
20~400		53	26.5	26	7.883
20~400		53	26.5	26	7.8833
20~400		53	26.5	26	7.8836
20~400		53	26.5	26	7.8839
20~400		53	26.5	26	7.8842
20~400		53	26.5	26	7.8845
20~400		53	26.5	26	7.8848
20~400		53	26.5	26	7.8851
20~400		53	26.5	26	7.8854
20~400		53	26.5	26	7.8857
20~400		53	26.5	26	7.886
20~400		53	26.5	26	7.8863
20~400		53	26.5	26	7.8866
20~400		53	26.5	26	7.8869
20~400		53	26.5	26	7.8872
20~400		53	26.5	26	7.8875
20~400		53	26.5	26	7.8878
20~400		53	26.5	26	7.8881
20~400		53	26.5	26	7.8884
20~400		53	26.5	26	7.8887
20~400		53	26.5	26	7.889
20~400		53	26.5	26	7.8893
20~400		53	26.5	26	7.8896
20~400		53	26.5	26	7.8899
20~400		53	26.5	26	7.8902
20~400		53	26.5	26	7.8905
20~400		53	26.5	26	7.8908
20~400		53	26.5	26	7.8911
20~400		53	26.5	26	7.8914
20~400		53	26.5	26	7.8917
20~400		53	26.5	26	7.892
20~400		53	26.5	26	7.8923
20~400		53	26.5	26	7.8926
20~400		53	26.5	26	7.8929
20~400		53	26.5	26	7.8932
20~400		53	26.5	26	7.8935
20~400		53	26.5	26	7.8938
20~400		53	26.5	26	7.8941
20~400		53	26.5	26	7.8944
20~400		53	26.5	27	7.8947
20~400		53	26.5	27	7.895
20~400		53	26.5	27	7.8953
20~400		53	26.5	27	7.8956
20~400		53	26.5	27	7.8959
20~400		53	26.5	27	7.8962
20~400		53	26.5	27	7.8965
20~400		53	26.5	27	7.8968
20~400		53	26.5	27	7.8971
20~400		53	26.5	27	7.8974
