pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	524.9	117.513	0.223877	0.469131	0.0336927	7.27915
20 <pt<25 	3<chiso range<9 	524.9	117.513	0.223877	0.45408	0.0326037	7.06064
20 <pt<25 	3<chiso range<10 	524.9	117.513	0.223877	0.456284	0.0327537	7.0956
20 <pt<25 	3<chiso range<11 	524.9	117.513	0.223877	0.43995	0.0316036	6.83698
20 <pt<25 	3<chiso range<12 	524.9	117.513	0.223877	0.440376	0.0316424	6.84206
20 <pt<25 	3<chiso range<13 	524.9	117.513	0.223877	0.437766	0.0314581	6.79917
20 <pt<25 	4<chiso range<9 	524.9	117.513	0.223877	0.45934	0.0329491	7.14627
20 <pt<25 	4<chiso range<10 	524.9	117.513	0.223877	0.461054	0.0330585	7.17447
20 <pt<25 	4<chiso range<11 	524.9	117.513	0.223877	0.441596	0.0316944	6.86932
20 <pt<25 	4<chiso range<12 	524.9	117.513	0.223877	0.442011	0.031738	6.87296
20 <pt<25 	4<chiso range<13 	524.9	117.513	0.223877	0.438942	0.0315241	6.82224
20 <pt<25 	5<chiso range<10 	524.9	117.513	0.223877	0.475402	0.0340678	7.38307
20 <pt<25 	5<chiso range<11 	524.9	117.513	0.223877	0.450337	0.0323186	7.00711
20 <pt<25 	5<chiso range<12 	524.9	117.513	0.223877	0.450061	0.0323189	6.99851
20 <pt<25 	5<chiso range<13 	524.9	117.513	0.223877	0.44602	0.0320502	6.9311
20 <pt<25 	6<chiso range<11 	524.9	117.513	0.223877	0.437005	0.0313854	6.79068
20 <pt<25 	6<chiso range<12 	524.9	117.513	0.223877	0.438146	0.0314862	6.80517
20 <pt<25 	6<chiso range<13 	524.9	117.513	0.223877	0.434667	0.0312589	6.74336
20 <pt<25 	7<chiso range<12 	524.9	117.513	0.223877	0.422828	0.0303627	6.55248
20 <pt<25 	7<chiso range<13 	524.9	117.513	0.223877	0.420813	0.0302461	6.51112
20 <pt<25 	8<chiso range<13 	524.9	117.513	0.223877	0.395517	0.0284621	6.03048
#######################################################################################
25 <pt<30 	3<chiso range<8 	279.475	51.312	0.183601	0.361762	0.0448281	3.97431
25 <pt<30 	3<chiso range<9 	279.475	51.312	0.183601	0.366602	0.045436	4.02766
25 <pt<30 	3<chiso range<10 	279.475	51.312	0.183601	0.377967	0.0468302	4.15043
25 <pt<30 	3<chiso range<11 	279.475	51.312	0.183601	0.37002	0.0458942	4.06192
25 <pt<30 	3<chiso range<12 	279.475	51.312	0.183601	0.363597	0.0451115	3.99002
25 <pt<30 	3<chiso range<13 	279.475	51.312	0.183601	0.357533	0.0443973	3.91762
25 <pt<30 	4<chiso range<9 	279.475	51.312	0.183601	0.341024	0.0422483	3.72613
25 <pt<30 	4<chiso range<10 	279.475	51.312	0.183601	0.357398	0.0442663	3.92616
25 <pt<30 	4<chiso range<11 	279.475	51.312	0.183601	0.350885	0.0435118	3.84456
25 <pt<30 	4<chiso range<12 	279.475	51.312	0.183601	0.345462	0.042859	3.77658
25 <pt<30 	4<chiso range<13 	279.475	51.312	0.183601	0.340437	0.042266	3.71068
25 <pt<30 	5<chiso range<10 	279.475	51.312	0.183601	0.352078	0.0435794	3.86597
25 <pt<30 	5<chiso range<11 	279.475	51.312	0.183601	0.345157	0.0427904	3.77551
25 <pt<30 	5<chiso range<12 	279.475	51.312	0.183601	0.339368	0.0420953	3.70033
25 <pt<30 	5<chiso range<13 	279.475	51.312	0.183601	0.334113	0.0414745	3.62902
25 <pt<30 	6<chiso range<11 	279.475	51.312	0.183601	0.359862	0.0446803	3.94493
25 <pt<30 	6<chiso range<12 	279.475	51.312	0.183601	0.350857	0.0435878	3.83721
25 <pt<30 	6<chiso range<13 	279.475	51.312	0.183601	0.34309	0.0426564	3.73891
25 <pt<30 	7<chiso range<12 	279.475	51.312	0.183601	0.369344	0.045884	4.04809
25 <pt<30 	7<chiso range<13 	279.475	51.312	0.183601	0.356778	0.0443873	3.90149
25 <pt<30 	8<chiso range<13 	279.475	51.312	0.183601	0.351775	0.0438084	3.83884
#######################################################################################
30 <pt<40 	3<chiso range<8 	272.351	41.3449	0.151807	0.241163	0.0353762	2.52587
30 <pt<40 	3<chiso range<9 	272.351	41.3449	0.151807	0.249977	0.0367008	2.67486
30 <pt<40 	3<chiso range<10 	272.351	41.3449	0.151807	0.258843	0.0380111	2.8159
30 <pt<40 	3<chiso range<11 	272.351	41.3449	0.151807	0.257173	0.0377193	2.79341
30 <pt<40 	3<chiso range<12 	272.351	41.3449	0.151807	0.263559	0.0387134	2.88664
30 <pt<40 	3<chiso range<13 	272.351	41.3449	0.151807	0.254664	0.0373868	2.75115
30 <pt<40 	4<chiso range<9 	272.351	41.3449	0.151807	0.248003	0.0364585	2.6385
30 <pt<40 	4<chiso range<10 	272.351	41.3449	0.151807	0.259056	0.0380796	2.81643
30 <pt<40 	4<chiso range<11 	272.351	41.3449	0.151807	0.25708	0.0377272	2.79036
30 <pt<40 	4<chiso range<12 	272.351	41.3449	0.151807	0.2645	0.0388834	2.89822
30 <pt<40 	4<chiso range<13 	272.351	41.3449	0.151807	0.254263	0.0373519	2.74298
30 <pt<40 	5<chiso range<10 	272.351	41.3449	0.151807	0.259304	0.0380994	2.82148
30 <pt<40 	5<chiso range<11 	272.351	41.3449	0.151807	0.256939	0.0376826	2.78992
30 <pt<40 	5<chiso range<12 	272.351	41.3449	0.151807	0.26564	0.0390404	2.91576
30 <pt<40 	5<chiso range<13 	272.351	41.3449	0.151807	0.2538	0.0372723	2.73642
30 <pt<40 	6<chiso range<11 	272.351	41.3449	0.151807	0.258996	0.0379894	2.82154
30 <pt<40 	6<chiso range<12 	272.351	41.3449	0.151807	0.269154	0.0395682	2.96568
30 <pt<40 	6<chiso range<13 	272.351	41.3449	0.151807	0.254742	0.0374187	2.75089
30 <pt<40 	7<chiso range<12 	272.351	41.3449	0.151807	0.268095	0.0393904	2.95218
30 <pt<40 	7<chiso range<13 	272.351	41.3449	0.151807	0.250588	0.0367854	2.68532
30 <pt<40 	8<chiso range<13 	272.351	41.3449	0.151807	0.273087	0.0401584	3.02003
#######################################################################################
40 <pt<50 	3<chiso range<8 	128.431	16.6118	0.129344	0.178652	0.0436413	1.12984
40 <pt<50 	3<chiso range<9 	128.431	16.6118	0.129344	0.187278	0.0456905	1.26796
40 <pt<50 	3<chiso range<10 	128.431	16.6118	0.129344	0.181362	0.0443282	1.17347
40 <pt<50 	3<chiso range<11 	128.431	16.6118	0.129344	0.176924	0.043157	1.10248
40 <pt<50 	3<chiso range<12 	128.431	16.6118	0.129344	0.17139	0.041762	1.0068
40 <pt<50 	3<chiso range<13 	128.431	16.6118	0.129344	0.171347	0.0416435	1.00863
40 <pt<50 	4<chiso range<9 	128.431	16.6118	0.129344	0.17512	0.0427603	1.07052
40 <pt<50 	4<chiso range<10 	128.431	16.6118	0.129344	0.170101	0.0416221	0.979211
40 <pt<50 	4<chiso range<11 	128.431	16.6118	0.129344	0.165815	0.0404742	0.901089
40 <pt<50 	4<chiso range<12 	128.431	16.6118	0.129344	0.161088	0.0392679	0.808392
40 <pt<50 	4<chiso range<13 	128.431	16.6118	0.129344	0.161679	0.0392956	0.822862
40 <pt<50 	5<chiso range<10 	128.431	16.6118	0.129344	0.183387	0.04472	1.20847
40 <pt<50 	5<chiso range<11 	128.431	16.6118	0.129344	0.178314	0.0434173	1.12789
40 <pt<50 	5<chiso range<12 	128.431	16.6118	0.129344	0.170825	0.0415515	0.998299
40 <pt<50 	5<chiso range<13 	128.431	16.6118	0.129344	0.170778	0.0414128	1.00051
40 <pt<50 	6<chiso range<11 	128.431	16.6118	0.129344	0.190994	0.0464809	1.32635
40 <pt<50 	6<chiso range<12 	128.431	16.6118	0.129344	0.178916	0.0434913	1.13981
40 <pt<50 	6<chiso range<13 	128.431	16.6118	0.129344	0.178141	0.0431421	1.13107
40 <pt<50 	7<chiso range<12 	128.431	16.6118	0.129344	0.180573	0.0439171	1.16649
40 <pt<50 	7<chiso range<13 	128.431	16.6118	0.129344	0.179439	0.0434374	1.15327
40 <pt<50 	8<chiso range<13 	128.431	16.6118	0.129344	0.165557	0.0400857	0.903385
#######################################################################################
50 <pt<70 	3<chiso range<8 	108.04	10.7054	0.0990874	0.118756	0.0312079	0.630245
50 <pt<70 	3<chiso range<9 	108.04	10.7054	0.0990874	0.126447	0.0332988	0.82164
50 <pt<70 	3<chiso range<10 	108.04	10.7054	0.0990874	0.128845	0.0339182	0.877335
50 <pt<70 	3<chiso range<11 	108.04	10.7054	0.0990874	0.126392	0.0332119	0.822134
50 <pt<70 	3<chiso range<12 	108.04	10.7054	0.0990874	0.130244	0.034159	0.912106
50 <pt<70 	3<chiso range<13 	108.04	10.7054	0.0990874	0.13367	0.0350007	0.988055
50 <pt<70 	4<chiso range<9 	108.04	10.7054	0.0990874	0.12628	0.0334343	0.813315
50 <pt<70 	4<chiso range<10 	108.04	10.7054	0.0990874	0.129151	0.0341541	0.880235
50 <pt<70 	4<chiso range<11 	108.04	10.7054	0.0990874	0.126242	0.0332825	0.815883
