pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	117.513	138.003	9.63933	2.12567
20 <pt<25 	3<chiso range<9 	117.513	133.575	9.32766	1.72198
20 <pt<25 	3<chiso range<10 	117.513	134.224	9.37043	1.78338
20 <pt<25 	3<chiso range<11 	117.513	129.419	9.04175	1.31678
20 <pt<25 	3<chiso range<12 	117.513	129.544	9.05301	1.32895
20 <pt<25 	3<chiso range<13 	117.513	128.776	9.00033	1.2514
20 <pt<25 	4<chiso range<9 	117.513	135.122	9.42595	1.86814
20 <pt<25 	4<chiso range<10 	117.513	135.627	9.457	1.91541
20 <pt<25 	4<chiso range<11 	117.513	129.903	9.06729	1.36645
20 <pt<25 	4<chiso range<12 	117.513	130.025	9.07998	1.37798
20 <pt<25 	4<chiso range<13 	117.513	129.122	9.0189	1.28719
20 <pt<25 	5<chiso range<10 	117.513	139.847	9.74541	2.29175
20 <pt<25 	5<chiso range<11 	117.513	132.474	9.2458	1.61814
20 <pt<25 	5<chiso range<12 	117.513	132.393	9.24623	1.6093
20 <pt<25 	5<chiso range<13 	117.513	131.204	9.16972	1.49307
20 <pt<25 	6<chiso range<11 	117.513	128.553	8.97923	1.2295
20 <pt<25 	6<chiso range<12 	117.513	128.888	9.00837	1.26271
20 <pt<25 	6<chiso range<13 	117.513	127.865	8.94371	1.15746
20 <pt<25 	7<chiso range<12 	117.513	124.382	8.68657	0.790761
20 <pt<25 	7<chiso range<13 	117.513	123.789	8.65367	0.725241
20 <pt<25 	8<chiso range<13 	117.513	116.348	8.1438	0.143054
#######################################################################################
25 <pt<30 	3<chiso range<8 	51.312	56.1382	6.83604	0.705994
25 <pt<30 	3<chiso range<9 	51.312	56.8893	6.92878	0.804947
25 <pt<30 	3<chiso range<10 	51.312	58.653	7.14132	1.02796
25 <pt<30 	3<chiso range<11 	51.312	57.4197	6.99885	0.872672
25 <pt<30 	3<chiso range<12 	51.312	56.423	6.87957	0.742924
25 <pt<30 	3<chiso range<13 	51.312	55.482	6.77085	0.615875
25 <pt<30 	4<chiso range<9 	51.312	52.9201	6.44258	0.249605
25 <pt<30 	4<chiso range<10 	51.312	55.4611	6.75026	0.614658
25 <pt<30 	4<chiso range<11 	51.312	54.4504	6.63548	0.472973
25 <pt<30 	4<chiso range<12 	51.312	53.6087	6.53604	0.35139
25 <pt<30 	4<chiso range<13 	51.312	52.829	6.44576	0.235349
25 <pt<30 	5<chiso range<10 	51.312	54.6355	6.64536	0.500123
25 <pt<30 	5<chiso range<11 	51.312	53.5614	6.52541	0.344714
25 <pt<30 	5<chiso range<12 	51.312	52.6632	6.41953	0.210483
25 <pt<30 	5<chiso range<13 	51.312	51.8476	6.32502	0.0846796
25 <pt<30 	6<chiso range<11 	51.312	55.8433	6.81398	0.665
25 <pt<30 	6<chiso range<12 	51.312	54.446	6.6475	0.471455
25 <pt<30 	6<chiso range<13 	51.312	53.2407	6.50564	0.296466
25 <pt<30 	7<chiso range<12 	51.312	57.3148	6.99769	0.857826
25 <pt<30 	7<chiso range<13 	51.312	55.3648	6.76978	0.598661
25 <pt<30 	8<chiso range<13 	51.312	54.5884	6.68172	0.490353
#######################################################################################
30 <pt<40 	3<chiso range<8 	41.3449	38.2094	5.5477	0.565189
30 <pt<40 	3<chiso range<9 	41.3449	39.606	5.75554	0.302126
30 <pt<40 	3<chiso range<10 	41.3449	41.0106	5.96105	0.0560807
30 <pt<40 	3<chiso range<11 	41.3449	40.7461	5.91514	0.101232
