pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	189.447	153.445	19.7472	1.82314
20  <pt<25 	3<chiso range<9 	189.447	157.783	19.5846	1.61678
20  <pt<25 	3<chiso range<10 	189.447	157.222	19.5968	1.6444
20  <pt<25 	3<chiso range<11 	189.447	162.147	19.4456	1.40392
20  <pt<25 	3<chiso range<12 	189.447	162.03	19.4573	1.40909
20  <pt<25 	3<chiso range<13 	189.447	162.805	19.4325	1.371
20  <pt<25 	4<chiso range<9 	189.447	156.18	19.6119	1.69627
20  <pt<25 	4<chiso range<10 	189.447	155.875	19.6103	1.71196
20  <pt<25 	4<chiso range<11 	189.447	161.71	19.4352	1.42715
20  <pt<25 	4<chiso range<12 	189.447	161.566	19.453	1.43325
20  <pt<25 	4<chiso range<13 	189.447	162.487	19.4261	1.38782
20  <pt<25 	5<chiso range<10 	189.447	151.995	19.733	1.89794
20  <pt<25 	5<chiso range<11 	189.447	159.426	19.5116	1.53862
20  <pt<25 	5<chiso range<12 	189.447	159.424	19.5302	1.53726
20  <pt<25 	5<chiso range<13 	189.447	160.736	19.5045	1.47202
20  <pt<25 	6<chiso range<11 	189.447	163.414	19.3946	1.34228
20  <pt<25 	6<chiso range<12 	189.447	162.972	19.4275	1.36276
20  <pt<25 	6<chiso range<13 	189.447	164.14	19.4086	1.30391
20  <pt<25 	7<chiso range<12 	189.447	167.05	19.267	1.16245
20  <pt<25 	7<chiso range<13 	189.447	167.866	19.2664	1.12014
20  <pt<25 	8<chiso range<13 	189.447	175.65	19.0456	0.724419
#######################################################################################
25  <pt<30 	3<chiso range<8 	110.462	98.3739	14.3348	0.84327
25  <pt<30 	3<chiso range<9 	110.462	97.6385	14.3841	0.891505
25  <pt<30 	3<chiso range<10 	110.462	95.857	14.4911	1.00786
25  <pt<30 	3<chiso range<11 	110.462	97.1668	14.4268	0.921563
25  <pt<30 	3<chiso range<12 	110.462	98.1844	14.3675	0.85454
25  <pt<30 	3<chiso range<13 	110.462	99.1728	14.3197	0.788368
25  <pt<30 	4<chiso range<9 	110.462	101.577	14.1346	0.628599
25  <pt<30 	4<chiso range<10 	110.462	99.0024	14.2876	0.802066
25  <pt<30 	4<chiso range<11 	110.462	100.122	14.2383	0.72621
25  <pt<30 	4<chiso range<12 	110.462	100.975	14.1938	0.66839
25  <pt<30 	4<chiso range<13 	110.462	101.829	14.1538	0.609942
25  <pt<30 	5<chiso range<10 	110.462	99.7704	14.2297	0.751358
25  <pt<30 	5<chiso range<11 	110.462	100.973	14.1823	0.669073
25  <pt<30 	5<chiso range<12 	110.462	101.894	14.1355	0.606133
25  <pt<30 	5<chiso range<13 	110.462	102.855	14.0979	0.539584
25  <pt<30 	6<chiso range<11 	110.462	98.8738	14.336	0.808329
25  <pt<30 	6<chiso range<12 	110.462	100.259	14.2597	0.715513
25  <pt<30 	6<chiso range<13 	110.462	101.563	14.193	0.626999
25  <pt<30 	7<chiso range<12 	110.462	97.421	14.4378	0.903254
25  <pt<30 	7<chiso range<13 	110.462	99.4324	14.3347	0.769434
25  <pt<30 	8<chiso range<13 	110.462	100.279	14.2984	0.712178
#######################################################################################
30  <pt<40 	3<chiso range<8 	122.979	119.799	13.8506	0.229593
