pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	524.9	117.513	189.447	138.003	153.445	2.12567	1.82314
20 <pt<25 	3<chiso range<9 	524.9	117.513	189.447	133.575	157.783	1.72198	1.61678
20 <pt<25 	3<chiso range<10 	524.9	117.513	189.447	134.224	157.222	1.78338	1.6444
20 <pt<25 	3<chiso range<11 	524.9	117.513	189.447	129.419	162.147	1.31678	1.40392
20 <pt<25 	3<chiso range<12 	524.9	117.513	189.447	129.544	162.03	1.32895	1.40909
20 <pt<25 	3<chiso range<13 	524.9	117.513	189.447	128.776	162.805	1.2514	1.371
20 <pt<25 	4<chiso range<9 	524.9	117.513	189.447	135.122	156.18	1.86814	1.69627
20 <pt<25 	4<chiso range<10 	524.9	117.513	189.447	135.627	155.875	1.91541	1.71196
20 <pt<25 	4<chiso range<11 	524.9	117.513	189.447	129.903	161.71	1.36645	1.42715
20 <pt<25 	4<chiso range<12 	524.9	117.513	189.447	130.025	161.566	1.37798	1.43325
20 <pt<25 	4<chiso range<13 	524.9	117.513	189.447	129.122	162.487	1.28719	1.38782
20 <pt<25 	5<chiso range<10 	524.9	117.513	189.447	139.847	151.995	2.29175	1.89794
20 <pt<25 	5<chiso range<11 	524.9	117.513	189.447	132.474	159.426	1.61814	1.53862
20 <pt<25 	5<chiso range<12 	524.9	117.513	189.447	132.393	159.424	1.6093	1.53726
20 <pt<25 	5<chiso range<13 	524.9	117.513	189.447	131.204	160.736	1.49307	1.47202
20 <pt<25 	6<chiso range<11 	524.9	117.513	189.447	128.553	163.414	1.2295	1.34228
20 <pt<25 	6<chiso range<12 	524.9	117.513	189.447	128.888	162.972	1.26271	1.36276
20 <pt<25 	6<chiso range<13 	524.9	117.513	189.447	127.865	164.14	1.15746	1.30391
20 <pt<25 	7<chiso range<12 	524.9	117.513	189.447	124.382	167.05	0.790761	1.16245
20 <pt<25 	7<chiso range<13 	524.9	117.513	189.447	123.789	167.866	0.725241	1.12014
20 <pt<25 	8<chiso range<13 	524.9	117.513	189.447	116.348	175.65	0.143054	0.724419
#######################################################################################
25 <pt<30 	3<chiso range<8 	279.475	51.312	110.462	56.1382	98.3739	0.705994	0.84327
25 <pt<30 	3<chiso range<9 	279.475	51.312	110.462	56.8893	97.6385	0.804947	0.891505
25 <pt<30 	3<chiso range<10 	279.475	51.312	110.462	58.653	95.857	1.02796	1.00786
25 <pt<30 	3<chiso range<11 	279.475	51.312	110.462	57.4197	97.1668	0.872672	0.921563
25 <pt<30 	3<chiso range<12 	279.475	51.312	110.462	56.423	98.1844	0.742924	0.85454
25 <pt<30 	3<chiso range<13 	279.475	51.312	110.462	55.482	99.1728	0.615875	0.788368
25 <pt<30 	4<chiso range<9 	279.475	51.312	110.462	52.9201	101.577	0.249605	0.628599
25 <pt<30 	4<chiso range<10 	279.475	51.312	110.462	55.4611	99.0024	0.614658	0.802066
25 <pt<30 	4<chiso range<11 	279.475	51.312	110.462	54.4504	100.122	0.472973	0.72621
25 <pt<30 	4<chiso range<12 	279.475	51.312	110.462	53.6087	100.975	0.35139	0.66839
25 <pt<30 	4<chiso range<13 	279.475	51.312	110.462	52.829	101.829	0.235349	0.609942
25 <pt<30 	5<chiso range<10 	279.475	51.312	110.462	54.6355	99.7704	0.500123	0.751358
25 <pt<30 	5<chiso range<11 	279.475	51.312	110.462	53.5614	100.973	0.344714	0.669073
25 <pt<30 	5<chiso range<12 	279.475	51.312	110.462	52.6632	101.894	0.210483	0.606133
25 <pt<30 	5<chiso range<13 	279.475	51.312	110.462	51.8476	102.855	0.0846796	0.539584
25 <pt<30 	6<chiso range<11 	279.475	51.312	110.462	55.8433	98.8738	0.665	0.808329
25 <pt<30 	6<chiso range<12 	279.475	51.312	110.462	54.446	100.259	0.471455	0.715513
25 <pt<30 	6<chiso range<13 	279.475	51.312	110.462	53.2407	101.563	0.296466	0.626999
25 <pt<30 	7<chiso range<12 	279.475	51.312	110.462	57.3148	97.421	0.857826	0.903254
25 <pt<30 	7<chiso range<13 	279.475	51.312	110.462	55.3648	99.4324	0.598661	0.769434
25 <pt<30 	8<chiso range<13 	279.475	51.312	110.462	54.5884	100.279	0.490353	0.712178
#######################################################################################
30 <pt<40 	3<chiso range<8 	272.351	41.3449	122.979	38.2094	119.799	0.565189	0.229593
30 <pt<40 	3<chiso range<9 	272.351	41.3449	122.979	39.606	118.405	0.302126	0.328052
30 <pt<40 	3<chiso range<10 	272.351	41.3449	122.979	41.0106	117.033	0.0560807	0.423556
30 <pt<40 	3<chiso range<11 	272.351	41.3449	122.979	40.7461	117.226	0.101232	0.410641
30 <pt<40 	3<chiso range<12 	272.351	41.3449	122.979	41.7578	116.327	0.0680094	0.471987
30 <pt<40 	3<chiso range<13 	272.351	41.3449	122.979	40.3486	117.67	0.169927	0.379445
30 <pt<40 	4<chiso range<9 	272.351	41.3449	122.979	39.2932	118.839	0.358834	0.297038
30 <pt<40 	4<chiso range<10 	272.351	41.3449	122.979	41.0444	117.061	0.050319	0.421255
30 <pt<40 	4<chiso range<11 	272.351	41.3449	122.979	40.7313	117.282	0.103711	0.406548
30 <pt<40 	4<chiso range<12 	272.351	41.3449	122.979	41.907	116.222	0.0921781	0.478846
30 <pt<40 	4<chiso range<13 	272.351	41.3449	122.979	40.285	117.771	0.180941	0.372197
30 <pt<40 	5<chiso range<10 	272.351	41.3449	122.979	41.0836	117.045	0.0437326	0.422523
30 <pt<40 	5<chiso range<11 	272.351	41.3449	122.979	40.7089	117.307	0.107626	0.405039
30 <pt<40 	5<chiso range<12 	272.351	41.3449	122.979	42.0875	116.046	0.121289	0.49102
30 <pt<40 	5<chiso range<13 	272.351	41.3449	122.979	40.2117	117.845	0.193869	0.367139
