pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	183.857	43.0676	66.9233	55.4441	54.3114	1.98062	1.0362
20 <pt<25 	3<chiso range<9 	183.857	43.0676	66.9233	52.6149	57.1435	1.60945	0.814189
20 <pt<25 	3<chiso range<10 	183.857	43.0676	66.9233	52.4054	57.3526	1.58032	0.797492
20 <pt<25 	3<chiso range<11 	183.857	43.0676	66.9233	51.6244	58.0608	1.47052	0.741359
20 <pt<25 	3<chiso range<12 	183.857	43.0676	66.9233	50.5823	59.12	1.31789	0.655921
20 <pt<25 	3<chiso range<13 	183.857	43.0676	66.9233	49.9196	59.7894	1.2175	0.601443
20 <pt<25 	4<chiso range<9 	183.857	43.0676	66.9233	52.2677	57.5602	1.56177	0.781463
20 <pt<25 	4<chiso range<10 	183.857	43.0676	66.9233	52.1199	57.6284	1.54026	0.775434
20 <pt<25 	4<chiso range<11 	183.857	43.0676	66.9233	51.2322	58.4778	1.41396	0.707951
20 <pt<25 	4<chiso range<12 	183.857	43.0676	66.9233	50.0524	59.6958	1.23812	0.609304
20 <pt<25 	4<chiso range<13 	183.857	43.0676	66.9233	49.3429	60.4106	1.12822	0.550771
20 <pt<25 	5<chiso range<10 	183.857	43.0676	66.9233	53.0674	56.6994	1.67146	0.849436
20 <pt<25 	5<chiso range<11 	183.857	43.0676	66.9233	51.9807	57.7688	1.52062	0.764212
20 <pt<25 	5<chiso range<12 	183.857	43.0676	66.9233	50.4927	59.2214	1.30455	0.647752
20 <pt<25 	5<chiso range<13 	183.857	43.0676	66.9233	49.6299	60.0929	1.17285	0.576682
20 <pt<25 	6<chiso range<11 	183.857	43.0676	66.9233	49.9803	59.7172	1.22668	0.607249
20 <pt<25 	6<chiso range<12 	183.857	43.0676	66.9233	48.4349	61.2788	0.982666	0.478964
20 <pt<25 	6<chiso range<13 	183.857	43.0676	66.9233	47.6335	62.0888	0.849922	0.411682
20 <pt<25 	7<chiso range<12 	183.857	43.0676	66.9233	47.2603	62.4497	0.786506	0.381492
20 <pt<25 	7<chiso range<13 	183.857	43.0676	66.9233	46.4585	63.2586	0.647013	0.313597
20 <pt<25 	8<chiso range<13 	183.857	43.0676	66.9233	42.7622	66.991	0.0632892	0.00588465
#######################################################################################
25 <pt<30 	3<chiso range<8 	100.613	19.0728	40.3498	19.6207	40.2897	0.137844	0.00709423
25 <pt<30 	3<chiso range<9 	100.613	19.0728	40.3498	18.7118	41.1603	0.0950328	0.0963155
25 <pt<30 	3<chiso range<10 	100.613	19.0728	40.3498	20.3059	39.6698	0.300232	0.0798177
25 <pt<30 	3<chiso range<11 	100.613	19.0728	40.3498	19.8861	39.7855	0.200414	0.06571
25 <pt<30 	3<chiso range<12 	100.613	19.0728	40.3498	19.646	39.9989	0.142991	0.0409919
25 <pt<30 	3<chiso range<13 	100.613	19.0728	40.3498	18.7756	40.6919	0.0771972	0.0400487
25 <pt<30 	4<chiso range<9 	100.613	19.0728	40.3498	16.2827	43.4677	0.840366	0.377551
25 <pt<30 	4<chiso range<10 	100.613	19.0728	40.3498	18.3931	41.4605	0.181918	0.13232
25 <pt<30 	4<chiso range<11 	100.613	19.0728	40.3498	17.9512	41.6834	0.305703	0.158283
25 <pt<30 	4<chiso range<12 	100.613	19.0728	40.3498	17.8366	41.8039	0.339203	0.172858
25 <pt<30 	4<chiso range<13 	100.613	19.0728	40.3498	17.0329	42.394	0.58337	0.243446
25 <pt<30 	5<chiso range<10 	100.613	19.0728	40.3498	20.6401	39.3602	0.375751	0.115863
25 <pt<30 	5<chiso range<11 	100.613	19.0728	40.3498	19.4829	40.267	0.103419	0.00972428
25 <pt<30 	5<chiso range<12 	100.613	19.0728	40.3498	19.1946	40.561	0.0311727	0.0248753
25 <pt<30 	5<chiso range<13 	100.613	19.0728	40.3498	18.0424	41.4146	0.278325	0.125522
25 <pt<30 	6<chiso range<11 	100.613	19.0728	40.3498	19.8986	39.7255	0.203127	0.0725578
25 <pt<30 	6<chiso range<12 	100.613	19.0728	40.3498	19.4932	40.1161	0.105586	0.027304
25 <pt<30 	6<chiso range<13 	100.613	19.0728	40.3498	18.0476	41.346	0.276565	0.117232
25 <pt<30 	7<chiso range<12 	100.613	19.0728	40.3498	9.65623	41.3638	0.603294	0.0291326
25 <pt<30 	7<chiso range<13 	100.613	19.0728	40.3498	17.2016	42.1689	0.52944	0.215924
25 <pt<30 	8<chiso range<13 	100.613	19.0728	40.3498	17.1035	42.2523	0.560826	0.226203
#######################################################################################
30 <pt<40 	3<chiso range<8 	99.0517	16.4887	44.23	15.0581	45.4334	0.410851	0.142177
30 <pt<40 	3<chiso range<9 	99.0517	16.4887	44.23	15.8438	44.6589	0.176155	0.0502374
30 <pt<40 	3<chiso range<10 	99.0517	16.4887	44.23	15.854	44.6494	0.173204	0.049106
30 <pt<40 	3<chiso range<11 	99.0517	16.4887	44.23	15.1745	45.3173	0.374595	0.128303
30 <pt<40 	3<chiso range<12 	99.0517	16.4887	44.23	15.8199	44.6844	0.182845	0.0532119
30 <pt<40 	3<chiso range<13 	99.0517	16.4887	44.23	14.9792	45.5098	0.435861	0.151359
30 <pt<40 	4<chiso range<9 	99.0517	16.4887	44.23	16.4658	44.0916	0.00601612	0.0160735
30 <pt<40 	4<chiso range<10 	99.0517	16.4887	44.23	16.4131	44.102	0.0199216	0.0148834
30 <pt<40 	4<chiso range<11 	99.0517	16.4887	44.23	15.5187	44.9857	0.270274	0.0887991
30 <pt<40 	4<chiso range<12 	99.0517	16.4887	44.23	16.2717	44.2505	0.0576697	0.00238767
30 <pt<40 	4<chiso range<13 	99.0517	16.4887	44.23	15.2332	45.2642	0.356372	0.121927
30 <pt<40 	5<chiso range<10 	99.0517	16.4887	44.23	16.4749	44.0873	0.00362287	0.0165697
30 <pt<40 	5<chiso range<11 	99.0517	16.4887	44.23	15.4402	45.0638	0.293637	0.0980693
30 <pt<40 	5<chiso range<12 	99.0517	16.4887	44.23	16.315	44.2109	0.046043	0.00222366
30 <pt<40 	5<chiso range<13 	99.0517	16.4887	44.23	15.1333	45.362	0.387272	0.133613
30 <pt<40 	6<chiso range<11 	99.0517	16.4887	44.23	15.1103	45.4315	0.394395	0.141919
30 <pt<40 	6<chiso range<12 	99.0517	16.4887	44.23	16.1759	44.4072	0.0836484	0.0206839
30 <pt<40 	6<chiso range<13 	99.0517	16.4887	44.23	14.8357	45.6763	0.481591	0.171292
30 <pt<40 	7<chiso range<12 	99.0517	16.4887	44.23	17.383	43.278	0.222745	0.109581
30 <pt<40 	7<chiso range<13 	99.0517	16.4887	44.23	15.3122	45.2101	0.332138	0.115449
30 <pt<40 	8<chiso range<13 	99.0517	16.4887	44.23	14.8598	45.6269	0.474243	0.165474
#######################################################################################
40 <pt<60 	3<chiso range<8 	70.1582	7.62912	38.4172	5.7913	40.1979	0.910899	0.255428
40 <pt<60 	3<chiso range<9 	70.1582	7.62912	38.4172	6.06785	39.8506	0.738528	0.205156
40 <pt<60 	3<chiso range<10 	70.1582	7.62912	38.4172	6.14782	39.7993	0.691934	0.197697
40 <pt<60 	3<chiso range<11 	70.1582	7.62912	38.4172	6.09479	39.8558	0.723011	0.205992
40 <pt<60 	3<chiso range<12 	70.1582	7.62912	38.4172	6.07818	39.8767	0.732927	0.209076
40 <pt<60 	3<chiso range<13 	70.1582	7.62912	38.4172	6.21802	39.7875	0.65217	0.195673
40 <pt<60 	4<chiso range<9 	70.1582	7.62912	38.4172	5.8115	40.195	0.898029	0.255037
40 <pt<60 	4<chiso range<10 	70.1582	7.62912	38.4172	5.93338	40.1077	0.82146	0.242319
40 <pt<60 	4<chiso range<11 	70.1582	7.62912	38.4172	5.89872	40.1467	0.843279	0.248067
40 <pt<60 	4<chiso range<12 	70.1582	7.62912	38.4172	5.89886	40.1507	0.843309	0.248672
40 <pt<60 	4<chiso range<13 	70.1582	7.62912	38.4172	6.0518	39.9321	0.749452	0.217365
40 <pt<60 	5<chiso range<10 	70.1582	7.62912	38.4172	5.93269	40.0051	0.820967	0.227912
40 <pt<60 	5<chiso range<11 	70.1582	7.62912	38.4172	5.89902	40.1178	0.842365	0.243718
40 <pt<60 	5<chiso range<12 	70.1582	7.62912	38.4172	5.89989	40.1236	0.841966	0.24459
40 <pt<60 	5<chiso range<13 	70.1582	7.62912	38.4172	6.07361	39.8902	0.735855	0.211097
40 <pt<60 	6<chiso range<11 	70.1582	7.62912	38.4172	6.7139	39.406	0.393318	0.140472
40 <pt<60 	6<chiso range<12 	70.1582	7.62912	38.4172	6.60269	39.5134	0.448426	0.155978
40 <pt<60 	6<chiso range<13 	70.1582	7.62912	38.4172	6.7487	39.3724	0.376441	0.135631
