pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	36.4229	23.4294	4.31868	3.00867
20 <pt<25 	3<chiso range<9 	36.4229	24.3609	4.25464	2.83502
20 <pt<25 	3<chiso range<10 	36.4229	21.6515	3.97706	3.71415
20 <pt<25 	3<chiso range<11 	36.4229	23.0927	3.79562	3.512
20 <pt<25 	3<chiso range<12 	36.4229	21.5145	4.25162	3.50652
20 <pt<25 	3<chiso range<13 	36.4229	20.8256	3.73637	4.17445
20 <pt<25 	4<chiso range<9 	36.4229	23.7722	4.39957	2.87544
20 <pt<25 	4<chiso range<10 	36.4229	20.5746	3.95952	4.00258
20 <pt<25 	4<chiso range<11 	36.4229	22.6824	3.88337	3.53829
20 <pt<25 	4<chiso range<12 	36.4229	22.9218	3.82847	3.5265
20 <pt<25 	4<chiso range<13 	36.4229	21.971	3.96872	3.64145
20 <pt<25 	5<chiso range<10 	36.4229	19.6603	3.6385	4.60701
20 <pt<25 	5<chiso range<11 	36.4229	20.6762	3.69274	4.26423
20 <pt<25 	5<chiso range<12 	36.4229	21.1932	3.66903	4.15088
20 <pt<25 	5<chiso range<13 	36.4229	21.4139	3.65374	4.10785
20 <pt<25 	6<chiso range<11 	36.4229	16.0502	3.06125	6.65503
20 <pt<25 	6<chiso range<12 	36.4229	17.6471	3.53514	5.31119
20 <pt<25 	6<chiso range<13 	36.4229	18.1927	3.4301	5.31477
20 <pt<25 	7<chiso range<12 	36.4229	21.8299	4.24059	3.44127
20 <pt<25 	7<chiso range<13 	36.4229	22.0726	4.1834	3.4303
20 <pt<25 	8<chiso range<13 	36.4229	6.91391e-310	4.1834	8.70653
#######################################################################################
25 <pt<50 	3<chiso range<8 	31.87	29.476	5.2107	0.459439
25 <pt<50 	3<chiso range<9 	31.87	27.0757	5.04937	0.949485
25 <pt<50 	3<chiso range<10 	31.87	25.683	4.64761	1.33122
25 <pt<50 	3<chiso range<11 	31.87	25.7016	4.51468	1.3663
25 <pt<50 	3<chiso range<12 	31.87	24.9667	4.33806	1.59133
25 <pt<50 	3<chiso range<13 	31.87	25.5176	4.42679	1.43499
25 <pt<50 	4<chiso range<9 	31.87	32.4267	5.91705	0.094084
25 <pt<50 	4<chiso range<10 	31.87	29.6672	5.17761	0.425447
25 <pt<50 	4<chiso range<11 	31.87	28.7739	4.89646	0.632314
25 <pt<50 	4<chiso range<12 	31.87	27.8011	4.62328	0.880089
25 <pt<50 	4<chiso range<13 	31.87	27.6592	4.53594	0.928319
25 <pt<50 	5<chiso range<10 	31.87	23.8296	4.36726	1.84106
25 <pt<50 	5<chiso range<11 	31.87	25.9674	4.60924	1.2806
25 <pt<50 	5<chiso range<12 	31.87	24.2196	4.75779	1.60797
25 <pt<50 	5<chiso range<13 	31.87	25.2235	4.27076	1.55628
25 <pt<50 	6<chiso range<11 	31.87	23.7602	4.3528	1.86312
25 <pt<50 	6<chiso range<12 	31.87	22.1939	4.44296	2.17785
25 <pt<50 	6<chiso range<13 	31.87	23.4771	4.06763	2.06334
25 <pt<50 	7<chiso range<12 	31.87	21.5301	4.06974	2.54068
25 <pt<50 	7<chiso range<13 	31.87	22.3417	4.1066	2.32024
25 <pt<50 	8<chiso range<13 	31.87	20.3031	3.98079	2.90568
#######################################################################################
50 <pt<400 	3<chiso range<8 	3.56846	3.49635	1.84476	0.0390891
50 <pt<400 	3<chiso range<9 	3.56846	3.40388	1.77737	0.0925975
50 <pt<400 	3<chiso range<10 	3.56846	2.70962	1.33159	0.644973
50 <pt<400 	3<chiso range<11 	3.56846	2.4025	1.17806	0.989729
50 <pt<400 	3<chiso range<12 	3.56846	2.29199	1.11405	1.14579
50 <pt<400 	3<chiso range<13 	3.56846	2.39581	1.15525	1.01506
50 <pt<400 	4<chiso range<9 	3.56846	3.04921	1.71911	0.302046
50 <pt<400 	4<chiso range<10 	3.56846	2.61249	1.31163	0.728841
50 <pt<400 	4<chiso range<11 	3.56846	2.27305	1.13763	1.13869
50 <pt<400 	4<chiso range<12 	3.56846	1.9064	0.979436	1.69696
50 <pt<400 	4<chiso range<13 	3.56846	1.99252	1.01394	1.55427
50 <pt<400 	5<chiso range<10 	3.56846	1.54293	0.818027	2.47612
50 <pt<400 	5<chiso range<11 	3.56846	1.28797	0.676989	3.36858
50 <pt<400 	5<chiso range<12 	3.56846	1.30111	0.669233	3.38798
50 <pt<400 	5<chiso range<13 	3.56846	1.41289	0.719836	2.99453
50 <pt<400 	6<chiso range<11 	3.56846	1.02866	0.600461	4.22975
50 <pt<400 	6<chiso range<12 	3.56846	1.12618	0.616308	3.96276
50 <pt<400 	6<chiso range<13 	3.56846	1.29779	0.698166	3.25234
50 <pt<400 	7<chiso range<12 	3.56846	0.850879	0.492288	5.52031
50 <pt<400 	7<chiso range<13 	3.56846	1.04202	0.591558	4.27082
50 <pt<400 	8<chiso range<13 	3.56846	1.20316	0.691229	3.42188
#######################################################################################
