pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	3<chiso range<9 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	3<chiso range<10 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	3<chiso range<11 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	3<chiso range<12 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	3<chiso range<13 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	4<chiso range<9 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	4<chiso range<10 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	4<chiso range<11 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	4<chiso range<12 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	4<chiso range<13 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	5<chiso range<10 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	5<chiso range<11 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	5<chiso range<12 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	5<chiso range<13 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	6<chiso range<11 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	6<chiso range<12 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	6<chiso range<13 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	7<chiso range<12 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	7<chiso range<13 	21.0378	6.95272e-310	6.95272e-310	inf
20  <pt<25 	8<chiso range<13 	21.0378	6.95272e-310	6.95272e-310	inf
#######################################################################################
25  <pt<50 	3<chiso range<8 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	3<chiso range<9 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	3<chiso range<10 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	3<chiso range<11 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	3<chiso range<12 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	3<chiso range<13 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	4<chiso range<9 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	4<chiso range<10 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	4<chiso range<11 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	4<chiso range<12 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	4<chiso range<13 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	5<chiso range<10 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	5<chiso range<11 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	5<chiso range<12 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	5<chiso range<13 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	6<chiso range<11 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	6<chiso range<12 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	6<chiso range<13 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	7<chiso range<12 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	7<chiso range<13 	37.8887	6.91391e-310	6.95272e-310	inf
25  <pt<50 	8<chiso range<13 	37.8887	6.91391e-310	6.95272e-310	inf
#######################################################################################
50  <pt<400 	3<chiso range<8 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	3<chiso range<9 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	3<chiso range<10 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	3<chiso range<11 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	3<chiso range<12 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	3<chiso range<13 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	4<chiso range<9 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	4<chiso range<10 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	4<chiso range<11 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	4<chiso range<12 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	4<chiso range<13 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	5<chiso range<10 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	5<chiso range<11 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	5<chiso range<12 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	5<chiso range<13 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	6<chiso range<11 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	6<chiso range<12 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	6<chiso range<13 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	7<chiso range<12 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	7<chiso range<13 	17.1318	6.91391e-310	6.95272e-310	inf
50  <pt<400 	8<chiso range<13 	17.1318	6.91391e-310	6.95272e-310	inf
#######################################################################################
