pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	82.8992	36.4229	21.0378	23.4294	6.95272e-310	3.00867	inf
20 <pt<25 	3<chiso range<9 	82.8992	36.4229	21.0378	24.3609	6.95272e-310	2.83502	inf
20 <pt<25 	3<chiso range<10 	82.8992	36.4229	21.0378	21.6515	6.95272e-310	3.71415	inf
20 <pt<25 	3<chiso range<11 	82.8992	36.4229	21.0378	23.0927	6.95272e-310	3.512	inf
20 <pt<25 	3<chiso range<12 	82.8992	36.4229	21.0378	21.5145	6.95272e-310	3.50652	inf
20 <pt<25 	3<chiso range<13 	82.8992	36.4229	21.0378	20.8256	6.95272e-310	4.17445	inf
20 <pt<25 	4<chiso range<9 	82.8992	36.4229	21.0378	23.7722	6.95272e-310	2.87544	inf
20 <pt<25 	4<chiso range<10 	82.8992	36.4229	21.0378	20.5746	6.95272e-310	4.00258	inf
20 <pt<25 	4<chiso range<11 	82.8992	36.4229	21.0378	22.6824	6.95272e-310	3.53829	inf
20 <pt<25 	4<chiso range<12 	82.8992	36.4229	21.0378	22.9218	6.95272e-310	3.5265	inf
20 <pt<25 	4<chiso range<13 	82.8992	36.4229	21.0378	21.971	6.95272e-310	3.64145	inf
20 <pt<25 	5<chiso range<10 	82.8992	36.4229	21.0378	19.6603	6.95272e-310	4.60701	inf
20 <pt<25 	5<chiso range<11 	82.8992	36.4229	21.0378	20.6762	6.95272e-310	4.26423	inf
20 <pt<25 	5<chiso range<12 	82.8992	36.4229	21.0378	21.1932	6.95272e-310	4.15088	inf
20 <pt<25 	5<chiso range<13 	82.8992	36.4229	21.0378	21.4139	6.95272e-310	4.10785	inf
20 <pt<25 	6<chiso range<11 	82.8992	36.4229	21.0378	16.0502	6.95272e-310	6.65503	inf
20 <pt<25 	6<chiso range<12 	82.8992	36.4229	21.0378	17.6471	6.95272e-310	5.31119	inf
20 <pt<25 	6<chiso range<13 	82.8992	36.4229	21.0378	18.1927	6.95272e-310	5.31477	inf
20 <pt<25 	7<chiso range<12 	82.8992	36.4229	21.0378	21.8299	6.95272e-310	3.44127	inf
20 <pt<25 	7<chiso range<13 	82.8992	36.4229	21.0378	22.0726	6.95272e-310	3.4303	inf
20 <pt<25 	8<chiso range<13 	82.8992	36.4229	21.0378	6.91391e-310	6.95272e-310	8.70653	inf
#######################################################################################
25 <pt<50 	3<chiso range<8 	105.65	31.87	37.8887	29.476	6.91391e-310	0.459439	inf
25 <pt<50 	3<chiso range<9 	105.65	31.87	37.8887	27.0757	6.91391e-310	0.949485	inf
25 <pt<50 	3<chiso range<10 	105.65	31.87	37.8887	25.683	6.91391e-310	1.33122	inf
25 <pt<50 	3<chiso range<11 	105.65	31.87	37.8887	25.7016	6.91391e-310	1.3663	inf
25 <pt<50 	3<chiso range<12 	105.65	31.87	37.8887	24.9667	6.91391e-310	1.59133	inf
25 <pt<50 	3<chiso range<13 	105.65	31.87	37.8887	25.5176	6.91391e-310	1.43499	inf
25 <pt<50 	4<chiso range<9 	105.65	31.87	37.8887	32.4267	6.91391e-310	0.094084	inf
25 <pt<50 	4<chiso range<10 	105.65	31.87	37.8887	29.6672	6.91391e-310	0.425447	inf
25 <pt<50 	4<chiso range<11 	105.65	31.87	37.8887	28.7739	6.91391e-310	0.632314	inf
25 <pt<50 	4<chiso range<12 	105.65	31.87	37.8887	27.8011	6.91391e-310	0.880089	inf
25 <pt<50 	4<chiso range<13 	105.65	31.87	37.8887	27.6592	6.91391e-310	0.928319	inf
25 <pt<50 	5<chiso range<10 	105.65	31.87	37.8887	23.8296	6.91391e-310	1.84106	inf
25 <pt<50 	5<chiso range<11 	105.65	31.87	37.8887	25.9674	6.91391e-310	1.2806	inf
25 <pt<50 	5<chiso range<12 	105.65	31.87	37.8887	24.2196	6.91391e-310	1.60797	inf
25 <pt<50 	5<chiso range<13 	105.65	31.87	37.8887	25.2235	6.91391e-310	1.55628	inf
25 <pt<50 	6<chiso range<11 	105.65	31.87	37.8887	23.7602	6.91391e-310	1.86312	inf
25 <pt<50 	6<chiso range<12 	105.65	31.87	37.8887	22.1939	6.91391e-310	2.17785	inf
25 <pt<50 	6<chiso range<13 	105.65	31.87	37.8887	23.4771	6.91391e-310	2.06334	inf
25 <pt<50 	7<chiso range<12 	105.65	31.87	37.8887	21.5301	6.91391e-310	2.54068	inf
25 <pt<50 	7<chiso range<13 	105.65	31.87	37.8887	22.3417	6.91391e-310	2.32024	inf
25 <pt<50 	8<chiso range<13 	105.65	31.87	37.8887	20.3031	6.91391e-310	2.90568	inf
#######################################################################################
50 <pt<400 	3<chiso range<8 	25.5118	3.56846	17.1318	3.49635	6.91391e-310	0.0390891	inf
50 <pt<400 	3<chiso range<9 	25.5118	3.56846	17.1318	3.40388	6.91391e-310	0.0925975	inf
50 <pt<400 	3<chiso range<10 	25.5118	3.56846	17.1318	2.70962	6.91391e-310	0.644973	inf
50 <pt<400 	3<chiso range<11 	25.5118	3.56846	17.1318	2.4025	6.91391e-310	0.989729	inf
50 <pt<400 	3<chiso range<12 	25.5118	3.56846	17.1318	2.29199	6.91391e-310	1.14579	inf
50 <pt<400 	3<chiso range<13 	25.5118	3.56846	17.1318	2.39581	6.91391e-310	1.01506	inf
50 <pt<400 	4<chiso range<9 	25.5118	3.56846	17.1318	3.04921	6.91391e-310	0.302046	inf
50 <pt<400 	4<chiso range<10 	25.5118	3.56846	17.1318	2.61249	6.91391e-310	0.728841	inf
50 <pt<400 	4<chiso range<11 	25.5118	3.56846	17.1318	2.27305	6.91391e-310	1.13869	inf
50 <pt<400 	4<chiso range<12 	25.5118	3.56846	17.1318	1.9064	6.91391e-310	1.69696	inf
50 <pt<400 	4<chiso range<13 	25.5118	3.56846	17.1318	1.99252	6.91391e-310	1.55427	inf
50 <pt<400 	5<chiso range<10 	25.5118	3.56846	17.1318	1.54293	6.91391e-310	2.47612	inf
50 <pt<400 	5<chiso range<11 	25.5118	3.56846	17.1318	1.28797	6.91391e-310	3.36858	inf
50 <pt<400 	5<chiso range<12 	25.5118	3.56846	17.1318	1.30111	6.91391e-310	3.38798	inf
50 <pt<400 	5<chiso range<13 	25.5118	3.56846	17.1318	1.41289	6.91391e-310	2.99453	inf
50 <pt<400 	6<chiso range<11 	25.5118	3.56846	17.1318	1.02866	6.91391e-310	4.22975	inf
50 <pt<400 	6<chiso range<12 	25.5118	3.56846	17.1318	1.12618	6.91391e-310	3.96276	inf
50 <pt<400 	6<chiso range<13 	25.5118	3.56846	17.1318	1.29779	6.91391e-310	3.25234	inf
50 <pt<400 	7<chiso range<12 	25.5118	3.56846	17.1318	0.850879	6.91391e-310	5.52031	inf
50 <pt<400 	7<chiso range<13 	25.5118	3.56846	17.1318	1.04202	6.91391e-310	4.27082	inf
50 <pt<400 	8<chiso range<13 	25.5118	3.56846	17.1318	1.20316	6.91391e-310	3.42188	inf
#######################################################################################
