pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	95.2409	100.645	7.47694	0.722769
20 <pt<25 	3<chiso range<9 	95.2409	101.973	7.57474	0.888757
20 <pt<25 	3<chiso range<10 	95.2409	102.047	7.58034	0.897862
20 <pt<25 	3<chiso range<11 	95.2409	97.9243	7.27656	0.368773
20 <pt<25 	3<chiso range<12 	95.2409	98.4729	7.31708	0.441706
20 <pt<25 	3<chiso range<13 	95.2409	98.3656	7.30913	0.427506
20 <pt<25 	4<chiso range<9 	95.2409	107.142	7.95491	1.49607
20 <pt<25 	4<chiso range<10 	95.2409	106.463	7.90522	1.41958
20 <pt<25 	4<chiso range<11 	95.2409	100.943	7.49932	0.760349
20 <pt<25 	4<chiso range<12 	95.2409	101.306	7.52615	0.80587
20 <pt<25 	4<chiso range<13 	95.2409	101.035	7.5061	0.771919
20 <pt<25 	5<chiso range<10 	95.2409	103.047	7.65415	1.01985
20 <pt<25 	5<chiso range<11 	95.2409	96.7098	7.18713	0.204379
20 <pt<25 	5<chiso range<12 	95.2409	97.6457	7.25627	0.33141
20 <pt<25 	5<chiso range<13 	95.2409	97.5434	7.24866	0.317645
20 <pt<25 	6<chiso range<11 	95.2409	93.7573	6.9699	0.212858
20 <pt<25 	6<chiso range<12 	95.2409	95.3143	7.08506	0.0103598
20 <pt<25 	6<chiso range<13 	95.2409	95.3603	7.08839	0.0168444
20 <pt<25 	7<chiso range<12 	95.2409	100.938	7.49926	0.759688
20 <pt<25 	7<chiso range<13 	95.2409	100.483	7.46559	0.702168
20 <pt<25 	8<chiso range<13 	95.2409	94.5457	7.02849	0.0989117
#######################################################################################
25 <pt<30 	3<chiso range<8 	42.6985	38.6239	4.44297	0.917089
25 <pt<30 	3<chiso range<9 	42.6985	38.7304	4.45512	0.890683
25 <pt<30 	3<chiso range<10 	42.6985	39.0487	4.49144	0.812612
25 <pt<30 	3<chiso range<11 	42.6985	37.7894	4.34779	1.1291
25 <pt<30 	3<chiso range<12 	42.6985	38.186	4.39305	1.02719
25 <pt<30 	3<chiso range<13 	42.6985	37.2418	4.28522	1.27338
25 <pt<30 	4<chiso range<9 	42.6985	44.3985	5.10458	0.333034
25 <pt<30 	4<chiso range<10 	42.6985	44.043	5.06404	0.265499
25 <pt<30 	4<chiso range<11 	42.6985	41.7941	4.80772	0.188114
25 <pt<30 	4<chiso range<12 	42.6985	41.9034	4.82018	0.164952
25 <pt<30 	4<chiso range<13 	42.6985	40.4765	4.65705	0.477126
25 <pt<30 	5<chiso range<10 	42.6985	41.9766	4.82848	0.149509
25 <pt<30 	5<chiso range<11 	42.6985	39.6048	4.55739	0.678832
25 <pt<30 	5<chiso range<12 	42.6985	39.9822	4.60052	0.590433
25 <pt<30 	5<chiso range<13 	42.6985	38.4533	4.42358	0.959675
25 <pt<30 	6<chiso range<11 	42.6985	39.231	4.51466	0.768053
25 <pt<30 	6<chiso range<12 	42.6985	39.732	4.57194	0.648849
25 <pt<30 	6<chiso range<13 	42.6985	37.9711	4.36856	1.08214
25 <pt<30 	7<chiso range<12 	42.6985	38.8704	4.47133	0.856143
25 <pt<30 	7<chiso range<13 	42.6985	36.935	4.2503	1.35602
25 <pt<30 	8<chiso range<13 	42.6985	35.0764	4.03767	1.88775
#######################################################################################
30 <pt<35 	3<chiso range<8 	20.7955	31.4671	5.04597	2.11488
30 <pt<35 	3<chiso range<9 	20.7955	26.6715	4.29636	1.36767
30 <pt<35 	3<chiso range<10 	20.7955	26.7991	4.31648	1.39086
30 <pt<35 	3<chiso range<11 	20.7955	25.0347	4.03699	1.05009
30 <pt<35 	3<chiso range<12 	20.7955	23.8791	3.85361	0.800185
30 <pt<35 	3<chiso range<13 	20.7955	23.1924	3.74226	0.640495
30 <pt<35 	4<chiso range<9 	20.7955	28.1206	4.52485	1.61886
30 <pt<35 	4<chiso range<10 	20.7955	28.039	4.51194	1.60541
30 <pt<35 	4<chiso range<11 	20.7955	25.813	4.16041	1.20601
30 <pt<35 	4<chiso range<12 	20.7955	24.3815	3.93355	0.911645
30 <pt<35 	4<chiso range<13 	20.7955	23.5665	3.80164	0.728896
30 <pt<35 	5<chiso range<10 	20.7955	25.4711	4.10628	1.13865
30 <pt<35 	5<chiso range<11 	20.7955	23.2715	3.75481	0.659421
30 <pt<35 	5<chiso range<12 	20.7955	22.0431	3.55942	0.350507
30 <pt<35 	5<chiso range<13 	20.7955	21.3333	3.44622	0.156055
30 <pt<35 	6<chiso range<11 	20.7955	21.2399	3.43121	0.129517
30 <pt<35 	6<chiso range<12 	20.7955	20.1274	3.25339	0.205355
30 <pt<35 	6<chiso range<13 	20.7955	19.4506	3.14502	0.427628
30 <pt<35 	7<chiso range<12 	20.7955	19.0642	3.08308	0.561549
30 <pt<35 	7<chiso range<13 	20.7955	18.3797	2.97327	0.812506
30 <pt<35 	8<chiso range<13 	20.7955	14.82	2.40064	2.48913
#######################################################################################
35 <pt<50 	3<chiso range<8 	24.9792	25.1265	3.98719	0.0369433
35 <pt<50 	3<chiso range<9 	24.9792	25.3233	4.01821	0.0856351
35 <pt<50 	3<chiso range<10 	24.9792	24.7319	3.92491	0.0630078
35 <pt<50 	3<chiso range<11 	24.9792	26.264	4.16604	0.308398
35 <pt<50 	3<chiso range<12 	24.9792	26.5664	4.21373	0.376673
