pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	524.9	117.513	0.223877	0.49442	0.0182961	14.7869
20 <pt<25 	3<chiso range<9 	524.9	117.513	0.223877	0.483972	0.0197419	13.1748
20 <pt<25 	3<chiso range<10 	524.9	117.513	0.223877	0.484929	0.020989	12.4376
20 <pt<25 	3<chiso range<11 	524.9	117.513	0.223877	0.473286	0.0220227	11.3251
20 <pt<25 	3<chiso range<12 	524.9	117.513	0.223877	0.471691	0.0228541	10.8433
20 <pt<25 	3<chiso range<13 	524.9	117.513	0.223877	0.464319	0.0236404	10.1708
20 <pt<25 	4<chiso range<9 	524.9	117.513	0.223877	0.491566	0.0179697	14.8967
20 <pt<25 	4<chiso range<10 	524.9	117.513	0.223877	0.491661	0.0193262	13.856
20 <pt<25 	4<chiso range<11 	524.9	117.513	0.223877	0.476415	0.0204453	12.3519
20 <pt<25 	4<chiso range<12 	524.9	117.513	0.223877	0.474814	0.0213401	11.7589
20 <pt<25 	4<chiso range<13 	524.9	117.513	0.223877	0.466277	0.0221788	10.9294
20 <pt<25 	5<chiso range<10 	524.9	117.513	0.223877	0.494666	0.0175412	15.4373
20 <pt<25 	5<chiso range<11 	524.9	117.513	0.223877	0.478412	0.0187778	13.5551
20 <pt<25 	5<chiso range<12 	524.9	117.513	0.223877	0.477468	0.0197609	12.833
20 <pt<25 	5<chiso range<13 	524.9	117.513	0.223877	0.467515	0.0206642	11.7903
20 <pt<25 	6<chiso range<11 	524.9	117.513	0.223877	0.466473	0.0167763	14.4606
20 <pt<25 	6<chiso range<12 	524.9	117.513	0.223877	0.467985	0.0178709	13.6595
20 <pt<25 	6<chiso range<13 	524.9	117.513	0.223877	0.457477	0.0188593	12.3865
20 <pt<25 	7<chiso range<12 	524.9	117.513	0.223877	0.458853	0.0159319	14.7488
20 <pt<25 	7<chiso range<13 	524.9	117.513	0.223877	0.445687	0.0170172	13.0345
20 <pt<25 	8<chiso range<13 	524.9	117.513	0.223877	0.417288	0.0150379	12.8616
#######################################################################################
25 <pt<30 	3<chiso range<8 	279.475	51.312	0.183601	0.38256	0.0258745	7.68937
25 <pt<30 	3<chiso range<9 	279.475	51.312	0.183601	0.372688	0.0279777	6.75848
25 <pt<30 	3<chiso range<10 	279.475	51.312	0.183601	0.389596	0.0298123	6.90972
25 <pt<30 	3<chiso range<11 	279.475	51.312	0.183601	0.394408	0.0317019	6.64965
25 <pt<30 	3<chiso range<12 	279.475	51.312	0.183601	0.385908	0.0329536	6.13914
25 <pt<30 	3<chiso range<13 	279.475	51.312	0.183601	0.3797	0.0341169	5.74784
25 <pt<30 	4<chiso range<9 	279.475	51.312	0.183601	0.341078	0.0251	6.27397
25 <pt<30 	4<chiso range<10 	279.475	51.312	0.183601	0.358196	0.0270567	6.45292
25 <pt<30 	4<chiso range<11 	279.475	51.312	0.183601	0.366591	0.0290747	6.29377
25 <pt<30 	4<chiso range<12 	279.475	51.312	0.183601	0.36432	0.0304842	5.92827
25 <pt<30 	4<chiso range<13 	279.475	51.312	0.183601	0.360444	0.0317636	5.56746
25 <pt<30 	5<chiso range<10 	279.475	51.312	0.183601	0.384833	0.0245859	8.18484
25 <pt<30 	5<chiso range<11 	279.475	51.312	0.183601	0.364123	0.0264892	6.81491
25 <pt<30 	5<chiso range<12 	279.475	51.312	0.183601	0.354655	0.0279502	6.11994
25 <pt<30 	5<chiso range<13 	279.475	51.312	0.183601	0.360544	0.0294531	6.00761
25 <pt<30 	6<chiso range<11 	279.475	51.312	0.183601	0.383263	0.0241195	8.27802
25 <pt<30 	6<chiso range<12 	279.475	51.312	0.183601	0.370655	0.0257267	7.2708
25 <pt<30 	6<chiso range<13 	279.475	51.312	0.183601	0.362102	0.0271965	6.56337
25 <pt<30 	7<chiso range<12 	279.475	51.312	0.183601	0.393413	0.0231778	9.05227
25 <pt<30 	7<chiso range<13 	279.475	51.312	0.183601	0.350183	0.0246187	6.76647
25 <pt<30 	8<chiso range<13 	279.475	51.312	0.183601	0.368699	0.0221102	8.37159
#######################################################################################
30 <pt<40 	3<chiso range<8 	272.351	41.3449	0.151807	0.258945	0.0259194	4.13349
30 <pt<40 	3<chiso range<9 	272.351	41.3449	0.151807	0.262619	0.027755	3.99249
30 <pt<40 	3<chiso range<10 	272.351	41.3449	0.151807	0.268568	0.0297301	3.92735
30 <pt<40 	3<chiso range<11 	272.351	41.3449	0.151807	0.267738	0.031432	3.6883
30 <pt<40 	3<chiso range<12 	272.351	41.3449	0.151807	0.277542	0.0327131	3.84355
30 <pt<40 	3<chiso range<13 	272.351	41.3449	0.151807	0.266403	0.0338	3.3904
30 <pt<40 	4<chiso range<9 	272.351	41.3449	0.151807	0.262942	0.0250719	4.43264
30 <pt<40 	4<chiso range<10 	272.351	41.3449	0.151807	0.27044	0.0272456	4.35419
30 <pt<40 	4<chiso range<11 	272.351	41.3449	0.151807	0.269765	0.0290947	4.05426
30 <pt<40 	4<chiso range<12 	272.351	41.3449	0.151807	0.281506	0.0304821	4.25491
30 <pt<40 	4<chiso range<13 	272.351	41.3449	0.151807	0.268093	0.0316414	3.67511
30 <pt<40 	5<chiso range<10 	272.351	41.3449	0.151807	0.26935	0.0244799	4.8016
30 <pt<40 	5<chiso range<11 	272.351	41.3449	0.151807	0.269848	0.0265162	4.45164
