pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	117.513	152.719	16.0499	2.19353
20 <pt<25 	3<chiso range<9 	117.513	149.176	14.9022	2.12472
20 <pt<25 	3<chiso range<10 	117.513	149.768	14.4881	2.22631
20 <pt<25 	3<chiso range<11 	117.513	146.367	13.7772	2.09433
20 <pt<25 	3<chiso range<12 	117.513	146.323	13.5616	2.12438
20 <pt<25 	3<chiso range<13 	117.513	144.375	13.1478	2.04308
20 <pt<25 	4<chiso range<9 	117.513	150.345	15.7586	2.08343
20 <pt<25 	4<chiso range<10 	117.513	150.846	15.1639	2.19818
20 <pt<25 	4<chiso range<11 	117.513	146.408	14.2338	2.03003
20 <pt<25 	4<chiso range<12 	117.513	146.625	13.9974	2.07981
20 <pt<25 	4<chiso range<13 	117.513	144.487	13.5033	1.99759
20 <pt<25 	5<chiso range<10 	117.513	150.308	15.7605	2.08083
20 <pt<25 	5<chiso range<11 	117.513	146.004	14.723	1.93514
20 <pt<25 	5<chiso range<12 	117.513	146.81	14.5444	2.01431
20 <pt<25 	5<chiso range<13 	117.513	144.453	13.9518	1.93093
20 <pt<25 	6<chiso range<11 	117.513	139.805	14.8702	1.49911
20 <pt<25 	6<chiso range<12 	117.513	142.332	14.8535	1.67092
20 <pt<25 	6<chiso range<13 	117.513	140.219	14.1472	1.60498
20 <pt<25 	7<chiso range<12 	117.513	138.418	15.4617	1.35205
20 <pt<25 	7<chiso range<13 	117.513	135.701	14.4288	1.26053
20 <pt<25 	8<chiso range<13 	117.513	126.09	14.3221	0.598865
#######################################################################################
25 <pt<30 	3<chiso range<8 	51.312	62.6273	10.2272	1.10639
25 <pt<30 	3<chiso range<9 	51.312	61.4476	10.6651	0.950352
25 <pt<30 	3<chiso range<10 	51.312	64.3189	10.0041	1.30016
25 <pt<30 	3<chiso range<11 	51.312	65.1841	9.90746	1.40017
25 <pt<30 	3<chiso range<12 	51.312	63.8	9.54213	1.30872
25 <pt<30 	3<chiso range<13 	51.312	62.8709	9.26639	1.2474
25 <pt<30 	4<chiso range<9 	51.312	55.8929	9.17402	0.499334
25 <pt<30 	4<chiso range<10 	51.312	58.9872	9.46696	0.810735
25 <pt<30 	4<chiso range<11 	51.312	60.5315	9.49331	0.971158
25 <pt<30 	4<chiso range<12 	51.312	60.1519	9.48922	0.931573
25 <pt<30 	4<chiso range<13 	51.312	59.6038	9.28474	0.893057
25 <pt<30 	5<chiso range<10 	51.312	62.5343	10.524	1.06635
25 <pt<30 	5<chiso range<11 	51.312	59.8936	9.79225	0.876367
25 <pt<30 	5<chiso range<12 	51.312	58.4232	9.29114	0.765374
25 <pt<30 	5<chiso range<13 	51.312	59.4662	10.0659	0.810082
25 <pt<30 	6<chiso range<11 	51.312	62.6722	10.7985	1.05202
25 <pt<30 	6<chiso range<12 	51.312	60.6726	10.0321	0.933065
25 <pt<30 	6<chiso range<13 	51.312	59.5771	9.55806	0.864726
25 <pt<30 	7<chiso range<12 	51.312	65.3107	11.5386	1.21321
25 <pt<30 	7<chiso range<13 	51.312	57.6388	9.00697	0.702434
25 <pt<30 	8<chiso range<13 	51.312	61.6212	11.0545	0.932579
#######################################################################################
30 <pt<40 	3<chiso range<8 	41.3449	42.9454	7.91824	0.202128
30 <pt<40 	3<chiso range<9 	41.3449	43.6383	7.84168	0.292463
30 <pt<40 	3<chiso range<10 	41.3449	44.7158	7.89119	0.427173
30 <pt<40 	3<chiso range<11 	41.3449	44.6349	7.73688	0.425236
30 <pt<40 	3<chiso range<12 	41.3449	46.2497	7.96113	0.616093
30 <pt<40 	3<chiso range<13 	41.3449	44.4254	7.52477	0.409381
30 <pt<40 	4<chiso range<9 	41.3449	43.5396	8.13454	0.2698
30 <pt<40 	4<chiso range<10 	41.3449	44.9473	8.20048	0.439291
30 <pt<40 	4<chiso range<11 	41.3449	44.9329	8.00668	0.448126
30 <pt<40 	4<chiso range<12 	41.3449	46.8639	8.30223	0.664761
30 <pt<40 	4<chiso range<13 	41.3449	44.6799	7.73648	0.431075
30 <pt<40 	5<chiso range<10 	41.3449	44.6801	8.50162	0.392302
30 <pt<40 	5<chiso range<11 	41.3449	44.9199	8.51128	0.420031
30 <pt<40 	5<chiso range<12 	41.3449	46.8674	8.4333	0.654844
30 <pt<40 	5<chiso range<13 	41.3449	44.4714	7.97855	0.391863
30 <pt<40 	6<chiso range<11 	41.3449	43.96	8.39895	0.31136
30 <pt<40 	6<chiso range<12 	41.3449	46.8998	8.7015	0.638384
30 <pt<40 	6<chiso range<13 	41.3449	43.9719	8.06803	0.325606
30 <pt<40 	7<chiso range<12 	41.3449	45.5423	8.93963	0.469527
30 <pt<40 	7<chiso range<13 	41.3449	42.4446	7.97692	0.13786
30 <pt<40 	8<chiso range<13 	41.3449	44.9346	9.00309	0.398719
#######################################################################################
40 <pt<50 	3<chiso range<8 	16.6118	13.7937	4.91529	0.573333
40 <pt<50 	3<chiso range<9 	16.6118	14.786	4.3907	0.415833
40 <pt<50 	3<chiso range<10 	16.6118	14.3577	4.21041	0.535364
40 <pt<50 	3<chiso range<11 	16.6118	14.2065	4.77717	0.503499
40 <pt<50 	3<chiso range<12 	16.6118	13.8648	4.793	0.573127
40 <pt<50 	3<chiso range<13 	16.6118	15.0418	4.68455	0.335144
40 <pt<50 	4<chiso range<9 	16.6118	14.2945	4.44566	0.52125
40 <pt<50 	4<chiso range<10 	16.6118	13.8486	4.20999	0.656344
40 <pt<50 	4<chiso range<11 	16.6118	13.9538	4.22248	0.629488
40 <pt<50 	4<chiso range<12 	16.6118	13.7638	4.47929	0.635815
40 <pt<50 	4<chiso range<13 	16.6118	14.5892	4.07837	0.495933
40 <pt<50 	5<chiso range<10 	16.6118	15.0438	4.53374	0.345851
40 <pt<50 	5<chiso range<11 	16.6118	14.6304	5.14246	0.385302
40 <pt<50 	5<chiso range<12 	16.6118	13.5559	4.31748	0.707797
40 <pt<50 	5<chiso range<13 	16.6118	14.6444	4.7114	0.417583
40 <pt<50 	6<chiso range<11 	16.6118	15.4243	5.06657	0.234379
40 <pt<50 	6<chiso range<12 	16.6118	14.853	4.68771	0.375194
40 <pt<50 	6<chiso range<13 	16.6118	15.7057	4.59325	0.197268
40 <pt<50 	7<chiso range<12 	16.6118	15.2484	4.8132	0.283263
40 <pt<50 	7<chiso range<13 	16.6118	15.8001	4.80799	0.168823
40 <pt<50 	8<chiso range<13 	16.6118	14.5607	4.62248	0.443723
#######################################################################################
50 <pt<70 	3<chiso range<8 	10.7054	8.57841	3.3259	0.639523
50 <pt<70 	3<chiso range<9 	10.7054	9.23956	2.8632	0.511959
50 <pt<70 	3<chiso range<10 	10.7054	9.21211	3.05327	0.489079
50 <pt<70 	3<chiso range<11 	10.7054	9.13665	2.92375	0.536554
50 <pt<70 	3<chiso range<12 	10.7054	9.46523	3.00915	0.412133
50 <pt<70 	3<chiso range<13 	10.7054	9.64374	3.18048	0.333805
50 <pt<70 	4<chiso range<9 	10.7054	8.9792	2.87234	0.600973
50 <pt<70 	4<chiso range<10 	10.7054	8.95797	2.80515	0.622936
50 <pt<70 	4<chiso range<11 	10.7054	9.06188	2.98665	0.550289
50 <pt<70 	4<chiso range<12 	10.7054	9.45235	3.07951	0.406899
50 <pt<70 	4<chiso range<13 	10.7054	9.70098	3.29467	0.304862
50 <pt<70 	5<chiso range<10 	10.7054	8.85244	2.84799	0.65062
50 <pt<70 	5<chiso range<11 	10.7054	8.87476	3.0026	0.609685
50 <pt<70 	5<chiso range<12 	10.7054	9.35937	3.1338	0.42952
50 <pt<70 	5<chiso range<13 	10.7054	9.33118	3.66337	0.375125
