pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	189.447	2.47033e-323	0	inf
20  <pt<25 	3<chiso range<9 	189.447	2.47033e-323	0	inf
20  <pt<25 	3<chiso range<10 	189.447	2.47033e-323	0	inf
20  <pt<25 	3<chiso range<11 	189.447	2.47033e-323	0	inf
20  <pt<25 	3<chiso range<12 	189.447	2.47033e-323	0	inf
20  <pt<25 	3<chiso range<13 	189.447	2.47033e-323	0	inf
20  <pt<25 	4<chiso range<9 	189.447	2.47033e-323	0	inf
20  <pt<25 	4<chiso range<10 	189.447	2.47033e-323	0	inf
20  <pt<25 	4<chiso range<11 	189.447	2.47033e-323	0	inf
20  <pt<25 	4<chiso range<12 	189.447	2.47033e-323	0	inf
20  <pt<25 	4<chiso range<13 	189.447	2.47033e-323	0	inf
20  <pt<25 	5<chiso range<10 	189.447	2.47033e-323	0	inf
20  <pt<25 	5<chiso range<11 	189.447	2.47033e-323	0	inf
20  <pt<25 	5<chiso range<12 	189.447	2.47033e-323	0	inf
20  <pt<25 	5<chiso range<13 	189.447	2.47033e-323	0	inf
20  <pt<25 	6<chiso range<11 	189.447	2.47033e-323	0	inf
20  <pt<25 	6<chiso range<12 	189.447	2.47033e-323	0	inf
20  <pt<25 	6<chiso range<13 	189.447	2.47033e-323	0	inf
20  <pt<25 	7<chiso range<12 	189.447	2.47033e-323	0	inf
20  <pt<25 	7<chiso range<13 	189.447	2.47033e-323	0	inf
20  <pt<25 	8<chiso range<13 	189.447	2.47033e-323	0	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	110.462	2.47033e-323	0	inf
25  <pt<30 	3<chiso range<9 	110.462	2.47033e-323	0	inf
25  <pt<30 	3<chiso range<10 	110.462	2.47033e-323	0	inf
25  <pt<30 	3<chiso range<11 	110.462	2.47033e-323	0	inf
25  <pt<30 	3<chiso range<12 	110.462	2.47033e-323	0	inf
25  <pt<30 	3<chiso range<13 	110.462	2.47033e-323	0	inf
25  <pt<30 	4<chiso range<9 	110.462	2.47033e-323	0	inf
25  <pt<30 	4<chiso range<10 	110.462	2.47033e-323	0	inf
25  <pt<30 	4<chiso range<11 	110.462	2.47033e-323	0	inf
25  <pt<30 	4<chiso range<12 	110.462	2.47033e-323	0	inf
25  <pt<30 	4<chiso range<13 	110.462	2.47033e-323	0	inf
25  <pt<30 	5<chiso range<10 	110.462	2.47033e-323	0	inf
25  <pt<30 	5<chiso range<11 	110.462	2.47033e-323	0	inf
25  <pt<30 	5<chiso range<12 	110.462	2.47033e-323	0	inf
25  <pt<30 	5<chiso range<13 	110.462	2.47033e-323	0	inf
25  <pt<30 	6<chiso range<11 	110.462	2.47033e-323	0	inf
25  <pt<30 	6<chiso range<12 	110.462	2.47033e-323	0	inf
25  <pt<30 	6<chiso range<13 	110.462	2.47033e-323	0	inf
25  <pt<30 	7<chiso range<12 	110.462	2.47033e-323	0	inf
25  <pt<30 	7<chiso range<13 	110.462	2.47033e-323	0	inf
25  <pt<30 	8<chiso range<13 	110.462	2.47033e-323	0	inf
#######################################################################################
30  <pt<40 	3<chiso range<8 	122.979	2.47033e-323	0	inf
30  <pt<40 	3<chiso range<9 	122.979	2.47033e-323	0	inf
30  <pt<40 	3<chiso range<10 	122.979	2.47033e-323	0	inf
30  <pt<40 	3<chiso range<11 	122.979	2.47033e-323	0	inf
30  <pt<40 	3<chiso range<12 	122.979	2.47033e-323	0	inf
30  <pt<40 	3<chiso range<13 	122.979	2.47033e-323	0	inf
30  <pt<40 	4<chiso range<9 	122.979	2.47033e-323	0	inf
30  <pt<40 	4<chiso range<10 	122.979	2.47033e-323	0	inf
30  <pt<40 	4<chiso range<11 	122.979	2.47033e-323	0	inf
30  <pt<40 	4<chiso range<12 	122.979	2.47033e-323	0	inf
30  <pt<40 	4<chiso range<13 	122.979	2.47033e-323	0	inf
30  <pt<40 	5<chiso range<10 	122.979	2.47033e-323	0	inf
30  <pt<40 	5<chiso range<11 	122.979	2.47033e-323	0	inf
30  <pt<40 	5<chiso range<12 	122.979	2.47033e-323	0	inf
30  <pt<40 	5<chiso range<13 	122.979	2.47033e-323	0	inf
30  <pt<40 	6<chiso range<11 	122.979	2.47033e-323	0	inf
30  <pt<40 	6<chiso range<12 	122.979	2.47033e-323	0	inf
30  <pt<40 	6<chiso range<13 	122.979	2.47033e-323	0	inf
30  <pt<40 	7<chiso range<12 	122.979	2.47033e-323	0	inf
30  <pt<40 	7<chiso range<13 	122.979	2.47033e-323	0	inf
30  <pt<40 	8<chiso range<13 	122.979	2.47033e-323	0	inf
#######################################################################################
40  <pt<50 	3<chiso range<8 	65.5486	2.47033e-323	0	inf
40  <pt<50 	3<chiso range<9 	65.5486	2.47033e-323	0	inf
40  <pt<50 	3<chiso range<10 	65.5486	2.47033e-323	0	inf
40  <pt<50 	3<chiso range<11 	65.5486	2.47033e-323	0	inf
40  <pt<50 	3<chiso range<12 	65.5486	2.47033e-323	0	inf
40  <pt<50 	3<chiso range<13 	65.5486	2.47033e-323	0	inf
40  <pt<50 	4<chiso range<9 	65.5486	2.47033e-323	0	inf
40  <pt<50 	4<chiso range<10 	65.5486	2.47033e-323	0	inf
40  <pt<50 	4<chiso range<11 	65.5486	2.47033e-323	0	inf
40  <pt<50 	4<chiso range<12 	65.5486	2.47033e-323	0	inf
40  <pt<50 	4<chiso range<13 	65.5486	2.47033e-323	0	inf
40  <pt<50 	5<chiso range<10 	65.5486	2.47033e-323	0	inf
40  <pt<50 	5<chiso range<11 	65.5486	2.47033e-323	0	inf
40  <pt<50 	5<chiso range<12 	65.5486	2.47033e-323	0	inf
40  <pt<50 	5<chiso range<13 	65.5486	2.47033e-323	0	inf
40  <pt<50 	6<chiso range<11 	65.5486	2.47033e-323	0	inf
40  <pt<50 	6<chiso range<12 	65.5486	2.47033e-323	0	inf
40  <pt<50 	6<chiso range<13 	65.5486	2.47033e-323	0	inf
40  <pt<50 	7<chiso range<12 	65.5486	2.47033e-323	0	inf
40  <pt<50 	7<chiso range<13 	65.5486	2.47033e-323	0	inf
40  <pt<50 	8<chiso range<13 	65.5486	2.47033e-323	0	inf
#######################################################################################
50  <pt<70 	3<chiso range<8 	64.9278	2.47033e-323	0	inf
50  <pt<70 	3<chiso range<9 	64.9278	2.47033e-323	0	inf
50  <pt<70 	3<chiso range<10 	64.9278	2.47033e-323	0	inf
50  <pt<70 	3<chiso range<11 	64.9278	2.47033e-323	0	inf
50  <pt<70 	3<chiso range<12 	64.9278	2.47033e-323	0	inf
50  <pt<70 	3<chiso range<13 	64.9278	2.47033e-323	0	inf
50  <pt<70 	4<chiso range<9 	64.9278	2.47033e-323	0	inf
50  <pt<70 	4<chiso range<10 	64.9278	2.47033e-323	0	inf
50  <pt<70 	4<chiso range<11 	64.9278	2.47033e-323	0	inf
50  <pt<70 	4<chiso range<12 	64.9278	2.47033e-323	0	inf
50  <pt<70 	4<chiso range<13 	64.9278	2.47033e-323	0	inf
50  <pt<70 	5<chiso range<10 	64.9278	2.47033e-323	0	inf
50  <pt<70 	5<chiso range<11 	64.9278	2.47033e-323	0	inf
50  <pt<70 	5<chiso range<12 	64.9278	2.47033e-323	0	inf
50  <pt<70 	5<chiso range<13 	64.9278	2.47033e-323	0	inf
