pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	524.9	117.513	189.447	152.719	2.47033e-323	2.19353	inf
20 <pt<25 	3<chiso range<9 	524.9	117.513	189.447	149.176	2.47033e-323	2.12472	inf
20 <pt<25 	3<chiso range<10 	524.9	117.513	189.447	149.768	2.47033e-323	2.22631	inf
20 <pt<25 	3<chiso range<11 	524.9	117.513	189.447	146.367	2.47033e-323	2.09433	inf
20 <pt<25 	3<chiso range<12 	524.9	117.513	189.447	146.323	2.47033e-323	2.12438	inf
20 <pt<25 	3<chiso range<13 	524.9	117.513	189.447	144.375	2.47033e-323	2.04308	inf
20 <pt<25 	4<chiso range<9 	524.9	117.513	189.447	150.345	2.47033e-323	2.08343	inf
20 <pt<25 	4<chiso range<10 	524.9	117.513	189.447	150.846	2.47033e-323	2.19818	inf
20 <pt<25 	4<chiso range<11 	524.9	117.513	189.447	146.408	2.47033e-323	2.03003	inf
20 <pt<25 	4<chiso range<12 	524.9	117.513	189.447	146.625	2.47033e-323	2.07981	inf
20 <pt<25 	4<chiso range<13 	524.9	117.513	189.447	144.487	2.47033e-323	1.99759	inf
20 <pt<25 	5<chiso range<10 	524.9	117.513	189.447	150.308	2.47033e-323	2.08083	inf
20 <pt<25 	5<chiso range<11 	524.9	117.513	189.447	146.004	2.47033e-323	1.93514	inf
20 <pt<25 	5<chiso range<12 	524.9	117.513	189.447	146.81	2.47033e-323	2.01431	inf
20 <pt<25 	5<chiso range<13 	524.9	117.513	189.447	144.453	2.47033e-323	1.93093	inf
20 <pt<25 	6<chiso range<11 	524.9	117.513	189.447	139.805	2.47033e-323	1.49911	inf
20 <pt<25 	6<chiso range<12 	524.9	117.513	189.447	142.332	2.47033e-323	1.67092	inf
20 <pt<25 	6<chiso range<13 	524.9	117.513	189.447	140.219	2.47033e-323	1.60498	inf
20 <pt<25 	7<chiso range<12 	524.9	117.513	189.447	138.418	2.47033e-323	1.35205	inf
20 <pt<25 	7<chiso range<13 	524.9	117.513	189.447	135.701	2.47033e-323	1.26053	inf
20 <pt<25 	8<chiso range<13 	524.9	117.513	189.447	126.09	2.47033e-323	0.598865	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	279.475	51.312	110.462	62.6273	2.47033e-323	1.10639	inf
25 <pt<30 	3<chiso range<9 	279.475	51.312	110.462	61.4476	2.47033e-323	0.950352	inf
25 <pt<30 	3<chiso range<10 	279.475	51.312	110.462	64.3189	2.47033e-323	1.30016	inf
25 <pt<30 	3<chiso range<11 	279.475	51.312	110.462	65.1841	2.47033e-323	1.40017	inf
25 <pt<30 	3<chiso range<12 	279.475	51.312	110.462	63.8	2.47033e-323	1.30872	inf
25 <pt<30 	3<chiso range<13 	279.475	51.312	110.462	62.8709	2.47033e-323	1.2474	inf
25 <pt<30 	4<chiso range<9 	279.475	51.312	110.462	55.8929	2.47033e-323	0.499334	inf
25 <pt<30 	4<chiso range<10 	279.475	51.312	110.462	58.9872	2.47033e-323	0.810735	inf
25 <pt<30 	4<chiso range<11 	279.475	51.312	110.462	60.5315	2.47033e-323	0.971158	inf
25 <pt<30 	4<chiso range<12 	279.475	51.312	110.462	60.1519	2.47033e-323	0.931573	inf
25 <pt<30 	4<chiso range<13 	279.475	51.312	110.462	59.6038	2.47033e-323	0.893057	inf
25 <pt<30 	5<chiso range<10 	279.475	51.312	110.462	62.5343	2.47033e-323	1.06635	inf
25 <pt<30 	5<chiso range<11 	279.475	51.312	110.462	59.8936	2.47033e-323	0.876367	inf
