pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	223.482	95.2409	0.426168	0.509659	0.02498	3.34231
20 <pt<25 	3<chiso range<9 	223.482	95.2409	0.426168	0.523287	0.0267388	3.63213
20 <pt<25 	3<chiso range<10 	223.482	95.2409	0.426168	0.505052	0.028097	2.80756
20 <pt<25 	3<chiso range<11 	223.482	95.2409	0.426168	0.487682	0.0291881	2.1075
20 <pt<25 	3<chiso range<12 	223.482	95.2409	0.426168	0.490871	0.0301591	2.14539
20 <pt<25 	3<chiso range<13 	223.482	95.2409	0.426168	0.491332	0.0309132	2.10796
20 <pt<25 	4<chiso range<9 	223.482	95.2409	0.426168	0.559173	0.023903	5.56436
20 <pt<25 	4<chiso range<10 	223.482	95.2409	0.426168	0.534474	0.0254504	4.25557
20 <pt<25 	4<chiso range<11 	223.482	95.2409	0.426168	0.509168	0.0266359	3.11609
20 <pt<25 	4<chiso range<12 	223.482	95.2409	0.426168	0.508819	0.027653	2.98886
20 <pt<25 	4<chiso range<13 	223.482	95.2409	0.426168	0.507746	0.0284603	2.86638
20 <pt<25 	5<chiso range<10 	223.482	95.2409	0.426168	0.517972	0.0225388	4.07315
20 <pt<25 	5<chiso range<11 	223.482	95.2409	0.426168	0.490518	0.023898	2.69269
20 <pt<25 	5<chiso range<12 	223.482	95.2409	0.426168	0.491947	0.0250216	2.62888
20 <pt<25 	5<chiso range<13 	223.482	95.2409	0.426168	0.492129	0.0259182	2.54496
20 <pt<25 	6<chiso range<11 	223.482	95.2409	0.426168	0.457268	0.0213626	1.45581
20 <pt<25 	6<chiso range<12 	223.482	95.2409	0.426168	0.550095	0.0221157	5.60357
20 <pt<25 	6<chiso range<13 	223.482	95.2409	0.426168	0.466955	0.0236166	1.72704
20 <pt<25 	7<chiso range<12 	223.482	95.2409	0.426168	0.504978	0.0200852	3.92378
20 <pt<25 	7<chiso range<13 	223.482	95.2409	0.426168	0.504893	0.0212069	3.71223
20 <pt<25 	8<chiso range<13 	223.482	95.2409	0.426168	0.45506	0.0181479	1.59202
#######################################################################################
25 <pt<30 	3<chiso range<8 	121.137	42.6985	0.352481	0.452344	0.0375271	2.66109
25 <pt<30 	3<chiso range<9 	121.137	42.6985	0.352481	0.447243	0.0399655	2.37109
25 <pt<30 	3<chiso range<10 	121.137	42.6985	0.352481	0.442423	0.0417728	2.15312
25 <pt<30 	3<chiso range<11 	121.137	42.6985	0.352481	0.425166	0.0435155	1.67032
25 <pt<30 	3<chiso range<12 	121.137	42.6985	0.352481	0.431684	0.0448469	1.76607
25 <pt<30 	3<chiso range<13 	121.137	42.6985	0.352481	0.429961	0.0458508	1.68983
25 <pt<30 	4<chiso range<9 	121.137	42.6985	0.352481	0.502513	0.0349807	4.28899
25 <pt<30 	4<chiso range<10 	121.137	42.6985	0.352481	0.489313	0.0370353	3.69464
25 <pt<30 	4<chiso range<11 	121.137	42.6985	0.352481	0.460777	0.0389795	2.77828
25 <pt<30 	4<chiso range<12 	121.137	42.6985	0.352481	0.469046	0.0404277	2.88329
25 <pt<30 	4<chiso range<13 	121.137	42.6985	0.352481	0.465329	0.0415489	2.71603
25 <pt<30 	5<chiso range<10 	121.137	42.6985	0.352481	0.46758	0.0325134	3.54005
25 <pt<30 	5<chiso range<11 	121.137	42.6985	0.352481	0.429778	0.03493	2.21291
25 <pt<30 	5<chiso range<12 	121.137	42.6985	0.352481	0.440129	0.0365551	2.39769
25 <pt<30 	5<chiso range<13 	121.137	42.6985	0.352481	0.437525	0.0377862	2.25066
25 <pt<30 	6<chiso range<11 	121.137	42.6985	0.352481	0.40132	0.0307281	1.58939
25 <pt<30 	6<chiso range<12 	121.137	42.6985	0.352481	0.415724	0.0325324	1.944
