pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	95.2409	77.9418	8.79173	1.96766
20 <pt<25 	3<chiso range<9 	95.2409	80.1459	8.76248	1.72269
20 <pt<25 	3<chiso range<10 	95.2409	77.3507	8.1482	2.1956
20 <pt<25 	3<chiso range<11 	95.2409	74.5223	7.67356	2.7
20 <pt<25 	3<chiso range<12 	95.2409	75.0611	7.56568	2.66728
20 <pt<25 	3<chiso range<13 	95.2409	75.0979	7.47364	2.69521
20 <pt<25 	4<chiso range<9 	95.2409	85.2862	10.0018	0.995291
20 <pt<25 	4<chiso range<10 	95.2409	81.8593	9.17577	1.45836
20 <pt<25 	4<chiso range<11 	95.2409	77.6422	8.43354	2.08675
20 <pt<25 	4<chiso range<12 	95.2409	77.526	8.15548	2.17215
20 <pt<25 	4<chiso range<13 	95.2409	77.2903	7.98007	2.24943
20 <pt<25 	5<chiso range<10 	95.2409	79.1502	9.51916	1.69035
20 <pt<25 	5<chiso range<11 	95.2409	74.6561	8.6185	2.38844
20 <pt<25 	5<chiso range<12 	95.2409	74.7542	8.27796	2.47485
20 <pt<25 	5<chiso range<13 	95.2409	74.7302	8.09001	2.53531
20 <pt<25 	6<chiso range<11 	95.2409	69.39	8.59422	3.00794
20 <pt<25 	6<chiso range<12 	95.2409	96.4767	11.6325	0.106237
20 <pt<25 	6<chiso range<13 	95.2409	70.7581	8.08083	3.02974
20 <pt<25 	7<chiso range<12 	95.2409	76.8946	9.83141	1.86609
20 <pt<25 	7<chiso range<13 	95.2409	76.8242	9.48308	1.94206
20 <pt<25 	8<chiso range<13 	95.2409	68.412	9.0843	2.95333
#######################################################################################
25 <pt<30 	3<chiso range<8 	42.6985	36.2378	5.79771	1.11435
25 <pt<30 	3<chiso range<9 	42.6985	35.7757	5.51028	1.25634
25 <pt<30 	3<chiso range<10 	42.6985	35.4744	5.32596	1.35639
25 <pt<30 	3<chiso range<11 	42.6985	34.0428	4.97537	1.73971
25 <pt<30 	3<chiso range<12 	42.6985	34.5398	4.96945	1.64177
25 <pt<30 	3<chiso range<13 	42.6985	34.4216	4.90878	1.68614
25 <pt<30 	4<chiso range<9 	42.6985	39.7431	6.55162	0.451095
25 <pt<30 	4<chiso range<10 	42.6985	38.9527	6.19181	0.60496
25 <pt<30 	4<chiso range<11 	42.6985	36.6269	5.60197	1.08383
25 <pt<30 	4<chiso range<12 	42.6985	37.3943	5.57192	0.951952
25 <pt<30 	4<chiso range<13 	42.6985	37.1642	5.45933	1.01373
25 <pt<30 	5<chiso range<10 	42.6985	42.485	7.49344	0.0284916
25 <pt<30 	5<chiso range<11 	42.6985	34.2809	5.52534	1.52345
25 <pt<30 	5<chiso range<12 	42.6985	35.1091	5.48893	1.38267
25 <pt<30 	5<chiso range<13 	42.6985	34.962	5.36419	1.44225
25 <pt<30 	6<chiso range<11 	42.6985	31.5783	5.34818	2.07925
25 <pt<30 	6<chiso range<12 	42.6985	32.7477	5.32429	1.86894
25 <pt<30 	6<chiso range<13 	42.6985	32.8271	5.21486	1.89294
25 <pt<30 	7<chiso range<12 	42.6985	32.4196	5.59775	1.83626
25 <pt<30 	7<chiso range<13 	42.6985	32.6721	5.46581	1.83439
25 <pt<30 	8<chiso range<13 	42.6985	30.0547	5.42099	2.33238
#######################################################################################
30 <pt<35 	3<chiso range<8 	20.7955	24.5173	5.43884	0.6843
30 <pt<35 	3<chiso range<9 	20.7955	21.8967	4.62007	0.238351
30 <pt<35 	3<chiso range<10 	20.7955	21.3027	4.36555	0.116182
30 <pt<35 	3<chiso range<11 	20.7955	19.333	3.89325	0.37565
