pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	3<chiso range<9 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	3<chiso range<10 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	3<chiso range<11 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	3<chiso range<12 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	3<chiso range<13 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	4<chiso range<9 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	4<chiso range<10 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	4<chiso range<11 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	4<chiso range<12 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	4<chiso range<13 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	5<chiso range<10 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	5<chiso range<11 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	5<chiso range<12 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	5<chiso range<13 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	6<chiso range<11 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	6<chiso range<12 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	6<chiso range<13 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	7<chiso range<12 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	7<chiso range<13 	57.9362	1.05202e-297	6.95279e-310	inf
20  <pt<25 	8<chiso range<13 	57.9362	1.05202e-297	6.95279e-310	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	37.2346	1.05202e-297	6.95279e-310	inf
25  <pt<30 	3<chiso range<9 	37.2346	1.05202e-297	6.95279e-310	inf
25  <pt<30 	3<chiso range<10 	37.2346	1.05202e-297	6.95279e-310	inf
25  <pt<30 	3<chiso range<11 	37.2346	1.05202e-297	6.95279e-310	inf
25  <pt<30 	3<chiso range<12 	37.2346	1.05202e-297	6.95279e-310	inf
