pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	223.482	95.2409	57.9362	77.9418	1.05202e-297	1.96766	inf
20 <pt<25 	3<chiso range<9 	223.482	95.2409	57.9362	80.1459	1.05202e-297	1.72269	inf
20 <pt<25 	3<chiso range<10 	223.482	95.2409	57.9362	77.3507	1.05202e-297	2.1956	inf
20 <pt<25 	3<chiso range<11 	223.482	95.2409	57.9362	74.5223	1.05202e-297	2.7	inf
20 <pt<25 	3<chiso range<12 	223.482	95.2409	57.9362	75.0611	1.05202e-297	2.66728	inf
20 <pt<25 	3<chiso range<13 	223.482	95.2409	57.9362	75.0979	1.05202e-297	2.69521	inf
20 <pt<25 	4<chiso range<9 	223.482	95.2409	57.9362	85.2862	1.05202e-297	0.995291	inf
20 <pt<25 	4<chiso range<10 	223.482	95.2409	57.9362	81.8593	1.05202e-297	1.45836	inf
20 <pt<25 	4<chiso range<11 	223.482	95.2409	57.9362	77.6422	1.05202e-297	2.08675	inf
20 <pt<25 	4<chiso range<12 	223.482	95.2409	57.9362	77.526	1.05202e-297	2.17215	inf
20 <pt<25 	4<chiso range<13 	223.482	95.2409	57.9362	77.2903	1.05202e-297	2.24943	inf
20 <pt<25 	5<chiso range<10 	223.482	95.2409	57.9362	79.1502	1.05202e-297	1.69035	inf
20 <pt<25 	5<chiso range<11 	223.482	95.2409	57.9362	74.6561	1.05202e-297	2.38844	inf
20 <pt<25 	5<chiso range<12 	223.482	95.2409	57.9362	74.7542	1.05202e-297	2.47485	inf
20 <pt<25 	5<chiso range<13 	223.482	95.2409	57.9362	74.7302	1.05202e-297	2.53531	inf
20 <pt<25 	6<chiso range<11 	223.482	95.2409	57.9362	69.39	1.05202e-297	3.00794	inf
20 <pt<25 	6<chiso range<12 	223.482	95.2409	57.9362	96.4767	1.05202e-297	0.106237	inf
20 <pt<25 	6<chiso range<13 	223.482	95.2409	57.9362	70.7581	1.05202e-297	3.02974	inf
20 <pt<25 	7<chiso range<12 	223.482	95.2409	57.9362	76.8946	1.05202e-297	1.86609	inf
20 <pt<25 	7<chiso range<13 	223.482	95.2409	57.9362	76.8242	1.05202e-297	1.94206	inf
20 <pt<25 	8<chiso range<13 	223.482	95.2409	57.9362	68.412	1.05202e-297	2.95333	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	121.137	42.6985	37.2346	36.2378	1.05202e-297	1.11435	inf
25 <pt<30 	3<chiso range<9 	121.137	42.6985	37.2346	35.7757	1.05202e-297	1.25634	inf
25 <pt<30 	3<chiso range<10 	121.137	42.6985	37.2346	35.4744	1.05202e-297	1.35639	inf
25 <pt<30 	3<chiso range<11 	121.137	42.6985	37.2346	34.0428	1.05202e-297	1.73971	inf
25 <pt<30 	3<chiso range<12 	121.137	42.6985	37.2346	34.5398	1.05202e-297	1.64177	inf
25 <pt<30 	3<chiso range<13 	121.137	42.6985	37.2346	34.4216	1.05202e-297	1.68614	inf
