pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	140.583	58.8181	0.418387	0.581717	0.0551843	2.95972
20 <pt<25 	3<chiso range<9 	140.583	58.8181	0.418387	0.586072	0.0556874	3.01118
20 <pt<25 	3<chiso range<10 	140.583	58.8181	0.418387	0.580228	0.0551633	2.93385
20 <pt<25 	3<chiso range<11 	140.583	58.8181	0.418387	0.548045	0.0521552	2.486
20 <pt<25 	3<chiso range<12 	140.583	58.8181	0.418387	0.548045	0.0521619	2.48568
20 <pt<25 	3<chiso range<13 	140.583	58.8181	0.418387	0.550911	0.05243	2.52764
20 <pt<25 	4<chiso range<9 	140.583	58.8181	0.418387	0.66179	0.0628977	3.86982
20 <pt<25 	4<chiso range<10 	140.583	58.8181	0.418387	0.64246	0.0610894	3.66795
20 <pt<25 	4<chiso range<11 	140.583	58.8181	0.418387	0.595096	0.0565965	3.12226
20 <pt<25 	4<chiso range<12 	140.583	58.8181	0.418387	0.590252	0.0561423	3.06124
20 <pt<25 	4<chiso range<13 	140.583	58.8181	0.418387	0.591825	0.0562899	3.08116
20 <pt<25 	5<chiso range<10 	140.583	58.8181	0.418387	0.654045	0.0621625	3.791
20 <pt<25 	5<chiso range<11 	140.583	58.8181	0.418387	0.591883	0.0562927	3.08203
20 <pt<25 	5<chiso range<12 	140.583	58.8181	0.418387	0.586274	0.0557685	3.01043
20 <pt<25 	5<chiso range<13 	140.583	58.8181	0.418387	0.588414	0.0559683	3.03792
20 <pt<25 	6<chiso range<11 	140.583	58.8181	0.418387	0.591647	0.0562584	3.07972
20 <pt<25 	6<chiso range<12 	140.583	58.8181	0.418387	0.584993	0.0556443	2.99413
20 <pt<25 	6<chiso range<13 	140.583	58.8181	0.418387	0.587593	0.0558848	3.02776
20 <pt<25 	7<chiso range<12 	140.583	58.8181	0.418387	0.604104	0.0574846	3.23073
20 <pt<25 	7<chiso range<13 	140.583	58.8181	0.418387	0.605838	0.0576457	3.25178
20 <pt<25 	8<chiso range<13 	140.583	58.8181	0.418387	0.48817	0.0464537	1.50221
#######################################################################################
25 <pt<30 	3<chiso range<8 	76.8196	27.0711	0.352398	0.47732	0.067159	1.86009
25 <pt<30 	3<chiso range<9 	76.8196	27.0711	0.352398	0.490522	0.0690504	2.00033
25 <pt<30 	3<chiso range<10 	76.8196	27.0711	0.352398	0.494134	0.0695384	2.03824
25 <pt<30 	3<chiso range<11 	76.8196	27.0711	0.352398	0.461611	0.0649657	1.68108
25 <pt<30 	3<chiso range<12 	76.8196	27.0711	0.352398	0.465398	0.0655303	1.72439
25 <pt<30 	3<chiso range<13 	76.8196	27.0711	0.352398	0.46854	0.0659713	1.76049
25 <pt<30 	4<chiso range<9 	76.8196	27.0711	0.352398	0.556834	0.0782788	2.61163
25 <pt<30 	4<chiso range<10 	76.8196	27.0711	0.352398	0.552516	0.0776766	2.57629
25 <pt<30 	4<chiso range<11 	76.8196	27.0711	0.352398	0.503887	0.0709038	2.13654
25 <pt<30 	4<chiso range<12 	76.8196	27.0711	0.352398	0.503924	0.0709292	2.13629
25 <pt<30 	4<chiso range<13 	76.8196	27.0711	0.352398	0.505241	0.0711137	2.14927
25 <pt<30 	5<chiso range<10 	76.8196	27.0711	0.352398	0.53982	0.0759209	2.46864
25 <pt<30 	5<chiso range<11 	76.8196	27.0711	0.352398	0.483886	0.0681324	1.92988
25 <pt<30 	5<chiso range<12 	76.8196	27.0711	0.352398	0.486135	0.0684567	1.95359
25 <pt<30 	5<chiso range<13 	76.8196	27.0711	0.352398	0.488999	0.0688572	1.98383
25 <pt<30 	6<chiso range<11 	76.8196	27.0711	0.352398	0.471563	0.0664284	1.79388
25 <pt<30 	6<chiso range<12 	76.8196	27.0711	0.352398	0.475966	0.0670426	1.84312
25 <pt<30 	6<chiso range<13 	76.8196	27.0711	0.352398	0.480355	0.0676573	1.89125
25 <pt<30 	7<chiso range<12 	76.8196	27.0711	0.352398	0.506423	0.0712749	2.16099
25 <pt<30 	7<chiso range<13 	76.8196	27.0711	0.352398	0.508461	0.0715662	2.18068
25 <pt<30 	8<chiso range<13 	76.8196	27.0711	0.352398	0.454111	0.0639893	1.58953
#######################################################################################
30 <pt<50 	3<chiso range<8 	108.392	29.5321	0.272456	0.357956	0.0517937	1.65077
30 <pt<50 	3<chiso range<9 	108.392	29.5321	0.272456	0.326208	0.0472286	1.13811
30 <pt<50 	3<chiso range<10 	108.392	29.5321	0.272456	0.331903	0.0480471	1.23726
30 <pt<50 	3<chiso range<11 	108.392	29.5321	0.272456	0.348733	0.0504313	1.51248
30 <pt<50 	3<chiso range<12 	108.392	29.5321	0.272456	0.35811	0.0518107	1.6532
30 <pt<50 	3<chiso range<13 	108.392	29.5321	0.272456	0.359282	0.051968	1.67075
30 <pt<50 	4<chiso range<9 	108.392	29.5321	0.272456	0.343878	0.0497909	1.43443
30 <pt<50 	4<chiso range<10 	108.392	29.5321	0.272456	0.347898	0.0503702	1.49774
30 <pt<50 	4<chiso range<11 	108.392	29.5321	0.272456	0.366682	0.0530539	1.77603
30 <pt<50 	4<chiso range<12 	108.392	29.5321	0.272456	0.376262	0.0544489	1.90648
30 <pt<50 	4<chiso range<13 	108.392	29.5321	0.272456	0.376532	0.0544804	1.91033
30 <pt<50 	5<chiso range<10 	108.392	29.5321	0.272456	0.361906	0.0523897	1.70739
30 <pt<50 	5<chiso range<11 	108.392	29.5321	0.272456	0.382927	0.0553947	1.99424
30 <pt<50 	5<chiso range<12 	108.392	29.5321	0.272456	0.392962	0.0568547	2.11954
30 <pt<50 	5<chiso range<13 	108.392	29.5321	0.272456	0.392018	0.0567116	2.10824
30 <pt<50 	6<chiso range<11 	108.392	29.5321	0.272456	0.144699	0.233963	0.546058
30 <pt<50 	6<chiso range<12 	108.392	29.5321	0.272456	0.149829	0.242259	0.506183
30 <pt<50 	6<chiso range<13 	108.392	29.5321	0.272456	0.150143	0.242766	0.503833
30 <pt<50 	7<chiso range<12 	108.392	29.5321	0.272456	0.383416	0.0554842	1.99984
30 <pt<50 	7<chiso range<13 	108.392	29.5321	0.272456	0.383179	0.055444	1.99702
30 <pt<50 	8<chiso range<13 	108.392	29.5321	0.272456	0.360949	0.0521778	1.69598
#######################################################################################
50 <pt<400 	3<chiso range<8 	49.7931	10.3362	0.207583	0.255049	0.0642066	0.73927
50 <pt<400 	3<chiso range<9 	49.7931	10.3362	0.207583	0.250739	0.0629713	0.685328
