pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	58.8181	55.4958	4.84114	0.686264
20 <pt<25 	3<chiso range<9 	58.8181	55.9113	4.88671	0.594838
20 <pt<25 	3<chiso range<10 	58.8181	55.3538	4.84122	0.715584
20 <pt<25 	3<chiso range<11 	58.8181	52.2836	4.57804	1.42736
20 <pt<25 	3<chiso range<12 	58.8181	52.2836	4.57874	1.42714
20 <pt<25 	3<chiso range<13 	58.8181	52.557	4.6022	1.36046
20 <pt<25 	4<chiso range<9 	58.8181	63.1349	5.51968	0.782074
20 <pt<25 	4<chiso range<10 	58.8181	61.2908	5.36146	0.461199
20 <pt<25 	4<chiso range<11 	58.8181	56.7722	4.96731	0.411873
20 <pt<25 	4<chiso range<12 	58.8181	56.3101	4.92755	0.508975
20 <pt<25 	4<chiso range<13 	58.8181	56.4602	4.94048	0.477261
20 <pt<25 	5<chiso range<10 	58.8181	62.396	5.45519	0.655871
20 <pt<25 	5<chiso range<11 	58.8181	56.4657	4.94068	0.476129
20 <pt<25 	5<chiso range<12 	58.8181	55.9306	4.89482	0.589909
20 <pt<25 	5<chiso range<13 	58.8181	56.1347	4.9123	0.546261
20 <pt<25 	6<chiso range<11 	58.8181	56.4432	4.93748	0.480994
20 <pt<25 	6<chiso range<12 	58.8181	55.8084	4.88387	0.616253
20 <pt<25 	6<chiso range<13 	58.8181	56.0564	4.90488	0.563051
20 <pt<25 	7<chiso range<12 	58.8181	57.6316	5.04576	0.235148
20 <pt<25 	7<chiso range<13 	58.8181	57.797	5.05984	0.201805
20 <pt<25 	8<chiso range<13 	58.8181	46.5715	4.07753	3.00344
#######################################################################################
25 <pt<30 	3<chiso range<8 	27.0711	24.1058	3.16687	0.93635
25 <pt<30 	3<chiso range<9 	27.0711	24.7725	3.2563	0.705893
25 <pt<30 	3<chiso range<10 	27.0711	24.9549	3.27916	0.645348
25 <pt<30 	3<chiso range<11 	27.0711	23.3124	3.06356	1.22691
25 <pt<30 	3<chiso range<12 	27.0711	23.5037	3.0904	1.15435
25 <pt<30 	3<chiso range<13 	27.0711	23.6624	3.1112	1.09562
25 <pt<30 	4<chiso range<9 	27.0711	28.1214	3.69075	0.284576
