fM0[-18.1690922127,18.2290562134]
fM1[-36.817896431,36.6979684296]
fM2[-7.31560808563,7.28562608528]
fM3[-15.8904603882,15.9904003906]
fM4[-14.0915403442,14.1914803467]
fM5[-23.2660330124,22.0667529602]
fM6[-36.3381844254,36.4581124268]
fM7[-56.84587146,57.2056554565]
fT0[-0.673595613241,0.617629212141]
fT1[-0.872476182461,0.860483382702]
fT2[-1.7809307642,1.65500636673]
fT5[-0.623625612259,0.681191053391]
fT6[-1.45112877083,1.48111077023]
fT7[-2.29462244511,2.53447844982]
fT8[-0.426943688393,0.428142968416]
fT9[-1.10093906164,1.10453690171]
