fM0[-15.2308561783,15.290820179]
fM1[-30.4617123566,30.3417843552]
fM2[-6.1762920723,6.14631007195]
fM3[-13.2920203247,13.3419903259]
fM4[-11.7929202881,11.7929202881]
fM5[-19.188480835,18.3889608002]
fM6[-30.4617123566,30.581640358]
fM7[-46.4121355591,46.5920275574]
fT0[-0.555666410923,0.50769520998]
fT1[-0.725564385414,0.716569785595]
fT2[-1.48111077023,1.3731755724]
fT5[-0.510893290043,0.558864490986]
fT6[-1.24725117493,1.27723317432]
fT7[-1.91085283756,2.11872804165]
fT8[-0.33220056653,0.33220056653]
fT9[-0.921047058105,0.921047058105]
