pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	177.221	46.5398	0.262609	0.42423	0.0479039	3.37386
20 <pt<25 	3<chiso range<9 	177.221	46.5398	0.262609	0.425293	0.0481901	3.37588
20 <pt<25 	3<chiso range<10 	177.221	46.5398	0.262609	0.431759	0.0490284	3.45004
20 <pt<25 	3<chiso range<11 	177.221	46.5398	0.262609	0.437055	0.0496838	3.51113
20 <pt<25 	3<chiso range<12 	177.221	46.5398	0.262609	0.432786	0.0491822	3.46014
20 <pt<25 	3<chiso range<13 	177.221	46.5398	0.262609	0.428396	0.0486666	3.40659
20 <pt<25 	4<chiso range<9 	177.221	46.5398	0.262609	0.400771	0.0453502	3.04656
20 <pt<25 	4<chiso range<10 	177.221	46.5398	0.262609	0.412615	0.0468418	3.2024
20 <pt<25 	4<chiso range<11 	177.221	46.5398	0.262609	0.421282	0.0478942	3.31299
20 <pt<25 	4<chiso range<12 	177.221	46.5398	0.262609	0.418096	0.047512	3.27259
20 <pt<25 	4<chiso range<13 	177.221	46.5398	0.262609	0.414587	0.0470932	3.22718
20 <pt<25 	5<chiso range<10 	177.221	46.5398	0.262609	0.40775	0.0463306	3.13273
20 <pt<25 	5<chiso range<11 	177.221	46.5398	0.262609	0.41867	0.0476285	3.27663
20 <pt<25 	5<chiso range<12 	177.221	46.5398	0.262609	0.415337	0.0472283	3.23383
20 <pt<25 	5<chiso range<13 	177.221	46.5398	0.262609	0.411654	0.0467878	3.18556
20 <pt<25 	6<chiso range<11 	177.221	46.5398	0.262609	0.439259	0.049934	3.53767
20 <pt<25 	6<chiso range<12 	177.221	46.5398	0.262609	0.431989	0.0490798	3.45112
20 <pt<25 	6<chiso range<13 	177.221	46.5398	0.262609	0.425305	0.0482929	3.36895
20 <pt<25 	7<chiso range<12 	177.221	46.5398	0.262609	0.44104	0.0501751	3.55617
20 <pt<25 	7<chiso range<13 	177.221	46.5398	0.262609	0.4319	0.0491123	3.44702
20 <pt<25 	8<chiso range<13 	177.221	46.5398	0.262609	0.430694	0.0490331	3.42799
#######################################################################################
25 <pt<30 	3<chiso range<8 	100.825	20.7922	0.206221	0.336093	0.0615646	2.10953
25 <pt<30 	3<chiso range<9 	100.825	20.7922	0.206221	0.310833	0.056943	1.83714
25 <pt<30 	3<chiso range<10 	100.825	20.7922	0.206221	0.345795	0.0632512	2.20667
25 <pt<30 	3<chiso range<11 	100.825	20.7922	0.206221	0.337913	0.0618693	2.12856
25 <pt<30 	3<chiso range<12 	100.825	20.7922	0.206221	0.338262	0.0619556	2.13122
25 <pt<30 	3<chiso range<13 	100.825	20.7922	0.206221	0.354139	0.0648447	2.28112
25 <pt<30 	4<chiso range<9 	100.825	20.7922	0.206221	0.315044	0.0576222	1.88857
25 <pt<30 	4<chiso range<10 	100.825	20.7922	0.206221	0.35597	0.0649324	2.30623
25 <pt<30 	4<chiso range<11 	100.825	20.7922	0.206221	0.34629	0.0633252	2.2119
25 <pt<30 	4<chiso range<12 	100.825	20.7922	0.206221	0.346084	0.0633481	2.20785
25 <pt<30 	4<chiso range<13 	100.825	20.7922	0.206221	0.36333	0.0664845	2.3631
25 <pt<30 	5<chiso range<10 	100.825	20.7922	0.206221	0.316631	0.0578296	1.90924
25 <pt<30 	5<chiso range<11 	100.825	20.7922	0.206221	0.311139	0.0569589	1.842
25 <pt<30 	5<chiso range<12 	100.825	20.7922	0.206221	0.31483	0.0576767	1.88307
25 <pt<30 	5<chiso range<13 	100.825	20.7922	0.206221	0.336227	0.0615666	2.11164
25 <pt<30 	6<chiso range<11 	100.825	20.7922	0.206221	0.330018	0.0604247	2.04879
25 <pt<30 	6<chiso range<12 	100.825	20.7922	0.206221	0.33172	0.060771	2.06512
25 <pt<30 	6<chiso range<13 	100.825	20.7922	0.206221	0.356728	0.0653199	2.30416
25 <pt<30 	7<chiso range<12 	100.825	20.7922	0.206221	0.337172	0.0617588	2.12037
25 <pt<30 	7<chiso range<13 	100.825	20.7922	0.206221	0.365813	0.0669718	2.38298
25 <pt<30 	8<chiso range<13 	100.825	20.7922	0.206221	0.378403	0.0692463	2.48652
#######################################################################################
30 <pt<40 	3<chiso range<8 	98.0716	18.708	0.190759	0.265318	0.0592075	1.25929
30 <pt<40 	3<chiso range<9 	98.0716	18.708	0.190759	0.260516	0.0581501	1.19961
30 <pt<40 	3<chiso range<10 	98.0716	18.708	0.190759	0.248127	0.0553997	1.03554
30 <pt<40 	3<chiso range<11 	98.0716	18.708	0.190759	0.23736	0.0530179	0.878975
30 <pt<40 	3<chiso range<12 	98.0716	18.708	0.190759	0.227011	0.0507141	0.714839
30 <pt<40 	3<chiso range<13 	98.0716	18.708	0.190759	0.225482	0.0503719	0.689341
30 <pt<40 	4<chiso range<9 	98.0716	18.708	0.190759	0.250648	0.0559556	1.0703
30 <pt<40 	4<chiso range<10 	98.0716	18.708	0.190759	0.237787	0.0531121	0.885456
30 <pt<40 	4<chiso range<11 	98.0716	18.708	0.190759	0.227418	0.0508068	0.721545
30 <pt<40 	4<chiso range<12 	98.0716	18.708	0.190759	0.216734	0.0484272	0.536381
30 <pt<40 	4<chiso range<13 	98.0716	18.708	0.190759	0.216064	0.0482759	0.524183
30 <pt<40 	5<chiso range<10 	98.0716	18.708	0.190759	0.229706	0.0513156	0.758978
30 <pt<40 	5<chiso range<11 	98.0716	18.708	0.190759	0.219093	0.048956	0.578773
30 <pt<40 	5<chiso range<12 	98.0716	18.708	0.190759	0.207854	0.0464522	0.368022
30 <pt<40 	5<chiso range<13 	98.0716	18.708	0.190759	0.208111	0.0465065	0.373118
30 <pt<40 	6<chiso range<11 	98.0716	18.708	0.190759	0.226693	0.050624	0.70983
30 <pt<40 	6<chiso range<12 	98.0716	18.708	0.190759	0.212603	0.0475053	0.459831
30 <pt<40 	6<chiso range<13 	98.0716	18.708	0.190759	0.212292	0.0474353	0.453953
30 <pt<40 	7<chiso range<12 	98.0716	18.708	0.190759	0.209059	0.0467133	0.39176
30 <pt<40 	7<chiso range<13 	98.0716	18.708	0.190759	0.209211	0.0467441	0.394754
30 <pt<40 	8<chiso range<13 	98.0716	18.708	0.190759	0.186142	0.0415864	0.111012
#######################################################################################
40 <pt<60 	3<chiso range<8 	73.0895	10.1344	0.138657	0.225424	0.0625569	1.387
40 <pt<60 	3<chiso range<9 	73.0895	10.1344	0.138657	0.222938	0.0618801	1.362
40 <pt<60 	3<chiso range<10 	73.0895	10.1344	0.138657	0.217439	0.0604	1.30433
40 <pt<60 	3<chiso range<11 	73.0895	10.1344	0.138657	0.215628	0.0599176	1.28461
40 <pt<60 	3<chiso range<12 	73.0895	10.1344	0.138657	0.22159	0.0615806	1.34673
40 <pt<60 	3<chiso range<13 	73.0895	10.1344	0.138657	0.211363	0.0587738	1.23704
40 <pt<60 	4<chiso range<9 	73.0895	10.1344	0.138657	0.20894	0.0580124	1.21151
40 <pt<60 	4<chiso range<10 	73.0895	10.1344	0.138657	0.205508	0.0571045	1.17067
40 <pt<60 	4<chiso range<11 	73.0895	10.1344	0.138657	0.205193	0.0570358	1.16656
40 <pt<60 	4<chiso range<12 	73.0895	10.1344	0.138657	0.212483	0.0590672	1.24986
40 <pt<60 	4<chiso range<13 	73.0895	10.1344	0.138657	0.202509	0.0563285	1.13356
40 <pt<60 	5<chiso range<10 	73.0895	10.1344	0.138657	0.191889	0.053312	0.998492
40 <pt<60 	5<chiso range<11 	73.0895	10.1344	0.138657	0.193698	0.0538383	1.02233
40 <pt<60 	5<chiso range<12 	73.0895	10.1344	0.138657	0.202887	0.0564004	1.13881
40 <pt<60 	5<chiso range<13 	73.0895	10.1344	0.138657	0.193095	0.0537158	1.01344
40 <pt<60 	6<chiso range<11 	73.0895	10.1344	0.138657	0.198504	0.0551993	1.08419
40 <pt<60 	6<chiso range<12 	73.0895	10.1344	0.138657	0.208737	0.0580465	1.2073
40 <pt<60 	6<chiso range<13 	73.0895	10.1344	0.138657	0.196596	0.0547051	1.05911
40 <pt<60 	7<chiso range<12 	73.0895	10.1344	0.138657	0.198225	0.0551603	1.0799
40 <pt<60 	7<chiso range<13 	73.0895	10.1344	0.138657	0.185907	0.0517572	0.912909
40 <pt<60 	8<chiso range<13 	73.0895	10.1344	0.138657	0.196305	0.0546342	1.05516
#######################################################################################
60 <pt<400 	3<chiso range<8 	52.3091	5.48049	0.104771	0.0993568	0.0387295	0.139802
60 <pt<400 	3<chiso range<9 	52.3091	5.48049	0.104771	0.097081	0.0378249	0.203312
60 <pt<400 	3<chiso range<10 	52.3091	5.48049	0.104771	0.09758	0.0379959	0.189264
60 <pt<400 	3<chiso range<11 	52.3091	5.48049	0.104771	0.100427	0.0390955	0.111119
60 <pt<400 	3<chiso range<12 	52.3091	5.48049	0.104771	0.0978617	0.0381182	0.181267
60 <pt<400 	3<chiso range<13 	52.3091	5.48049	0.104771	0.0975924	0.038021	0.188813
60 <pt<400 	4<chiso range<9 	52.3091	5.48049	0.104771	0.100757	0.0392251	0.102339
60 <pt<400 	4<chiso range<10 	52.3091	5.48049	0.104771	0.100912	0.0392446	0.0983385
60 <pt<400 	4<chiso range<11 	52.3091	5.48049	0.104771	0.103792	0.0403594	0.0242633
60 <pt<400 	4<chiso range<12 	52.3091	5.48049	0.104771	0.100484	0.0391069	0.109629
