pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	46.5398	49.3254	5.48991	0.507404
20 <pt<25 	3<chiso range<9 	46.5398	49.449	5.52327	0.526717
20 <pt<25 	3<chiso range<10 	46.5398	50.2008	5.6197	0.651458
20 <pt<25 	3<chiso range<11 	46.5398	50.8165	5.69501	0.750956
20 <pt<25 	3<chiso range<12 	46.5398	50.3201	5.63745	0.670569
20 <pt<25 	3<chiso range<13 	46.5398	49.8098	5.5783	0.5862
20 <pt<25 	4<chiso range<9 	46.5398	46.5978	5.19757	0.0111591
20 <pt<25 	4<chiso range<10 	46.5398	47.9749	5.36902	0.267293
20 <pt<25 	4<chiso range<11 	46.5398	48.9826	5.48988	0.444964
20 <pt<25 	4<chiso range<12 	46.5398	48.6122	5.44601	0.380535
20 <pt<25 	4<chiso range<13 	46.5398	48.2042	5.39794	0.30834
20 <pt<25 	5<chiso range<10 	46.5398	47.4093	5.31057	0.16373
20 <pt<25 	5<chiso range<11 	46.5398	48.6789	5.45954	0.39181
20 <pt<25 	5<chiso range<12 	46.5398	48.2913	5.41358	0.323538
20 <pt<25 	5<chiso range<13 	46.5398	47.8632	5.36302	0.246764
20 <pt<25 	6<chiso range<11 	46.5398	51.0728	5.72368	0.791973
20 <pt<25 	6<chiso range<12 	46.5398	50.2275	5.62567	0.655513
20 <pt<25 	6<chiso range<13 	46.5398	49.4504	5.53538	0.525818
20 <pt<25 	7<chiso range<12 	46.5398	51.2799	5.75145	0.824157
20 <pt<25 	7<chiso range<13 	46.5398	50.2172	5.62954	0.653233
20 <pt<25 	8<chiso range<13 	46.5398	50.0769	5.62066	0.629303
#######################################################################################
25 <pt<30 	3<chiso range<8 	20.7922	21.253	3.85842	0.119427
25 <pt<30 	3<chiso range<9 	20.7922	19.6556	3.56878	0.318484
25 <pt<30 	3<chiso range<10 	20.7922	21.8664	3.96403	0.270987
25 <pt<30 	3<chiso range<11 	20.7922	21.368	3.87749	0.148498
25 <pt<30 	3<chiso range<12 	20.7922	21.3901	3.88292	0.153982
25 <pt<30 	3<chiso range<13 	20.7922	22.3941	4.06397	0.394171
25 <pt<30 	4<chiso range<9 	20.7922	19.9219	3.61124	0.240998
25 <pt<30 	4<chiso range<10 	20.7922	22.5099	4.06918	0.422124
25 <pt<30 	4<chiso range<11 	20.7922	21.8977	3.96864	0.278559
25 <pt<30 	4<chiso range<12 	20.7922	21.8847	3.97015	0.275179
25 <pt<30 	4<chiso range<13 	20.7922	22.9753	4.16669	0.523941
25 <pt<30 	5<chiso range<10 	20.7922	20.0223	3.62415	0.212436
25 <pt<30 	5<chiso range<11 	20.7922	19.675	3.56973	0.312965
25 <pt<30 	5<chiso range<12 	20.7922	19.9083	3.61477	0.244525
25 <pt<30 	5<chiso range<13 	20.7922	21.2614	3.85852	0.121601
25 <pt<30 	6<chiso range<11 	20.7922	20.8688	3.78695	0.0202274
25 <pt<30 	6<chiso range<12 	20.7922	20.9764	3.80869	0.0483631
25 <pt<30 	6<chiso range<13 	20.7922	22.5578	4.09375	0.431292
25 <pt<30 	7<chiso range<12 	20.7922	21.3212	3.87059	0.136672
25 <pt<30 	7<chiso range<13 	20.7922	23.1323	4.19726	0.55753
25 <pt<30 	8<chiso range<13 	20.7922	23.9284	4.33978	0.722663
#######################################################################################
30 <pt<40 	3<chiso range<8 	18.708	17.865	3.96747	0.212478
30 <pt<40 	3<chiso range<9 	18.708	17.5417	3.89662	0.299311
30 <pt<40 	3<chiso range<10 	18.708	16.7075	3.71233	0.53888
30 <pt<40 	3<chiso range<11 	18.708	15.9825	3.55274	0.767154
30 <pt<40 	3<chiso range<12 	18.708	15.2857	3.39837	1.00704
30 <pt<40 	3<chiso range<13 	18.708	15.1827	3.37543	1.0444
30 <pt<40 	4<chiso range<9 	18.708	16.8772	3.74957	0.488269
30 <pt<40 	4<chiso range<10 	18.708	16.0112	3.55905	0.75773
30 <pt<40 	4<chiso range<11 	18.708	15.313	3.40458	0.997186
30 <pt<40 	4<chiso range<12 	18.708	14.5936	3.24512	1.26787
30 <pt<40 	4<chiso range<13 	18.708	14.5486	3.23498	1.28576
30 <pt<40 	5<chiso range<10 	18.708	15.4671	3.43867	0.942486
30 <pt<40 	5<chiso range<11 	18.708	14.7525	3.28056	1.20574
30 <pt<40 	5<chiso range<12 	18.708	13.9958	3.11279	1.51382
30 <pt<40 	5<chiso range<13 	18.708	14.013	3.11642	1.50654
30 <pt<40 	6<chiso range<11 	18.708	15.2643	3.39232	1.01515
30 <pt<40 	6<chiso range<12 	18.708	14.3155	3.18335	1.37984
30 <pt<40 	6<chiso range<13 	18.708	14.2945	3.17866	1.38848
30 <pt<40 	7<chiso range<12 	18.708	14.0769	3.13028	1.47945
30 <pt<40 	7<chiso range<13 	18.708	14.0871	3.13234	1.47522
30 <pt<40 	8<chiso range<13 	18.708	12.5338	2.78672	2.21558
#######################################################################################
40 <pt<60 	3<chiso range<8 	10.1344	11.7252	3.24311	0.490517
40 <pt<60 	3<chiso range<9 	10.1344	11.5959	3.20803	0.455576
40 <pt<60 	3<chiso range<10 	10.1344	11.3099	3.13131	0.375402
40 <pt<60 	3<chiso range<11 	10.1344	11.2157	3.10631	0.348098
40 <pt<60 	3<chiso range<12 	10.1344	11.5258	3.19252	0.435831
40 <pt<60 	3<chiso range<13 	10.1344	10.9938	3.04703	0.282045
40 <pt<60 	4<chiso range<9 	10.1344	10.8678	3.00752	0.243855
40 <pt<60 	4<chiso range<10 	10.1344	10.6893	2.96047	0.187436
40 <pt<60 	4<chiso range<11 	10.1344	10.6729	2.95692	0.182115
40 <pt<60 	4<chiso range<12 	10.1344	11.0521	3.06223	0.299684
40 <pt<60 	4<chiso range<13 	10.1344	10.5333	2.92026	0.136597
40 <pt<60 	5<chiso range<10 	10.1344	9.98087	2.76385	0.0555493
40 <pt<60 	5<chiso range<11 	10.1344	10.075	2.79115	0.0212816
40 <pt<60 	5<chiso range<12 	10.1344	10.553	2.92397	0.143162
40 <pt<60 	5<chiso range<13 	10.1344	10.0436	2.78481	0.0326055
40 <pt<60 	6<chiso range<11 	10.1344	10.325	2.86171	0.0666035
40 <pt<60 	6<chiso range<12 	10.1344	10.8573	3.00932	0.24022
40 <pt<60 	6<chiso range<13 	10.1344	10.2257	2.83611	0.032192
40 <pt<60 	7<chiso range<12 	10.1344	10.3105	2.8597	0.0615799
40 <pt<60 	7<chiso range<13 	10.1344	9.66975	2.68328	0.173165
40 <pt<60 	8<chiso range<13 	10.1344	10.2106	2.83243	0.0269027
#######################################################################################
60 <pt<400 	3<chiso range<8 	5.48049	4.25857	1.65767	0.737131
60 <pt<400 	3<chiso range<9 	5.48049	4.16103	1.61895	0.81501
60 <pt<400 	3<chiso range<10 	5.48049	4.18242	1.62626	0.798193
60 <pt<400 	3<chiso range<11 	5.48049	4.30445	1.67333	0.702814
60 <pt<400 	3<chiso range<12 	5.48049	4.19449	1.6315	0.788232
60 <pt<400 	3<chiso range<13 	5.48049	4.18295	1.62734	0.797338
60 <pt<400 	4<chiso range<9 	5.48049	4.31858	1.67887	0.692079
60 <pt<400 	4<chiso range<10 	5.48049	4.32523	1.6797	0.687778
60 <pt<400 	4<chiso range<11 	5.48049	4.44867	1.72742	0.597319
60 <pt<400 	4<chiso range<12 	5.48049	4.30689	1.67381	0.701155
60 <pt<400 	4<chiso range<13 	5.48049	4.28304	1.66512	0.719137
60 <pt<400 	5<chiso range<10 	5.48049	4.20165	1.63048	0.784333
60 <pt<400 	5<chiso range<11 	5.48049	4.36862	1.69531	0.655851
60 <pt<400 	5<chiso range<12 	5.48049	4.21456	1.63735	0.773158
60 <pt<400 	5<chiso range<13 	5.48049	4.198	1.63166	0.786003
60 <pt<400 	6<chiso range<11 	5.48049	4.47166	1.73456	0.581606
60 <pt<400 	6<chiso range<12 	5.48049	4.26926	1.65844	0.730343
60 <pt<400 	6<chiso range<13 	5.48049	4.24232	1.64888	0.750916
60 <pt<400 	7<chiso range<12 	5.48049	3.67958	1.42915	1.26013
60 <pt<400 	7<chiso range<13 	5.48049	3.73685	1.45234	1.20057
60 <pt<400 	8<chiso range<13 	5.48049	4.08838	1.58918	0.875993
#######################################################################################
