pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	69.9945	67.9081	11.8976	0.175363
20  <pt<25 	3<chiso range<9 	69.9945	67.4196	11.9825	0.214888
20  <pt<25 	3<chiso range<10 	69.9945	66.4027	12.0732	0.297502
20  <pt<25 	3<chiso range<11 	69.9945	65.6341	12.1333	0.359375
20  <pt<25 	3<chiso range<12 	69.9945	66.185	12.0981	0.314884
20  <pt<25 	3<chiso range<13 	69.9945	66.7492	12.0624	0.269043
20  <pt<25 	4<chiso range<9 	69.9945	70.4606	11.8086	0.0394712
20  <pt<25 	4<chiso range<10 	69.9945	68.7017	11.9503	0.108181
20  <pt<25 	4<chiso range<11 	69.9945	67.4964	12.0367	0.20754
20  <pt<25 	4<chiso range<12 	69.9945	67.9285	12.0071	0.172065
20  <pt<25 	4<chiso range<13 	69.9945	68.3965	11.9759	0.133435
20  <pt<25 	5<chiso range<10 	69.9945	69.1693	11.9421	0.0691001
20  <pt<25 	5<chiso range<11 	69.9945	67.7171	12.0368	0.189203
20  <pt<25 	5<chiso range<12 	69.9945	68.1734	12.0056	0.151688
20  <pt<25 	5<chiso range<13 	69.9945	68.6694	11.9723	0.11068
20  <pt<25 	6<chiso range<11 	69.9945	65.3741	12.1471	0.380371
20  <pt<25 	6<chiso range<12 	69.9945	66.3113	12.0872	0.304719
20  <pt<25 	6<chiso range<13 	69.9945	67.1736	12.0321	0.234448
20  <pt<25 	7<chiso range<12 	69.9945	65.0544	12.1782	0.405651
20  <pt<25 	7<chiso range<13 	69.9945	66.207	12.1081	0.312807
20  <pt<25 	8<chiso range<13 	69.9945	66.1741	12.1309	0.314931
#######################################################################################
25  <pt<30 	3<chiso range<8 	42.5021	42.0368	8.79769	0.0528889
25  <pt<30 	3<chiso range<9 	42.5021	43.6282	8.66817	0.129912
25  <pt<30 	3<chiso range<10 	42.5021	41.4495	8.82345	0.119296
25  <pt<30 	3<chiso range<11 	42.5021	41.9477	8.80066	0.0629953
25  <pt<30 	3<chiso range<12 	42.5021	41.9061	8.80788	0.0676667
25  <pt<30 	3<chiso range<13 	42.5021	40.8605	8.88365	0.184789
25  <pt<30 	4<chiso range<9 	42.5021	43.4416	8.6675	0.108393
25  <pt<30 	4<chiso range<10 	42.5021	40.9272	8.83866	0.178183
25  <pt<30 	4<chiso range<11 	42.5021	41.432	8.82223	0.121296
25  <pt<30 	4<chiso range<12 	42.5021	41.3963	8.83494	0.125162
25  <pt<30 	4<chiso range<13 	42.5021	40.3065	8.92356	0.246045
25  <pt<30 	5<chiso range<10 	42.5021	43.4053	8.65662	0.104336
25  <pt<30 	5<chiso range<11 	42.5021	43.6454	8.66007	0.13202
25  <pt<30 	5<chiso range<12 	42.5021	43.3735	8.68854	0.100293
25  <pt<30 	5<chiso range<13 	42.5021	42.0485	8.79301	0.0515864
25  <pt<30 	6<chiso range<11 	42.5021	42.4448	8.75873	0.00654204
25  <pt<30 	6<chiso range<12 	42.5021	42.3062	8.77606	0.0223221
25  <pt<30 	6<chiso range<13 	42.5021	40.6938	8.89809	0.203223
25  <pt<30 	7<chiso range<12 	42.5021	41.972	8.8027	0.0602202
25  <pt<30 	7<chiso range<13 	42.5021	40.1199	8.94492	0.266319
25  <pt<30 	8<chiso range<13 	42.5021	39.3338	9.00957	0.351659
#######################################################################################
30  <pt<40 	3<chiso range<8 	48.6668	49.4743	9.05257	0.0892012
30  <pt<40 	3<chiso range<9 	48.6668	49.7762	9.02418	0.122936
30  <pt<40 	3<chiso range<10 	48.6668	50.5957	8.94543	0.21563
30  <pt<40 	3<chiso range<11 	48.6668	51.3494	8.88633	0.301879
30  <pt<40 	3<chiso range<12 	48.6668	52.0371	8.82655	0.381837
30  <pt<40 	3<chiso range<13 	48.6668	52.1384	8.81766	0.39371
30  <pt<40 	4<chiso range<9 	48.6668	50.4333	8.96035	0.197146
30  <pt<40 	4<chiso range<10 	48.6668	51.3277	8.88815	0.299376
30  <pt<40 	4<chiso range<11 	48.6668	52.0194	8.82834	0.379754
30  <pt<40 	4<chiso range<12 	48.6668	52.7279	8.76886	0.463127
30  <pt<40 	4<chiso range<13 	48.6668	52.7713	8.76499	0.468283
30  <pt<40 	5<chiso range<10 	48.6668	51.8793	8.84026	0.363394
30  <pt<40 	5<chiso range<11 	48.6668	52.5838	8.78122	0.446066
30  <pt<40 	5<chiso range<12 	48.6668	53.3259	8.72085	0.534248
30  <pt<40 	5<chiso range<13 	48.6668	53.3067	8.72198	0.531978
30  <pt<40 	6<chiso range<11 	48.6668	52.1002	8.81844	0.389343
30  <pt<40 	6<chiso range<12 	48.6668	53.0172	8.74498	0.497474
30  <pt<40 	6<chiso range<13 	48.6668	53.0329	8.74361	0.499348
30  <pt<40 	7<chiso range<12 	48.6668	53.2398	8.72667	0.524026
30  <pt<40 	7<chiso range<13 	48.6668	53.2284	8.72718	0.522689
30  <pt<40 	8<chiso range<13 	48.6668	54.7783	8.60588	0.710154
#######################################################################################
40  <pt<60 	3<chiso range<8 	41.9255	40.2922	7.82359	0.208766
40  <pt<60 	3<chiso range<9 	41.9255	40.4194	7.81011	0.19284
40  <pt<60 	3<chiso range<10 	41.9255	40.6953	7.78293	0.158064
40  <pt<60 	3<chiso range<11 	41.9255	40.7855	7.77468	0.14663
40  <pt<60 	3<chiso range<12 	41.9255	40.4737	7.81088	0.185869
40  <pt<60 	3<chiso range<13 	41.9255	41.0021	7.75432	0.119082
40  <pt<60 	4<chiso range<9 	41.9255	41.1462	7.72995	0.100816
40  <pt<60 	4<chiso range<10 	41.9255	41.313	7.71602	0.0793803
40  <pt<60 	4<chiso range<11 	41.9255	41.3254	7.71648	0.0777686
40  <pt<60 	4<chiso range<12 	41.9255	40.9453	7.75896	0.126331
40  <pt<60 	4<chiso range<13 	41.9255	41.4599	7.70558	0.0604237
40  <pt<60 	5<chiso range<10 	41.9255	42.0236	7.63955	0.0128411
40  <pt<60 	5<chiso range<11 	41.9255	41.9229	7.65234	0.000339765
40  <pt<60 	5<chiso range<12 	41.9255	41.4436	7.70414	0.0625508
40  <pt<60 	5<chiso range<13 	41.9255	41.9458	7.65435	0.00265209
40  <pt<60 	6<chiso range<11 	41.9255	41.6692	7.68159	0.0333655
40  <pt<60 	6<chiso range<12 	41.9255	41.1382	7.73946	0.101725
40  <pt<60 	6<chiso range<13 	41.9255	41.7664	7.6748	0.0207302
40  <pt<60 	7<chiso range<12 	41.9255	41.6834	7.68381	0.0315078
40  <pt<60 	7<chiso range<13 	41.9255	42.3231	7.61931	0.0521832
40  <pt<60 	8<chiso range<13 	41.9255	41.8008	7.67213	0.0162536
#######################################################################################
60  <pt<400 	3<chiso range<8 	37.4324	38.5939	6.63157	0.175147
60  <pt<400 	3<chiso range<9 	37.4324	38.6922	6.62004	0.190301
60  <pt<400 	3<chiso range<10 	37.4324	38.6747	6.62026	0.187651
60  <pt<400 	3<chiso range<11 	37.4324	38.5555	6.6322	0.16934
60  <pt<400 	3<chiso range<12 	37.4324	38.6606	6.62259	0.185456
60  <pt<400 	3<chiso range<13 	37.4324	38.6709	6.62204	0.187027
60  <pt<400 	4<chiso range<9 	37.4324	38.5332	6.62981	0.166038
60  <pt<400 	4<chiso range<10 	37.4324	38.544	6.63098	0.167637
60  <pt<400 	4<chiso range<11 	37.4324	38.4207	6.64329	0.148767
60  <pt<400 	4<chiso range<12 	37.4324	38.5555	6.63159	0.169356
60  <pt<400 	4<chiso range<13 	37.4324	38.5769	6.63034	0.172616
60  <pt<400 	5<chiso range<10 	37.4324	38.6729	6.61513	0.187525
60  <pt<400 	5<chiso range<11 	37.4324	38.5073	6.63272	0.16206
60  <pt<400 	5<chiso range<12 	37.4324	38.6496	6.62066	0.183849
60  <pt<400 	5<chiso range<13 	37.4324	38.6623	6.6205	0.185771
60  <pt<400 	6<chiso range<11 	37.4324	38.4084	6.64194	0.146945
60  <pt<400 	6<chiso range<12 	37.4324	38.5961	6.62596	0.175627
60  <pt<400 	6<chiso range<13 	37.4324	38.6182	6.62508	0.178987
60  <pt<400 	7<chiso range<12 	37.4324	39.1874	6.56799	0.267205
60  <pt<400 	7<chiso range<13 	37.4324	39.124	6.57536	0.257263
60  <pt<400 	8<chiso range<13 	37.4324	38.7693	6.60933	0.202275
#######################################################################################
