pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	67.2082	28.6766	0.426683	0.472585	0.0306347	1.49836
20 <pt<25 	3<chiso range<9 	67.2082	28.6766	0.426683	0.476579	0.0324995	1.53528
20 <pt<25 	3<chiso range<10 	67.2082	28.6766	0.426683	0.475448	0.034429	1.41639
20 <pt<25 	3<chiso range<11 	67.2082	28.6766	0.426683	0.494041	0.0362228	1.85955
20 <pt<25 	3<chiso range<12 	67.2082	28.6766	0.426683	0.502072	0.0375321	2.00865
20 <pt<25 	3<chiso range<13 	67.2082	28.6766	0.426683	0.491612	0.0383504	1.69304
20 <pt<25 	4<chiso range<9 	67.2082	28.6766	0.426683	0.5167	0.0292344	3.07914
20 <pt<25 	4<chiso range<10 	67.2082	28.6766	0.426683	0.511984	0.0313792	2.71839
20 <pt<25 	4<chiso range<11 	67.2082	28.6766	0.426683	0.531082	0.0333471	3.13068
20 <pt<25 	4<chiso range<12 	67.2082	28.6766	0.426683	0.538251	0.0347809	3.20774
20 <pt<25 	4<chiso range<13 	67.2082	28.6766	0.426683	0.523416	0.0356737	2.7116
20 <pt<25 	5<chiso range<10 	67.2082	28.6766	0.426683	0.472212	0.0277918	1.63822
20 <pt<25 	5<chiso range<11 	67.2082	28.6766	0.426683	0.503982	0.0300964	2.56838
20 <pt<25 	5<chiso range<12 	67.2082	28.6766	0.426683	0.517043	0.0317226	2.84844
20 <pt<25 	5<chiso range<13 	67.2082	28.6766	0.426683	0.50203	0.0327181	2.30291
20 <pt<25 	6<chiso range<11 	67.2082	28.6766	0.426683	0.546854	0.0273253	4.39779
20 <pt<25 	6<chiso range<12 	67.2082	28.6766	0.426683	0.560453	0.0290793	4.60018
20 <pt<25 	6<chiso range<13 	67.2082	28.6766	0.426683	0.538753	0.0301847	3.71281
20 <pt<25 	7<chiso range<12 	67.2082	28.6766	0.426683	0.577323	0.0255228	5.90217
20 <pt<25 	7<chiso range<13 	67.2082	28.6766	0.426683	0.554343	0.0267807	4.76686
20 <pt<25 	8<chiso range<13 	67.2082	28.6766	0.426683	0.506559	0.0230836	3.46029
#######################################################################################
25 <pt<50 	3<chiso range<8 	99.918	30.3433	0.303682	0.321993	0.0296829	0.616887
25 <pt<50 	3<chiso range<9 	99.918	30.3433	0.303682	0.329297	0.0315316	0.812359
25 <pt<50 	3<chiso range<10 	99.918	30.3433	0.303682	0.337296	0.0334035	1.0063
25 <pt<50 	3<chiso range<11 	99.918	30.3433	0.303682	0.325649	0.0347183	0.632721
25 <pt<50 	3<chiso range<12 	99.918	30.3433	0.303682	0.307047	0.0358332	0.0939068
25 <pt<50 	3<chiso range<13 	99.918	30.3433	0.303682	0.308164	0.0371106	0.120774
25 <pt<50 	4<chiso range<9 	99.918	30.3433	0.303682	0.341666	0.0283475	1.33994
25 <pt<50 	4<chiso range<10 	99.918	30.3433	0.303682	0.349666	0.0304317	1.51106
25 <pt<50 	4<chiso range<11 	99.918	30.3433	0.303682	0.334013	0.0318624	0.951936
25 <pt<50 	4<chiso range<12 	99.918	30.3433	0.303682	0.311254	0.0330728	0.228949
25 <pt<50 	4<chiso range<13 	99.918	30.3433	0.303682	0.312066	0.0344486	0.243377
25 <pt<50 	5<chiso range<10 	99.918	30.3433	0.303682	0.35078	0.0271786	1.73291
25 <pt<50 	5<chiso range<11 	99.918	30.3433	0.303682	0.331341	0.028766	0.961516
25 <pt<50 	5<chiso range<12 	99.918	30.3433	0.303682	0.305043	0.0301114	0.0451982
25 <pt<50 	5<chiso range<13 	99.918	30.3433	0.303682	0.306766	0.0316231	0.097523
25 <pt<50 	6<chiso range<11 	99.918	30.3433	0.303682	0.309753	0.0255146	0.237941
25 <pt<50 	6<chiso range<12 	99.918	30.3433	0.303682	0.283334	0.0270229	0.752992
25 <pt<50 	6<chiso range<13 	99.918	30.3433	0.303682	0.287101	0.0286933	0.577871
25 <pt<50 	7<chiso range<12 	99.918	30.3433	0.303682	0.275382	0.0239672	1.18078
25 <pt<50 	7<chiso range<13 	99.918	30.3433	0.303682	0.280634	0.0258267	0.892411
25 <pt<50 	8<chiso range<13 	99.918	30.3433	0.303682	0.280641	0.0221278	1.04127
#######################################################################################
50 <pt<400 	3<chiso range<8 	29.535	6.70395	0.226983	0.155511	0.0465851	1.53423
50 <pt<400 	3<chiso range<9 	29.535	6.70395	0.226983	0.163507	0.0515928	1.23033
50 <pt<400 	3<chiso range<10 	29.535	6.70395	0.226983	0.159888	0.0540311	1.24179
50 <pt<400 	3<chiso range<11 	29.535	6.70395	0.226983	0.155638	0.0567718	1.2567
50 <pt<400 	3<chiso range<12 	29.535	6.70395	0.226983	0.153808	0.0592289	1.23547
50 <pt<400 	3<chiso range<13 	29.535	6.70395	0.226983	0.159741	0.0621406	1.0821
50 <pt<400 	4<chiso range<9 	29.535	6.70395	0.226983	0.159769	0.0471407	1.42582
50 <pt<400 	4<chiso range<10 	29.535	6.70395	0.226983	0.15573	0.0498091	1.43053
50 <pt<400 	4<chiso range<11 	29.535	6.70395	0.226983	0.151321	0.0527709	1.43379
50 <pt<400 	4<chiso range<12 	29.535	6.70395	0.226983	0.149557	0.0553981	1.39763
50 <pt<400 	4<chiso range<13 	29.535	6.70395	0.226983	0.156443	0.0585036	1.20574
50 <pt<400 	5<chiso range<10 	29.535	6.70395	0.226983	0.147818	0.0443297	1.78583
50 <pt<400 	5<chiso range<11 	29.535	6.70395	0.226983	0.14342	0.0476344	1.75426
50 <pt<400 	5<chiso range<12 	29.535	6.70395	0.226983	0.140645	0.0505331	1.70855
50 <pt<400 	5<chiso range<13 	29.535	6.70395	0.226983	0.149111	0.0539085	1.44453
50 <pt<400 	6<chiso range<11 	29.535	6.70395	0.226983	0.137359	0.0431725	2.07596
50 <pt<400 	6<chiso range<12 	29.535	6.70395	0.226983	0.138771	0.0464446	1.8993
50 <pt<400 	6<chiso range<13 	29.535	6.70395	0.226983	0.147833	0.0500634	1.581
50 <pt<400 	7<chiso range<12 	29.535	6.70395	0.226983	0.132495	0.041434	2.28045
50 <pt<400 	7<chiso range<13 	29.535	6.70395	0.226983	0.144229	0.0454845	1.81939
50 <pt<400 	8<chiso range<13 	29.535	6.70395	0.226983	0.13017	0.0410693	2.35731
#######################################################################################
