pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	196.726	83.0892	0.42236	0.483821	0.0356292	1.72502
20 <pt<25 	3<chiso range<9 	196.726	83.0892	0.42236	0.487197	0.0358741	1.80735
20 <pt<25 	3<chiso range<10 	196.726	83.0892	0.42236	0.471786	0.0347321	1.42306
20 <pt<25 	3<chiso range<11 	196.726	83.0892	0.42236	0.478902	0.0352561	1.60375
20 <pt<25 	3<chiso range<12 	196.726	83.0892	0.42236	0.47894	0.0352624	1.60454
20 <pt<25 	3<chiso range<13 	196.726	83.0892	0.42236	0.471644	0.0347346	1.41887
20 <pt<25 	4<chiso range<9 	196.726	83.0892	0.42236	0.495667	0.0364875	2.0091
20 <pt<25 	4<chiso range<10 	196.726	83.0892	0.42236	0.475555	0.034995	1.52007
20 <pt<25 	4<chiso range<11 	196.726	83.0892	0.42236	0.483703	0.0355971	1.72326
20 <pt<25 	4<chiso range<12 	196.726	83.0892	0.42236	0.483335	0.0355766	1.71391
20 <pt<25 	4<chiso range<13 	196.726	83.0892	0.42236	0.474593	0.0349468	1.49464
20 <pt<25 	5<chiso range<10 	196.726	83.0892	0.42236	0.438314	0.0322445	0.494781
20 <pt<25 	5<chiso range<11 	196.726	83.0892	0.42236	0.452961	0.0333275	0.91819
20 <pt<25 	5<chiso range<12 	196.726	83.0892	0.42236	0.455912	0.0335548	0.999916
20 <pt<25 	5<chiso range<13 	196.726	83.0892	0.42236	0.447694	0.032968	0.768441
20 <pt<25 	6<chiso range<11 	196.726	83.0892	0.42236	0.480668	0.035379	1.6481
20 <pt<25 	6<chiso range<12 	196.726	83.0892	0.42236	0.480511	0.0353757	1.64381
20 <pt<25 	6<chiso range<13 	196.726	83.0892	0.42236	0.467996	0.03447	1.32393
20 <pt<25 	7<chiso range<12 	196.726	83.0892	0.42236	0.486218	0.0357842	1.78453
20 <pt<25 	7<chiso range<13 	196.726	83.0892	0.42236	0.470127	0.0346247	1.37956
20 <pt<25 	8<chiso range<13 	196.726	83.0892	0.42236	0.45184	0.0332785	0.885856
#######################################################################################
25 <pt<30 	3<chiso range<8 	115.234	42.6868	0.370436	0.430444	0.0480273	1.24946
25 <pt<30 	3<chiso range<9 	115.234	42.6868	0.370436	0.43897	0.0490466	1.39733
25 <pt<30 	3<chiso range<10 	115.234	42.6868	0.370436	0.450365	0.0503334	1.588
25 <pt<30 	3<chiso range<11 	115.234	42.6868	0.370436	0.454672	0.050798	1.65826
25 <pt<30 	3<chiso range<12 	115.234	42.6868	0.370436	0.446135	0.0498674	1.51801
25 <pt<30 	3<chiso range<13 	115.234	42.6868	0.370436	0.433429	0.0484649	1.29977
25 <pt<30 	4<chiso range<9 	115.234	42.6868	0.370436	0.438032	0.048954	1.38081
