pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	57.9578	72.4078	12.7745	1.13116
20  <pt<25 	3<chiso range<9 	57.9578	71.9283	12.7848	1.09274
20  <pt<25 	3<chiso range<10 	57.9578	74.127	12.7175	1.27141
20  <pt<25 	3<chiso range<11 	57.9578	73.1198	12.7452	1.18962
20  <pt<25 	3<chiso range<12 	57.9578	73.108	12.7487	1.18837
20  <pt<25 	3<chiso range<13 	57.9578	74.1265	12.7288	1.27025
20  <pt<25 	4<chiso range<9 	57.9578	70.7452	12.8097	0.998259
20  <pt<25 	4<chiso range<10 	57.9578	73.6604	12.7176	1.23471
20  <pt<25 	4<chiso range<11 	57.9578	72.4917	12.752	1.13973
20  <pt<25 	4<chiso range<12 	57.9578	72.5202	12.7568	1.14154
20  <pt<25 	4<chiso range<13 	57.9578	73.7161	12.7357	1.23733
20  <pt<25 	5<chiso range<10 	57.9578	79.0428	12.566	1.67794
20  <pt<25 	5<chiso range<11 	57.9578	76.9213	12.626	1.50194
20  <pt<25 	5<chiso range<12 	57.9578	76.4476	12.6475	1.46193
20  <pt<25 	5<chiso range<13 	57.9578	77.5243	12.6357	1.54851
20  <pt<25 	6<chiso range<11 	57.9578	72.9026	12.7451	1.17259
20  <pt<25 	6<chiso range<12 	57.9578	72.9009	12.7523	1.1718
20  <pt<25 	6<chiso range<13 	57.9578	74.6486	12.7182	1.31236
20  <pt<25 	7<chiso range<12 	57.9578	72.1549	12.7632	1.11235
20  <pt<25 	7<chiso range<13 	57.9578	74.353	12.7242	1.28851
20  <pt<25 	8<chiso range<13 	57.9578	76.9287	12.6559	1.49898
#######################################################################################
25  <pt<30 	3<chiso range<8 	37.5507	45.9798	9.61033	0.877087
25  <pt<30 	3<chiso range<9 	37.5507	45.0599	9.67616	0.776052
25  <pt<30 	3<chiso range<10 	37.5507	44.0898	9.72484	0.672412
25  <pt<30 	3<chiso range<11 	37.5507	43.7846	9.73302	0.64049
25  <pt<30 	3<chiso range<12 	37.5507	44.4094	9.71286	0.706146
25  <pt<30 	3<chiso range<13 	37.5507	45.3959	9.67555	0.810827
25  <pt<30 	4<chiso range<9 	37.5507	45.1042	9.6788	0.780417
25  <pt<30 	4<chiso range<10 	37.5507	43.9095	9.73636	0.653098
25  <pt<30 	4<chiso range<11 	37.5507	43.5509	9.74693	0.615599
25  <pt<30 	4<chiso range<12 	37.5507	44.3319	9.71976	0.697672
25  <pt<30 	4<chiso range<13 	37.5507	45.5102	9.67388	0.822783
25  <pt<30 	5<chiso range<10 	37.5507	46.5415	9.63494	0.933145
25  <pt<30 	5<chiso range<11 	37.5507	45.6644	9.66969	0.839086
25  <pt<30 	5<chiso range<12 	37.5507	46.4222	9.63997	0.920283
25  <pt<30 	5<chiso range<13 	37.5507	47.6236	9.59293	1.05003
25  <pt<30 	6<chiso range<11 	37.5507	43.3403	9.76906	0.592647
25  <pt<30 	6<chiso range<12 	37.5507	44.5853	9.71598	0.724024
25  <pt<30 	6<chiso range<13 	37.5507	46.247	9.64686	0.901464
25  <pt<30 	7<chiso range<12 	37.5507	42.1627	9.81984	0.469661
25  <pt<30 	7<chiso range<13 	37.5507	44.5949	9.71266	0.72526
25  <pt<30 	8<chiso range<13 	37.5507	45.3572	9.67203	0.807121
#######################################################################################
30  <pt<35 	3<chiso range<8 	26.1236	34.6161	7.16382	1.18547
30  <pt<35 	3<chiso range<9 	26.1236	34.4432	7.17238	1.15995
30  <pt<35 	3<chiso range<10 	26.1236	34.3656	7.17611	1.14853
30  <pt<35 	3<chiso range<11 	26.1236	34.456	7.17144	1.16189
30  <pt<35 	3<chiso range<12 	26.1236	34.6228	7.16333	1.18649
30  <pt<35 	3<chiso range<13 	26.1236	34.2042	7.18313	1.12494
30  <pt<35 	4<chiso range<9 	26.1236	33.4796	7.22003	1.01883
30  <pt<35 	4<chiso range<10 	26.1236	33.4996	7.218	1.02189
30  <pt<35 	4<chiso range<11 	26.1236	33.6989	7.20761	1.05101
30  <pt<35 	4<chiso range<12 	26.1236	33.9649	7.1939	1.08999
30  <pt<35 	4<chiso range<13 	26.1236	33.5263	7.21443	1.0261
30  <pt<35 	5<chiso range<10 	26.1236	33.9335	7.19208	1.0859
30  <pt<35 	5<chiso range<11 	26.1236	34.1204	7.18269	1.11334
30  <pt<35 	5<chiso range<12 	26.1236	34.3935	7.16919	1.15353
30  <pt<35 	5<chiso range<13 	26.1236	33.8574	7.19325	1.07515
30  <pt<35 	6<chiso range<11 	26.1236	34.2037	7.17285	1.12648
30  <pt<35 	6<chiso range<12 	26.1236	34.5166	7.15821	1.1725
30  <pt<35 	6<chiso range<13 	26.1236	33.8886	7.18563	1.08063
30  <pt<35 	7<chiso range<12 	26.1236	33.5325	7.21152	1.02737
30  <pt<35 	7<chiso range<13 	26.1236	32.8298	7.24418	0.925736
30  <pt<35 	8<chiso range<13 	26.1236	33.49	7.21686	1.02072
#######################################################################################
35  <pt<50 	3<chiso range<8 	43.9554	53.9715	9.05872	1.10569
35  <pt<50 	3<chiso range<9 	43.9554	54.0981	9.05326	1.12034
35  <pt<50 	3<chiso range<10 	43.9554	54.323	9.04184	1.14663
35  <pt<50 	3<chiso range<11 	43.9554	54.9821	9.00941	1.22391
35  <pt<50 	3<chiso range<12 	43.9554	55.5826	8.9793	1.29489
35  <pt<50 	3<chiso range<13 	43.9554	55.523	8.98293	1.28773
35  <pt<50 	4<chiso range<9 	43.9554	54.9845	9.00813	1.22435
35  <pt<50 	4<chiso range<10 	43.9554	55.1341	9.001	1.24194
35  <pt<50 	4<chiso range<11 	43.9554	55.823	8.969	1.32318
35  <pt<50 	4<chiso range<12 	43.9554	56.4179	8.93576	1.39468
35  <pt<50 	4<chiso range<13 	43.9554	56.2735	8.94244	1.37749
35  <pt<50 	5<chiso range<10 	43.9554	54.4992	9.03032	1.1676
35  <pt<50 	5<chiso range<11 	43.9554	55.4133	8.98734	1.27489
35  <pt<50 	5<chiso range<12 	43.9554	56.2037	8.9478	1.36886
35  <pt<50 	5<chiso range<13 	43.9554	56.0516	8.95713	1.35045
35  <pt<50 	6<chiso range<11 	43.9554	57.0604	8.91177	1.47053
35  <pt<50 	6<chiso range<12 	43.9554	57.727	8.88262	1.5504
35  <pt<50 	6<chiso range<13 	43.9554	57.3928	8.89788	1.51018
35  <pt<50 	7<chiso range<12 	43.9554	58.0954	8.86736	1.59461
35  <pt<50 	7<chiso range<13 	43.9554	57.6585	8.88765	1.54181
35  <pt<50 	8<chiso range<13 	43.9554	57.5902	8.89169	1.53343
#######################################################################################
50  <pt<60 	3<chiso range<8 	15.0757	17.097	4.74947	0.425584
50  <pt<60 	3<chiso range<9 	15.0757	16.8459	4.77159	0.370987
50  <pt<60 	3<chiso range<10 	15.0757	16.8837	4.77428	0.378696
50  <pt<60 	3<chiso range<11 	15.0757	16.8938	4.77376	0.380853
50  <pt<60 	3<chiso range<12 	15.0757	16.9994	4.76206	0.403964
50  <pt<60 	3<chiso range<13 	15.0757	17.0186	4.75996	0.408176
50  <pt<60 	4<chiso range<9 	15.0757	16.8269	4.77345	0.366863
50  <pt<60 	4<chiso range<10 	15.0757	16.8374	4.77187	0.369184
50  <pt<60 	4<chiso range<11 	15.0757	16.8809	4.77515	0.37804
50  <pt<60 	4<chiso range<12 	15.0757	17.0085	4.76108	0.405958
50  <pt<60 	4<chiso range<13 	15.0757	17.0307	4.75859	0.410836
50  <pt<60 	5<chiso range<10 	15.0757	17.0584	4.75428	0.417035
50  <pt<60 	5<chiso range<11 	15.0757	17.0402	4.75762	0.412917
50  <pt<60 	5<chiso range<12 	15.0757	17.1767	4.74291	0.442977
50  <pt<60 	5<chiso range<13 	15.0757	17.1838	4.74221	0.44454
50  <pt<60 	6<chiso range<11 	15.0757	16.9119	4.77031	0.384923
50  <pt<60 	6<chiso range<12 	15.0757	17.0801	4.75299	0.421713
50  <pt<60 	6<chiso range<13 	15.0757	17.1056	4.74957	0.427386
50  <pt<60 	7<chiso range<12 	15.0757	17.1489	4.74402	0.437013
50  <pt<60 	7<chiso range<13 	15.0757	17.1539	4.74514	0.437964
50  <pt<60 	8<chiso range<13 	15.0757	14.4716	12.1775	0.0496079
#######################################################################################
60  <pt<400 	3<chiso range<8 	33.9545	25.7104	21.6345	0.381063
