pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	196.726	83.0892	57.9578	67.9989	72.4078	3.15086	1.13116
20 <pt<25 	3<chiso range<9 	196.726	83.0892	57.9578	68.4735	71.9283	3.03095	1.09274
20 <pt<25 	3<chiso range<10 	196.726	83.0892	57.9578	66.3075	74.127	3.59464	1.27141
20 <pt<25 	3<chiso range<11 	196.726	83.0892	57.9578	67.3077	73.1198	3.33015	1.18962
20 <pt<25 	3<chiso range<12 	196.726	83.0892	57.9578	67.3129	73.108	3.32842	1.18837
20 <pt<25 	3<chiso range<13 	196.726	83.0892	57.9578	66.2875	74.1265	3.59853	1.27025
20 <pt<25 	4<chiso range<9 	196.726	83.0892	57.9578	69.6639	70.7452	2.73737	0.998259
20 <pt<25 	4<chiso range<10 	196.726	83.0892	57.9578	66.8372	73.6604	3.45515	1.23471
20 <pt<25 	4<chiso range<11 	196.726	83.0892	57.9578	67.9824	72.4917	3.15734	1.13973
20 <pt<25 	4<chiso range<12 	196.726	83.0892	57.9578	67.9307	72.5202	3.16992	1.14154
20 <pt<25 	4<chiso range<13 	196.726	83.0892	57.9578	66.702	73.7161	3.48849	1.23733
20 <pt<25 	5<chiso range<10 	196.726	83.0892	57.9578	61.6032	79.0428	4.95769	1.67794
20 <pt<25 	5<chiso range<11 	196.726	83.0892	57.9578	63.6617	76.9213	4.33698	1.50194
20 <pt<25 	5<chiso range<12 	196.726	83.0892	57.9578	64.0765	76.4476	4.2155	1.46193
20 <pt<25 	5<chiso range<13 	196.726	83.0892	57.9578	62.9214	77.5243	4.55097	1.54851
20 <pt<25 	6<chiso range<11 	196.726	83.0892	57.9578	67.5558	72.9026	3.26647	1.17259
20 <pt<25 	6<chiso range<12 	196.726	83.0892	57.9578	67.5337	72.9009	3.27135	1.1718
20 <pt<25 	6<chiso range<13 	196.726	83.0892	57.9578	65.7748	74.6486	3.73677	1.31236
20 <pt<25 	7<chiso range<12 	196.726	83.0892	57.9578	68.3358	72.1549	3.06734	1.11235
20 <pt<25 	7<chiso range<13 	196.726	83.0892	57.9578	66.0744	74.353	3.65572	1.28851
20 <pt<25 	8<chiso range<13 	196.726	83.0892	57.9578	63.5041	76.9287	4.37818	1.49898
#######################################################################################
25 <pt<30 	3<chiso range<8 	115.234	42.6868	37.5507	34.4426	45.9798	2.21749	0.877087
25 <pt<30 	3<chiso range<9 	115.234	42.6868	37.5507	35.1248	45.0599	1.99154	0.776052
25 <pt<30 	3<chiso range<10 	115.234	42.6868	37.5507	36.0366	44.0898	1.7066	0.672412
25 <pt<30 	3<chiso range<11 	115.234	42.6868	37.5507	36.3813	43.7846	1.60338	0.64049
25 <pt<30 	3<chiso range<12 	115.234	42.6868	37.5507	35.6982	44.4094	1.81018	0.706146
25 <pt<30 	3<chiso range<13 	115.234	42.6868	37.5507	34.6815	45.3959	2.13348	0.810827
25 <pt<30 	4<chiso range<9 	115.234	42.6868	37.5507	35.0498	45.1042	2.01506	0.780417
25 <pt<30 	4<chiso range<10 	115.234	42.6868	37.5507	36.1854	43.9095	1.66128	0.653098
25 <pt<30 	4<chiso range<11 	115.234	42.6868	37.5507	36.5888	43.5509	1.54155	0.615599
25 <pt<30 	4<chiso range<12 	115.234	42.6868	37.5507	35.7506	44.3319	1.79363	0.697672
25 <pt<30 	4<chiso range<13 	115.234	42.6868	37.5507	34.547	45.5102	2.17734	0.822783
25 <pt<30 	5<chiso range<10 	115.234	42.6868	37.5507	33.4884	46.5415	2.53742	0.933145
25 <pt<30 	5<chiso range<11 	115.234	42.6868	37.5507	34.3761	45.6644	2.23378	0.839086
25 <pt<30 	5<chiso range<12 	115.234	42.6868	37.5507	33.6087	46.4222	2.49528	0.920283
25 <pt<30 	5<chiso range<13 	115.234	42.6868	37.5507	32.4111	47.6236	2.92811	1.05003
25 <pt<30 	6<chiso range<11 	115.234	42.6868	37.5507	36.6957	43.3403	1.50906	0.592647
25 <pt<30 	6<chiso range<12 	115.234	42.6868	37.5507	35.4455	44.5853	1.88781	0.724024
25 <pt<30 	6<chiso range<13 	115.234	42.6868	37.5507	33.7939	46.247	2.43108	0.901464
25 <pt<30 	7<chiso range<12 	115.234	42.6868	37.5507	37.8946	42.1627	1.16921	0.469661
25 <pt<30 	7<chiso range<13 	115.234	42.6868	37.5507	35.4829	44.5949	1.8764	0.72526
25 <pt<30 	8<chiso range<13 	115.234	42.6868	37.5507	34.8034	45.3572	2.09427	0.807121
#######################################################################################
30 <pt<35 	3<chiso range<8 	70.3079	21.2129	26.1236	12.6528	34.6161	4.06112	1.18547
30 <pt<35 	3<chiso range<9 	70.3079	21.2129	26.1236	12.8595	34.4432	3.8995	1.15995
