pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	2.122e-314	4.94066e-324	-nan	0.539319	0.0241815	nan
20 <pt<25 	3<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.542851	0.0259312	nan
20 <pt<25 	3<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.522838	0.0272785	nan
20 <pt<25 	3<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.52709	0.0284655	nan
20 <pt<25 	3<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.515486	0.0295836	nan
20 <pt<25 	3<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.516437	0.0304478	nan
20 <pt<25 	4<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.540782	0.0231877	nan
20 <pt<25 	4<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.517078	0.0246853	nan
20 <pt<25 	4<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.522789	0.0259929	nan
20 <pt<25 	4<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.509982	0.0272127	nan
20 <pt<25 	4<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.511998	0.0281623	nan
20 <pt<25 	5<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.489277	0.0219302	nan
20 <pt<25 	5<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.499923	0.0233933	nan
20 <pt<25 	5<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.487518	0.0247425	nan
20 <pt<25 	5<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.492218	0.0257953	nan
20 <pt<25 	6<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.509113	0.0207617	nan
20 <pt<25 	6<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.492656	0.0222689	nan
20 <pt<25 	6<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.497272	0.0234195	nan
20 <pt<25 	7<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.477909	0.0198197	nan
20 <pt<25 	7<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.484355	0.0210942	nan
20 <pt<25 	8<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.479179	0.0184914	nan
#######################################################################################
25 <pt<30 	3<chiso range<8 	2.122e-314	4.94066e-324	-nan	0.388681	0.0344626	nan
25 <pt<30 	3<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.400768	0.0367779	nan
25 <pt<30 	3<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.422353	0.0387497	nan
25 <pt<30 	3<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.431774	0.0406165	nan
25 <pt<30 	3<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.42047	0.0419866	nan
25 <pt<30 	3<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.396738	0.0432693	nan
25 <pt<30 	4<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.39302	0.0328772	nan
25 <pt<30 	4<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.420164	0.0350622	nan
25 <pt<30 	4<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.432098	0.0371203	nan
25 <pt<30 	4<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.418596	0.0386145	nan
25 <pt<30 	4<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.391043	0.0400088	nan
25 <pt<30 	5<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.399679	0.0313161	nan
25 <pt<30 	5<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.417189	0.033606	nan
25 <pt<30 	5<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.402828	0.0352451	nan
25 <pt<30 	5<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.372616	0.0367603	nan
25 <pt<30 	6<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.457284	0.0301879	nan
25 <pt<30 	6<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.434545	0.0320092	nan
25 <pt<30 	6<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.394815	0.0336936	nan
25 <pt<30 	7<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.45523	0.027936	nan
25 <pt<30 	7<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.40359	0.0298555	nan
25 <pt<30 	8<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.408019	0.0261105	nan
#######################################################################################
30 <pt<35 	3<chiso range<8 	2.122e-314	4.94066e-324	-nan	0.300619	0.0482426	nan
30 <pt<35 	3<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.293555	0.0517083	nan
30 <pt<35 	3<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.313288	0.0550032	nan
30 <pt<35 	3<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.304718	0.0571	nan
30 <pt<35 	3<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.306042	0.0588129	nan
30 <pt<35 	3<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.324894	0.0613794	nan
30 <pt<35 	4<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.318442	0.0462703	nan
30 <pt<35 	4<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.339451	0.0498824	nan
30 <pt<35 	4<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.327462	0.0522062	nan
30 <pt<35 	4<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.327558	0.0540842	nan
30 <pt<35 	4<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.347677	0.056841	nan
30 <pt<35 	5<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.342109	0.0445072	nan
30 <pt<35 	5<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.324775	0.0471152	nan
30 <pt<35 	5<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.325748	0.0491908	nan
30 <pt<35 	5<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.351459	0.0521887	nan
30 <pt<35 	6<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.347604	0.0422082	nan
30 <pt<35 	6<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.346779	0.0445219	nan
30 <pt<35 	6<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.373475	0.0478019	nan
30 <pt<35 	7<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.360863	0.0395644	nan
30 <pt<35 	7<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.394724	0.0432262	nan
30 <pt<35 	8<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.370087	0.0379174	nan
#######################################################################################
35 <pt<50 	3<chiso range<8 	2.122e-314	4.94066e-324	-nan	0.333116	0.0381049	nan
35 <pt<50 	3<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.338614	0.0409946	nan
35 <pt<50 	3<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.31696	0.0435909	nan
35 <pt<50 	3<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.318453	0.045344	nan
35 <pt<50 	3<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.318347	0.0472679	nan
35 <pt<50 	3<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.322698	0.0488088	nan
35 <pt<50 	4<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.321463	0.036518	nan
35 <pt<50 	4<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.295451	0.0393516	nan
35 <pt<50 	4<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.297882	0.0412419	nan
35 <pt<50 	4<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.300084	0.0433544	nan
35 <pt<50 	4<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.306943	0.0450388	nan
35 <pt<50 	5<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.283882	0.0353427	nan
35 <pt<50 	5<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.288117	0.0374366	nan
35 <pt<50 	5<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.291834	0.039751	nan
35 <pt<50 	5<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.30047	0.0415787	nan
35 <pt<50 	6<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.285413	0.0337367	nan
35 <pt<50 	6<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.286243	0.0362352	nan
35 <pt<50 	6<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.296665	0.0382319	nan
35 <pt<50 	7<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.292346	0.0324787	nan
35 <pt<50 	7<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.30347	0.0346735	nan
35 <pt<50 	8<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.308344	0.0304607	nan
#######################################################################################
50 <pt<60 	3<chiso range<8 	2.122e-314	4.94066e-324	-nan	0.229706	0.0791166	nan
50 <pt<60 	3<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.240584	0.0850888	nan
50 <pt<60 	3<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.232252	0.0909209	nan
50 <pt<60 	3<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.2163	0.0953657	nan
50 <pt<60 	3<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.230612	0.099311	nan
50 <pt<60 	3<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.216427	0.102666	nan
50 <pt<60 	4<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.233141	0.0748686	nan
50 <pt<60 	4<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.223933	0.0814365	nan
50 <pt<60 	4<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.206367	0.0863644	nan
50 <pt<60 	4<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.224035	0.0907083	nan
50 <pt<60 	4<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.20836	0.094368	nan
50 <pt<60 	5<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.237482	0.0723819	nan
50 <pt<60 	5<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.210901	0.0778746	nan
50 <pt<60 	5<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.23327	0.0826767	nan
50 <pt<60 	5<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.21253	0.0866722	nan
50 <pt<60 	6<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.187828	0.0701299	nan
50 <pt<60 	6<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.215484	0.075471	nan
50 <pt<60 	6<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.195755	0.0798343	nan
50 <pt<60 	7<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.224954	0.0666547	nan
50 <pt<60 	7<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.204113	0.0715339	nan
50 <pt<60 	8<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.200088	0.0653648	nan
#######################################################################################
60 <pt<400 	3<chiso range<8 	2.122e-314	4.94066e-324	-nan	0.155272	0.0528123	nan
60 <pt<400 	3<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.152277	0.0578203	nan
60 <pt<400 	3<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.151704	0.0623925	nan
60 <pt<400 	3<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.150926	0.0653534	nan
60 <pt<400 	3<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.154876	0.0685791	nan
60 <pt<400 	3<chiso range<13 	2.122e-314	4.94066e-324	-nan	0.156041	0.0706581	nan
60 <pt<400 	4<chiso range<9 	2.122e-314	4.94066e-324	-nan	0.160783	0.0521545	nan
60 <pt<400 	4<chiso range<10 	2.122e-314	4.94066e-324	-nan	0.158541	0.0571781	nan
60 <pt<400 	4<chiso range<11 	2.122e-314	4.94066e-324	-nan	0.156678	0.060395	nan
60 <pt<400 	4<chiso range<12 	2.122e-314	4.94066e-324	-nan	0.160611	0.0638742	nan
