pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	4.94066e-324	51.0439	7.30329	6.98917
20 <pt<25 	3<chiso range<9 	4.94066e-324	51.2871	7.08655	7.23725
20 <pt<25 	3<chiso range<10 	4.94066e-324	49.3316	6.59101	7.48468
20 <pt<25 	3<chiso range<11 	4.94066e-324	49.7439	6.50774	7.64381
20 <pt<25 	3<chiso range<12 	4.94066e-324	48.7018	6.26881	7.76891
20 <pt<25 	3<chiso range<13 	4.94066e-324	48.7773	6.20889	7.85604
20 <pt<25 	4<chiso range<9 	4.94066e-324	51.0155	7.43678	6.85989
20 <pt<25 	4<chiso range<10 	4.94066e-324	48.6972	6.79314	7.16858
20 <pt<25 	4<chiso range<11 	4.94066e-324	49.277	6.69172	7.36388
20 <pt<25 	4<chiso range<12 	4.94066e-324	48.1717	6.40818	7.51722
20 <pt<25 	4<chiso range<13 	4.94066e-324	48.3648	6.35033	7.61611
20 <pt<25 	5<chiso range<10 	4.94066e-324	45.8413	6.78693	6.75435
20 <pt<25 	5<chiso range<11 	4.94066e-324	46.9721	6.71097	6.9993
20 <pt<25 	5<chiso range<12 	4.94066e-324	46.0122	6.39709	7.19268
20 <pt<25 	5<chiso range<13 	4.94066e-324	46.5056	6.36596	7.30536
20 <pt<25 	6<chiso range<11 	4.94066e-324	47.5422	7.29293	6.51894
20 <pt<25 	6<chiso range<12 	4.94066e-324	46.4016	6.8438	6.78009
20 <pt<25 	6<chiso range<13 	4.94066e-324	46.8967	6.76297	6.93434
20 <pt<25 	7<chiso range<12 	4.94066e-324	45.1391	7.1677	6.29757
20 <pt<25 	7<chiso range<13 	4.94066e-324	45.7547	7.03571	6.50321
20 <pt<25 	8<chiso range<13 	4.94066e-324	45.1698	7.45171	6.06167
#######################################################################################
25 <pt<30 	3<chiso range<8 	4.94066e-324	20.7105	4.39361	4.71378
25 <pt<30 	3<chiso range<9 	4.94066e-324	21.3275	4.41704	4.82846
25 <pt<30 	3<chiso range<10 	4.94066e-324	22.4212	4.52623	4.95361
25 <pt<30 	3<chiso range<11 	4.94066e-324	22.9069	4.52473	5.0626
25 <pt<30 	3<chiso range<12 	4.94066e-324	22.2946	4.34251	5.13404
25 <pt<30 	3<chiso range<13 	4.94066e-324	21.0297	4.05286	5.18885
25 <pt<30 	4<chiso range<9 	4.94066e-324	20.9705	4.59375	4.56501
25 <pt<30 	4<chiso range<10 	4.94066e-324	22.3259	4.72122	4.72884
25 <pt<30 	4<chiso range<11 	4.94066e-324	22.9536	4.71379	4.86946
