pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	3<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	3<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	3<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	3<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	3<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	4<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	4<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	4<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	4<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	4<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	5<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	5<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	5<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	5<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	6<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	6<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	6<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	7<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	7<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
20  <pt<25 	8<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	3<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	3<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	3<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	3<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	3<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	4<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	4<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	4<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	4<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	4<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	5<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	5<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	5<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	5<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	6<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	6<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	6<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	7<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	7<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
25  <pt<30 	8<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
#######################################################################################
30  <pt<35 	3<chiso range<8 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	3<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	3<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	3<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	3<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	3<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	4<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	4<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	4<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	4<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	4<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	5<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	5<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	5<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	5<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	6<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	6<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	6<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	7<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	7<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
30  <pt<35 	8<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
#######################################################################################
35  <pt<50 	3<chiso range<8 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	3<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	3<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	3<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	3<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	3<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	4<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	4<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	4<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	4<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	4<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	5<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	5<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	5<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	5<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	6<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	6<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	6<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	7<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	7<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
35  <pt<50 	8<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
#######################################################################################
50  <pt<60 	3<chiso range<8 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	3<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	3<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	3<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	3<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	3<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	4<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	4<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	4<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	4<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	4<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	5<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	5<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	5<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	5<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	6<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	6<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	6<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	7<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	7<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
50  <pt<60 	8<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
#######################################################################################
60  <pt<400 	3<chiso range<8 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	3<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	3<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	3<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	3<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	3<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	4<chiso range<9 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	4<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	4<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	4<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	4<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	5<chiso range<10 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	5<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	5<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	5<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	6<chiso range<11 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	6<chiso range<12 	1.42481e-299	4.69771e-303	6.95268e-310	inf
60  <pt<400 	6<chiso range<13 	1.42481e-299	4.69771e-303	6.95268e-310	inf
