pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	2.122e-314	4.94066e-324	1.42481e-299	51.0439	4.69771e-303	6.98917	inf
20 <pt<25 	3<chiso range<9 	2.122e-314	4.94066e-324	1.42481e-299	51.2871	4.69771e-303	7.23725	inf
20 <pt<25 	3<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	49.3316	4.69771e-303	7.48468	inf
20 <pt<25 	3<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	49.7439	4.69771e-303	7.64381	inf
20 <pt<25 	3<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	48.7018	4.69771e-303	7.76891	inf
20 <pt<25 	3<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	48.7773	4.69771e-303	7.85604	inf
20 <pt<25 	4<chiso range<9 	2.122e-314	4.94066e-324	1.42481e-299	51.0155	4.69771e-303	6.85989	inf
20 <pt<25 	4<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	48.6972	4.69771e-303	7.16858	inf
20 <pt<25 	4<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	49.277	4.69771e-303	7.36388	inf
20 <pt<25 	4<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	48.1717	4.69771e-303	7.51722	inf
20 <pt<25 	4<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	48.3648	4.69771e-303	7.61611	inf
20 <pt<25 	5<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	45.8413	4.69771e-303	6.75435	inf
20 <pt<25 	5<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	46.9721	4.69771e-303	6.9993	inf
20 <pt<25 	5<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	46.0122	4.69771e-303	7.19268	inf
20 <pt<25 	5<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	46.5056	4.69771e-303	7.30536	inf
20 <pt<25 	6<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	47.5422	4.69771e-303	6.51894	inf
20 <pt<25 	6<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	46.4016	4.69771e-303	6.78009	inf
20 <pt<25 	6<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	46.8967	4.69771e-303	6.93434	inf
20 <pt<25 	7<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	45.1391	4.69771e-303	6.29757	inf
20 <pt<25 	7<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	45.7547	4.69771e-303	6.50321	inf
20 <pt<25 	8<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	45.1698	4.69771e-303	6.06167	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	2.122e-314	4.94066e-324	1.42481e-299	20.7105	4.69771e-303	4.71378	inf
25 <pt<30 	3<chiso range<9 	2.122e-314	4.94066e-324	1.42481e-299	21.3275	4.69771e-303	4.82846	inf
25 <pt<30 	3<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	22.4212	4.69771e-303	4.95361	inf
25 <pt<30 	3<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	22.9069	4.69771e-303	5.0626	inf
25 <pt<30 	3<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	22.2946	4.69771e-303	5.13404	inf
25 <pt<30 	3<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	21.0297	4.69771e-303	5.18885	inf
25 <pt<30 	4<chiso range<9 	2.122e-314	4.94066e-324	1.42481e-299	20.9705	4.69771e-303	4.56501	inf
25 <pt<30 	4<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	22.3259	4.69771e-303	4.72884	inf
25 <pt<30 	4<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	22.9536	4.69771e-303	4.86946	inf
25 <pt<30 	4<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	22.221	4.69771e-303	4.96032	inf
25 <pt<30 	4<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	20.7525	4.69771e-303	5.02976	inf
25 <pt<30 	5<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	21.2663	4.69771e-303	4.49261	inf
25 <pt<30 	5<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	22.201	4.69771e-303	4.67021	inf
25 <pt<30 	5<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	21.4138	4.69771e-303	4.78474	inf
25 <pt<30 	5<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	19.7973	4.69771e-303	4.87408	inf
25 <pt<30 	6<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	24.2743	4.69771e-303	4.42691	inf
25 <pt<30 	6<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	23.0657	4.69771e-303	4.57052	inf
25 <pt<30 	6<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	20.9753	4.69771e-303	4.67519	inf
25 <pt<30 	7<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	24.2084	4.69771e-303	4.30354	inf
25 <pt<30 	7<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	21.502	4.69771e-303	4.4374	inf
25 <pt<30 	8<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	21.7786	4.69771e-303	4.09015	inf
#######################################################################################
30 <pt<35 	3<chiso range<8 	2.122e-314	4.94066e-324	1.42481e-299	9.49662	4.69771e-303	3.43793	inf
30 <pt<35 	3<chiso range<9 	2.122e-314	4.94066e-324	1.42481e-299	9.25067	4.69771e-303	3.52455	inf
30 <pt<35 	3<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	9.85086	4.69771e-303	3.58896	inf
30 <pt<35 	3<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	9.57964	4.69771e-303	3.62275	inf
30 <pt<35 	3<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	9.61711	4.69771e-303	3.65601	inf
30 <pt<35 	3<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	10.196	4.69771e-303	3.70419	inf
30 <pt<35 	4<chiso range<9 	2.122e-314	4.94066e-324	1.42481e-299	10.0308	4.69771e-303	3.42384	inf
30 <pt<35 	4<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	10.6615	4.69771e-303	3.50912	inf
30 <pt<35 	4<chiso range<11 	2.122e-314	4.94066e-324	1.42481e-299	10.2926	4.69771e-303	3.54796	inf
30 <pt<35 	4<chiso range<12 	2.122e-314	4.94066e-324	1.42481e-299	10.2963	4.69771e-303	3.58777	inf
30 <pt<35 	4<chiso range<13 	2.122e-314	4.94066e-324	1.42481e-299	10.9126	4.69771e-303	3.64836	inf
30 <pt<35 	5<chiso range<10 	2.122e-314	4.94066e-324	1.42481e-299	10.719	4.69771e-303	3.40042	inf
