pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	113.589	47.8182	0.420976	0.482619	0.0253435	2.43232
20 <pt<25 	3<chiso range<9 	113.589	47.8182	0.420976	0.486704	0.0271432	2.42154
20 <pt<25 	3<chiso range<10 	113.589	47.8182	0.420976	0.459928	0.0284377	1.36974
20 <pt<25 	3<chiso range<11 	113.589	47.8182	0.420976	0.462201	0.0296295	1.39136
20 <pt<25 	3<chiso range<12 	113.589	47.8182	0.420976	0.458826	0.0307638	1.23035
20 <pt<25 	3<chiso range<13 	113.589	47.8182	0.420976	0.451709	0.0316133	0.972166
20 <pt<25 	4<chiso range<9 	113.589	47.8182	0.420976	0.476221	0.0242089	2.28203
20 <pt<25 	4<chiso range<10 	113.589	47.8182	0.420976	0.446987	0.0256529	1.01397
20 <pt<25 	4<chiso range<11 	113.589	47.8182	0.420976	0.450811	0.0269642	1.10648
20 <pt<25 	4<chiso range<12 	113.589	47.8182	0.420976	0.448197	0.0282119	0.96489
20 <pt<25 	4<chiso range<13 	113.589	47.8182	0.420976	0.441001	0.0291649	0.686626
20 <pt<25 	5<chiso range<10 	113.589	47.8182	0.420976	0.41274	0.022845	0.3605
20 <pt<25 	5<chiso range<11 	113.589	47.8182	0.420976	0.421899	0.0243136	0.0379778
20 <pt<25 	5<chiso range<12 	113.589	47.8182	0.420976	0.422008	0.0256921	0.0401827
20 <pt<25 	5<chiso range<13 	113.589	47.8182	0.420976	0.411924	0.0267087	0.338902
20 <pt<25 	6<chiso range<11 	113.589	47.8182	0.420976	0.427003	0.0216395	0.278536
20 <pt<25 	6<chiso range<12 	113.589	47.8182	0.420976	0.426268	0.0231717	0.228398
20 <pt<25 	6<chiso range<13 	113.589	47.8182	0.420976	0.416147	0.0243068	0.198653
20 <pt<25 	7<chiso range<12 	113.589	47.8182	0.420976	0.423775	0.020614	0.1358
20 <pt<25 	7<chiso range<13 	113.589	47.8182	0.420976	0.409288	0.0218624	0.534599
20 <pt<25 	8<chiso range<13 	113.589	47.8182	0.420976	0.398489	0.0189691	1.18543
#######################################################################################
25 <pt<30 	3<chiso range<8 	65.5059	25.7575	0.393209	0.398566	0.0347485	0.154169
25 <pt<30 	3<chiso range<9 	65.5059	25.7575	0.393209	0.402474	0.0369573	0.250699
25 <pt<30 	3<chiso range<10 	65.5059	25.7575	0.393209	0.408695	0.0388123	0.399001
25 <pt<30 	3<chiso range<11 	65.5059	25.7575	0.393209	0.424173	0.0406595	0.761548
25 <pt<30 	3<chiso range<12 	65.5059	25.7575	0.393209	0.421731	0.0420111	0.678919
25 <pt<30 	3<chiso range<13 	65.5059	25.7575	0.393209	0.401305	0.0433831	0.18662
25 <pt<30 	4<chiso range<9 	65.5059	25.7575	0.393209	0.391744	0.0331488	0.0441903
25 <pt<30 	4<chiso range<10 	65.5059	25.7575	0.393209	0.400846	0.0352128	0.216885
25 <pt<30 	4<chiso range<11 	65.5059	25.7575	0.393209	0.420729	0.0372505	0.738786
25 <pt<30 	4<chiso range<12 	65.5059	25.7575	0.393209	0.41525	0.0387195	0.569252
25 <pt<30 	4<chiso range<13 	65.5059	25.7575	0.393209	0.391928	0.0402063	0.0318571
25 <pt<30 	5<chiso range<10 	65.5059	25.7575	0.393209	0.363441	0.0314975	0.945086
25 <pt<30 	5<chiso range<11 	65.5059	25.7575	0.393209	0.392357	0.033761	0.025232
25 <pt<30 	5<chiso range<12 	65.5059	25.7575	0.393209	0.389587	0.0353831	0.102361
25 <pt<30 	5<chiso range<13 	65.5059	25.7575	0.393209	0.364824	0.0369824	0.767523
25 <pt<30 	6<chiso range<11 	65.5059	25.7575	0.393209	0.424184	0.0302186	1.02504
25 <pt<30 	6<chiso range<12 	65.5059	25.7575	0.393209	0.416053	0.0319998	0.713884
25 <pt<30 	6<chiso range<13 	65.5059	25.7575	0.393209	0.383468	0.0337602	0.288531
25 <pt<30 	7<chiso range<12 	65.5059	25.7575	0.393209	0.447972	0.0278099	1.9692
25 <pt<30 	7<chiso range<13 	65.5059	25.7575	0.393209	0.403323	0.0298121	0.339263
25 <pt<30 	8<chiso range<13 	65.5059	25.7575	0.393209	0.389419	0.0258435	0.146646
#######################################################################################
30 <pt<35 	3<chiso range<8 	40.8612	12.9951	0.31803	0.282332	0.0479651	0.744256
30 <pt<35 	3<chiso range<9 	40.8612	12.9951	0.31803	0.267043	0.0512393	0.995082
30 <pt<35 	3<chiso range<10 	40.8612	12.9951	0.31803	0.270927	0.0540177	0.871998
30 <pt<35 	3<chiso range<11 	40.8612	12.9951	0.31803	0.258404	0.0557804	1.06895
30 <pt<35 	3<chiso range<12 	40.8612	12.9951	0.31803	0.258292	0.0572365	1.04371
