pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	47.8182	38.2566	5.28511	1.80916
20 <pt<25 	3<chiso range<9 	47.8182	38.528	5.1419	1.80676
20 <pt<25 	3<chiso range<10 	47.8182	36.355	4.68434	2.44713
20 <pt<25 	3<chiso range<11 	47.8182	36.5886	4.61211	2.43481
20 <pt<25 	3<chiso range<12 	47.8182	36.3517	4.49294	2.55212
20 <pt<25 	3<chiso range<13 	47.8182	35.8153	4.37873	2.74118
20 <pt<25 	4<chiso range<9 	47.8182	37.3783	5.2574	1.98575
20 <pt<25 	4<chiso range<10 	47.8182	35.0381	4.70553	2.71597
20 <pt<25 	4<chiso range<11 	47.8182	35.4524	4.62998	2.67081
20 <pt<25 	4<chiso range<12 	47.8182	35.3269	4.50453	2.77305
20 <pt<25 	4<chiso range<13 	47.8182	34.8549	4.3956	2.94915
20 <pt<25 	5<chiso range<10 	47.8182	32.0098	4.57449	3.45577
20 <pt<25 	5<chiso range<11 	47.8182	32.94	4.53585	3.28013
20 <pt<25 	5<chiso range<12 	47.8182	33.0815	4.41602	3.3371
20 <pt<25 	5<chiso range<13 	47.8182	32.3784	4.25062	3.63236
20 <pt<25 	6<chiso range<11 	47.8182	32.8586	4.86286	3.0763
20 <pt<25 	6<chiso range<12 	47.8182	33.0533	4.68338	3.15262
20 <pt<25 	6<chiso range<13 	47.8182	32.4815	4.50448	3.40477
20 <pt<25 	7<chiso range<12 	47.8182	32.6835	4.98906	3.03358
20 <pt<25 	7<chiso range<13 	47.8182	31.7838	4.70003	3.41155
20 <pt<25 	8<chiso range<13 	47.8182	30.6115	4.85999	3.54048
#######################################################################################
25 <pt<30 	3<chiso range<8 	25.7575	18.5333	3.73383	1.9348
25 <pt<30 	3<chiso range<9 	25.7575	18.7342	3.68465	1.9061
25 <pt<30 	3<chiso range<10 	25.7575	19.0192	3.65182	1.84519
25 <pt<30 	3<chiso range<11 	25.7575	19.7342	3.69957	1.62811
25 <pt<30 	3<chiso range<12 	25.7575	19.6173	3.62318	1.6947
25 <pt<30 	3<chiso range<13 	25.7575	18.6803	3.4076	2.07689
25 <pt<30 	4<chiso range<9 	25.7575	18.1668	3.78257	2.00676
25 <pt<30 	4<chiso range<10 	25.7575	18.6054	3.75036	1.90704
25 <pt<30 	4<chiso range<11 	25.7575	19.5375	3.81583	1.63005
25 <pt<30 	4<chiso range<12 	25.7575	19.2479	3.69167	1.76332
25 <pt<30 	4<chiso range<13 	25.7575	18.1975	3.43517	2.20076
25 <pt<30 	5<chiso range<10 	25.7575	16.7929	3.56259	2.51632
25 <pt<30 	5<chiso range<11 	25.7575	18.1587	3.69652	2.05566
25 <pt<30 	5<chiso range<12 	25.7575	18.0059	3.58054	2.16492
25 <pt<30 	5<chiso range<13 	25.7575	16.8999	3.29216	2.69051
25 <pt<30 	6<chiso range<11 	25.7575	19.457	4.19328	1.50252
25 <pt<30 	6<chiso range<12 	25.7575	19.0676	3.97266	1.68399
25 <pt<30 	6<chiso range<13 	25.7575	17.6531	3.57727	2.26553
25 <pt<30 	7<chiso range<12 	25.7575	20.4351	4.52186	1.17704
25 <pt<30 	7<chiso range<13 	25.7575	18.5227	3.94595	1.83347
25 <pt<30 	8<chiso range<13 	25.7575	17.7293	4.09435	1.9608
#######################################################################################
30 <pt<35 	3<chiso range<8 	12.9951	8.05657	2.20572	2.23897
30 <pt<35 	3<chiso range<9 	12.9951	7.60532	2.34962	2.29389
30 <pt<35 	3<chiso range<10 	12.9951	7.71514	2.24866	2.34805
30 <pt<35 	3<chiso range<11 	12.9951	7.37948	2.09936	2.67492
30 <pt<35 	3<chiso range<12 	12.9951	7.41252	2.10428	2.65296
30 <pt<35 	3<chiso range<13 	12.9951	7.86514	2.1915	2.34084
30 <pt<35 	4<chiso range<9 	12.9951	8.10268	2.25591	2.16871
30 <pt<35 	4<chiso range<10 	12.9951	8.3301	2.25923	2.06486
30 <pt<35 	4<chiso range<11 	12.9951	7.96788	2.50718	2.00513
30 <pt<35 	4<chiso range<12 	12.9951	7.89234	2.35474	2.16702
30 <pt<35 	4<chiso range<13 	12.9951	8.4132	2.48577	1.84325
30 <pt<35 	5<chiso range<10 	12.9951	7.88819	2.21789	2.3026
30 <pt<35 	5<chiso range<11 	12.9951	7.56182	2.51856	2.1573
30 <pt<35 	5<chiso range<12 	12.9951	7.40161	2.23145	2.50666
30 <pt<35 	5<chiso range<13 	12.9951	8.03597	2.42241	2.04719
30 <pt<35 	6<chiso range<11 	12.9951	7.43135	2.15919	2.57678
30 <pt<35 	6<chiso range<12 	12.9951	7.66598	2.81084	1.89592
30 <pt<35 	6<chiso range<13 	12.9951	8.48243	2.34637	1.92326
30 <pt<35 	7<chiso range<12 	12.9951	8.64096	2.59663	1.67684
30 <pt<35 	7<chiso range<13 	12.9951	9.45713	2.73614	1.29305
30 <pt<35 	8<chiso range<13 	12.9951	8.35498	2.64639	1.75338
#######################################################################################
35 <pt<50 	3<chiso range<8 	17.161	12.0214	3.02673	1.69807
35 <pt<50 	3<chiso range<9 	17.161	12.3851	3.03799	1.57206
35 <pt<50 	3<chiso range<10 	17.161	11.9164	2.85062	1.83981
35 <pt<50 	3<chiso range<11 	17.161	11.9234	2.81413	1.86118
35 <pt<50 	3<chiso range<12 	17.161	11.8961	2.77563	1.89683
35 <pt<50 	3<chiso range<13 	17.161	12.0461	2.78125	1.83907
35 <pt<50 	4<chiso range<9 	17.161	11.6399	3.01509	1.83116
