pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	113.589	47.8182	32.3912	38.2566	6.95283e-310	1.80916	inf
20 <pt<25 	3<chiso range<9 	113.589	47.8182	32.3912	38.528	6.95283e-310	1.80676	inf
20 <pt<25 	3<chiso range<10 	113.589	47.8182	32.3912	36.355	6.95283e-310	2.44713	inf
20 <pt<25 	3<chiso range<11 	113.589	47.8182	32.3912	36.5886	6.95283e-310	2.43481	inf
20 <pt<25 	3<chiso range<12 	113.589	47.8182	32.3912	36.3517	6.95283e-310	2.55212	inf
20 <pt<25 	3<chiso range<13 	113.589	47.8182	32.3912	35.8153	6.95283e-310	2.74118	inf
20 <pt<25 	4<chiso range<9 	113.589	47.8182	32.3912	37.3783	6.95283e-310	1.98575	inf
20 <pt<25 	4<chiso range<10 	113.589	47.8182	32.3912	35.0381	6.95283e-310	2.71597	inf
20 <pt<25 	4<chiso range<11 	113.589	47.8182	32.3912	35.4524	6.95283e-310	2.67081	inf
20 <pt<25 	4<chiso range<12 	113.589	47.8182	32.3912	35.3269	6.95283e-310	2.77305	inf
20 <pt<25 	4<chiso range<13 	113.589	47.8182	32.3912	34.8549	6.95283e-310	2.94915	inf
20 <pt<25 	5<chiso range<10 	113.589	47.8182	32.3912	32.0098	6.95283e-310	3.45577	inf
20 <pt<25 	5<chiso range<11 	113.589	47.8182	32.3912	32.94	6.95283e-310	3.28013	inf
20 <pt<25 	5<chiso range<12 	113.589	47.8182	32.3912	33.0815	6.95283e-310	3.3371	inf
20 <pt<25 	5<chiso range<13 	113.589	47.8182	32.3912	32.3784	6.95283e-310	3.63236	inf
20 <pt<25 	6<chiso range<11 	113.589	47.8182	32.3912	32.8586	6.95283e-310	3.0763	inf
20 <pt<25 	6<chiso range<12 	113.589	47.8182	32.3912	33.0533	6.95283e-310	3.15262	inf
20 <pt<25 	6<chiso range<13 	113.589	47.8182	32.3912	32.4815	6.95283e-310	3.40477	inf
20 <pt<25 	7<chiso range<12 	113.589	47.8182	32.3912	32.6835	6.95283e-310	3.03358	inf
20 <pt<25 	7<chiso range<13 	113.589	47.8182	32.3912	31.7838	6.95283e-310	3.41155	inf
20 <pt<25 	8<chiso range<13 	113.589	47.8182	32.3912	30.6115	6.95283e-310	3.54048	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	65.5059	25.7575	20.996	18.5333	6.95283e-310	1.9348	inf
25 <pt<30 	3<chiso range<9 	65.5059	25.7575	20.996	18.7342	6.95283e-310	1.9061	inf
25 <pt<30 	3<chiso range<10 	65.5059	25.7575	20.996	19.0192	6.95283e-310	1.84519	inf
25 <pt<30 	3<chiso range<11 	65.5059	25.7575	20.996	19.7342	6.95283e-310	1.62811	inf
25 <pt<30 	3<chiso range<12 	65.5059	25.7575	20.996	19.6173	6.95283e-310	1.6947	inf
25 <pt<30 	3<chiso range<13 	65.5059	25.7575	20.996	18.6803	6.95283e-310	2.07689	inf
25 <pt<30 	4<chiso range<9 	65.5059	25.7575	20.996	18.1668	6.95283e-310	2.00676	inf
25 <pt<30 	4<chiso range<10 	65.5059	25.7575	20.996	18.6054	6.95283e-310	1.90704	inf
25 <pt<30 	4<chiso range<11 	65.5059	25.7575	20.996	19.5375	6.95283e-310	1.63005	inf
25 <pt<30 	4<chiso range<12 	65.5059	25.7575	20.996	19.2479	6.95283e-310	1.76332	inf
25 <pt<30 	4<chiso range<13 	65.5059	25.7575	20.996	18.1975	6.95283e-310	2.20076	inf
25 <pt<30 	5<chiso range<10 	65.5059	25.7575	20.996	16.7929	6.95283e-310	2.51632	inf
25 <pt<30 	5<chiso range<11 	65.5059	25.7575	20.996	18.1587	6.95283e-310	2.05566	inf
25 <pt<30 	5<chiso range<12 	65.5059	25.7575	20.996	18.0059	6.95283e-310	2.16492	inf
25 <pt<30 	5<chiso range<13 	65.5059	25.7575	20.996	16.8999	6.95283e-310	2.69051	inf
25 <pt<30 	6<chiso range<11 	65.5059	25.7575	20.996	19.457	6.95283e-310	1.50252	inf
25 <pt<30 	6<chiso range<12 	65.5059	25.7575	20.996	19.0676	6.95283e-310	1.68399	inf
25 <pt<30 	6<chiso range<13 	65.5059	25.7575	20.996	17.6531	6.95283e-310	2.26553	inf
25 <pt<30 	7<chiso range<12 	65.5059	25.7575	20.996	20.4351	6.95283e-310	1.17704	inf
25 <pt<30 	7<chiso range<13 	65.5059	25.7575	20.996	18.5227	6.95283e-310	1.83347	inf
25 <pt<30 	8<chiso range<13 	65.5059	25.7575	20.996	17.7293	6.95283e-310	1.9608	inf
#######################################################################################
