pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	311.597	81.6707	0.262104	0.463054	0.0411788	4.87995
20 <pt<25 	3<chiso range<9 	311.597	81.6707	0.262104	0.44413	0.0395149	4.60653
20 <pt<25 	3<chiso range<10 	311.597	81.6707	0.262104	0.432437	0.0384309	4.4322
20 <pt<25 	3<chiso range<11 	311.597	81.6707	0.262104	0.434255	0.038592	4.4608
20 <pt<25 	3<chiso range<12 	311.597	81.6707	0.262104	0.428851	0.0381129	4.37509
20 <pt<25 	3<chiso range<13 	311.597	81.6707	0.262104	0.424655	0.0377445	4.30662
20 <pt<25 	4<chiso range<9 	311.597	81.6707	0.262104	0.448511	0.0399452	4.66658
20 <pt<25 	4<chiso range<10 	311.597	81.6707	0.262104	0.434311	0.0386501	4.45555
20 <pt<25 	4<chiso range<11 	311.597	81.6707	0.262104	0.436228	0.0388151	4.486
20 <pt<25 	4<chiso range<12 	311.597	81.6707	0.262104	0.429834	0.0382442	4.38577
20 <pt<25 	4<chiso range<13 	311.597	81.6707	0.262104	0.424968	0.0378122	4.30719
20 <pt<25 	5<chiso range<10 	311.597	81.6707	0.262104	0.423633	0.0377206	4.28226
20 <pt<25 	5<chiso range<11 	311.597	81.6707	0.262104	0.427367	0.0380452	4.34387
20 <pt<25 	5<chiso range<12 	311.597	81.6707	0.262104	0.421022	0.037477	4.24042
20 <pt<25 	5<chiso range<13 	311.597	81.6707	0.262104	0.416399	0.037065	4.16283
20 <pt<25 	6<chiso range<11 	311.597	81.6707	0.262104	0.415887	0.0369889	4.15755
20 <pt<25 	6<chiso range<12 	311.597	81.6707	0.262104	0.409907	0.0364551	4.0544
20 <pt<25 	6<chiso range<13 	311.597	81.6707	0.262104	0.405872	0.0360991	3.9826
20 <pt<25 	7<chiso range<12 	311.597	81.6707	0.262104	0.386024	0.0342903	3.61386
20 <pt<25 	7<chiso range<13 	311.597	81.6707	0.262104	0.384561	0.0341709	3.58367
20 <pt<25 	8<chiso range<13 	311.597	81.6707	0.262104	0.378511	0.0336039	3.4641
#######################################################################################
25 <pt<30 	3<chiso range<8 	164.457	34.7318	0.211191	0.425153	0.0612214	3.49489
25 <pt<30 	3<chiso range<9 	164.457	34.7318	0.211191	0.391945	0.056512	3.19851
25 <pt<30 	3<chiso range<10 	164.457	34.7318	0.211191	0.388308	0.0560203	3.16166
25 <pt<30 	3<chiso range<11 	164.457	34.7318	0.211191	0.383981	0.0554096	3.11842
25 <pt<30 	3<chiso range<12 	164.457	34.7318	0.211191	0.383762	0.0553802	3.11612
25 <pt<30 	3<chiso range<13 	164.457	34.7318	0.211191	0.385029	0.0555637	3.12863
25 <pt<30 	4<chiso range<9 	164.457	34.7318	0.211191	0.37091	0.0534973	2.98556
25 <pt<30 	4<chiso range<10 	164.457	34.7318	0.211191	0.369641	0.0533449	2.9703
25 <pt<30 	4<chiso range<11 	164.457	34.7318	0.211191	0.36702	0.0529767	2.94147
25 <pt<30 	4<chiso range<12 	164.457	34.7318	0.211191	0.368331	0.053166	2.95565
25 <pt<30 	4<chiso range<13 	164.457	34.7318	0.211191	0.370951	0.0535414	2.98386
25 <pt<30 	5<chiso range<10 	164.457	34.7318	0.211191	0.374176	0.0539996	3.01827
25 <pt<30 	5<chiso range<11 	164.457	34.7318	0.211191	0.370308	0.05345	2.97694
25 <pt<30 	5<chiso range<12 	164.457	34.7318	0.211191	0.371478	0.0536181	2.98942
25 <pt<30 	5<chiso range<13 	164.457	34.7318	0.211191	0.374168	0.0539997	3.01811
25 <pt<30 	6<chiso range<11 	164.457	34.7318	0.211191	0.34994	0.0505143	2.74673
25 <pt<30 	6<chiso range<12 	164.457	34.7318	0.211191	0.353943	0.0510882	2.79423
25 <pt<30 	6<chiso range<13 	164.457	34.7318	0.211191	0.35893	0.051798	2.85222
25 <pt<30 	7<chiso range<12 	164.457	34.7318	0.211191	0.344531	0.0497331	2.68112
25 <pt<30 	7<chiso range<13 	164.457	34.7318	0.211191	0.351716	0.0507497	2.76899
25 <pt<30 	8<chiso range<13 	164.457	34.7318	0.211191	0.333544	0.0480973	2.54387
#######################################################################################
30 <pt<40 	3<chiso range<8 	167.6	30.8934	0.184328	0.276612	0.0479854	1.92316
30 <pt<40 	3<chiso range<9 	167.6	30.8934	0.184328	0.272258	0.0472384	1.86141
30 <pt<40 	3<chiso range<10 	167.6	30.8934	0.184328	0.281167	0.0487891	1.98485
30 <pt<40 	3<chiso range<11 	167.6	30.8934	0.184328	0.282397	0.0489885	2.00187
30 <pt<40 	3<chiso range<12 	167.6	30.8934	0.184328	0.279069	0.0484072	1.95716
30 <pt<40 	3<chiso range<13 	167.6	30.8934	0.184328	0.271276	0.0470575	1.84769
30 <pt<40 	4<chiso range<9 	167.6	30.8934	0.184328	0.26943	0.0467215	1.82147
30 <pt<40 	4<chiso range<10 	167.6	30.8934	0.184328	0.280578	0.0486792	1.97723
