pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	81.6707	92.2186	8.09152	1.30357
20 <pt<25 	3<chiso range<9 	81.6707	88.4497	7.76467	0.873057
20 <pt<25 	3<chiso range<10 	81.6707	86.1211	7.55144	0.589345
20 <pt<25 	3<chiso range<11 	81.6707	86.4831	7.58308	0.634623
20 <pt<25 	3<chiso range<12 	81.6707	85.4068	7.48894	0.498882
20 <pt<25 	3<chiso range<13 	81.6707	84.5712	7.41659	0.391083
20 <pt<25 	4<chiso range<9 	81.6707	89.3223	7.84944	0.974796
20 <pt<25 	4<chiso range<10 	81.6707	86.4942	7.59479	0.635106
20 <pt<25 	4<chiso range<11 	81.6707	86.8761	7.62718	0.68248
20 <pt<25 	4<chiso range<12 	81.6707	85.6028	7.51499	0.523234
20 <pt<25 	4<chiso range<13 	81.6707	84.6336	7.4301	0.39877
20 <pt<25 	5<chiso range<10 	81.6707	84.3677	7.41225	0.363857
20 <pt<25 	5<chiso range<11 	81.6707	85.1114	7.47599	0.460233
20 <pt<25 	5<chiso range<12 	81.6707	83.8478	7.36432	0.295628
20 <pt<25 	5<chiso range<13 	81.6707	82.927	7.28336	0.172489
20 <pt<25 	6<chiso range<11 	81.6707	82.825	7.26823	0.158814
20 <pt<25 	6<chiso range<12 	81.6707	81.6342	7.16334	0.00509539
20 <pt<25 	6<chiso range<13 	81.6707	80.8305	7.09341	0.118448
20 <pt<25 	7<chiso range<12 	81.6707	76.8778	6.73775	0.71135
20 <pt<25 	7<chiso range<13 	81.6707	76.5865	6.71434	0.757215
20 <pt<25 	8<chiso range<13 	81.6707	75.3817	6.60277	0.952479
#######################################################################################
25 <pt<30 	3<chiso range<8 	34.7318	43.578	6.2149	1.42339
25 <pt<30 	3<chiso range<9 	34.7318	40.1743	5.73697	0.948672
25 <pt<30 	3<chiso range<10 	34.7318	39.8014	5.68712	0.891418
25 <pt<30 	3<chiso range<11 	34.7318	39.358	5.62515	0.822414
25 <pt<30 	3<chiso range<12 	34.7318	39.3355	5.62217	0.818848
25 <pt<30 	3<chiso range<13 	34.7318	39.4654	5.64081	0.83917
25 <pt<30 	4<chiso range<9 	34.7318	38.0182	5.43097	0.605122
25 <pt<30 	4<chiso range<10 	34.7318	37.888	5.41555	0.582803
25 <pt<30 	4<chiso range<11 	34.7318	37.6194	5.37819	0.536909
25 <pt<30 	4<chiso range<12 	34.7318	37.7538	5.39742	0.559897
25 <pt<30 	4<chiso range<13 	34.7318	38.0223	5.43552	0.60537
25 <pt<30 	5<chiso range<10 	34.7318	38.3529	5.48202	0.660541
25 <pt<30 	5<chiso range<11 	34.7318	37.9565	5.42624	0.594279
25 <pt<30 	5<chiso range<12 	34.7318	38.0763	5.44331	0.614424
25 <pt<30 	5<chiso range<13 	34.7318	38.3521	5.48203	0.660394
25 <pt<30 	6<chiso range<11 	34.7318	35.8688	5.12821	0.221715
25 <pt<30 	6<chiso range<12 	34.7318	36.279	5.18647	0.298315
25 <pt<30 	6<chiso range<13 	34.7318	36.7902	5.25851	0.391442
25 <pt<30 	7<chiso range<12 	34.7318	35.3143	5.04891	0.115371
25 <pt<30 	7<chiso range<13 	34.7318	36.0508	5.15207	0.256014
25 <pt<30 	8<chiso range<13 	34.7318	34.1881	4.88274	0.111351
#######################################################################################
30 <pt<40 	3<chiso range<8 	30.8934	29.8886	5.15716	0.194836
30 <pt<40 	3<chiso range<9 	30.8934	29.4182	5.07688	0.290572
30 <pt<40 	3<chiso range<10 	30.8934	30.3808	5.24354	0.0977584
30 <pt<40 	3<chiso range<11 	30.8934	30.5137	5.26496	0.0721183
30 <pt<40 	3<chiso range<12 	30.8934	30.1541	5.20248	0.142105
30 <pt<40 	3<chiso range<13 	30.8934	29.312	5.05743	0.312688
30 <pt<40 	4<chiso range<9 	30.8934	29.1125	5.02129	0.35467
30 <pt<40 	4<chiso range<10 	30.8934	30.3171	5.23172	0.110155
30 <pt<40 	4<chiso range<11 	30.8934	30.4772	5.25718	0.0791679
30 <pt<40 	4<chiso range<12 	30.8934	30.0623	5.18504	0.160288
30 <pt<40 	4<chiso range<13 	30.8934	29.1175	5.02145	0.353663
