pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	118.045	107.135	16.1979	0.673544
20  <pt<25 	3<chiso range<9 	118.045	110.872	16.0467	0.447008
20  <pt<25 	3<chiso range<10 	118.045	113.449	15.9117	0.288844
20  <pt<25 	3<chiso range<11 	118.045	113.084	15.9266	0.311491
20  <pt<25 	3<chiso range<12 	118.045	114.169	15.8823	0.244045
20  <pt<25 	3<chiso range<13 	118.045	114.993	15.8512	0.192541
20  <pt<25 	4<chiso range<9 	118.045	109.789	16.117	0.512254
20  <pt<25 	4<chiso range<10 	118.045	112.816	15.9695	0.327437
20  <pt<25 	4<chiso range<11 	118.045	112.455	15.9813	0.349784
20  <pt<25 	4<chiso range<12 	118.045	113.757	15.9256	0.269252
20  <pt<25 	4<chiso range<13 	118.045	114.733	15.8857	0.208489
20  <pt<25 	5<chiso range<10 	118.045	114.862	15.8968	0.200229
20  <pt<25 	5<chiso range<11 	118.045	114.148	15.9216	0.244762
20  <pt<25 	5<chiso range<12 	118.045	115.446	15.866	0.163809
20  <pt<25 	5<chiso range<13 	118.045	116.38	15.8276	0.105196
20  <pt<25 	6<chiso range<11 	118.045	116.636	15.7987	0.0891846
20  <pt<25 	6<chiso range<12 	118.045	117.852	15.7487	0.012255
20  <pt<25 	6<chiso range<13 	118.045	118.65	15.7188	0.0384889
20  <pt<25 	7<chiso range<12 	118.045	122.873	15.5282	0.310918
20  <pt<25 	7<chiso range<13 	118.045	123.111	15.5258	0.326296
20  <pt<25 	8<chiso range<13 	118.045	124.485	15.4561	0.416664
#######################################################################################
25  <pt<30 	3<chiso range<8 	67.9391	58.9895	11.8231	0.756959
25  <pt<30 	3<chiso range<9 	67.9391	62.3598	11.5925	0.481285
25  <pt<30 	3<chiso range<10 	67.9391	62.698	11.5766	0.452732
25  <pt<30 	3<chiso range<11 	67.9391	63.1338	11.5491	0.416076
