pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	311.597	81.6707	118.045	92.2186	107.135	1.30357	0.673544
20 <pt<25 	3<chiso range<9 	311.597	81.6707	118.045	88.4497	110.872	0.873057	0.447008
20 <pt<25 	3<chiso range<10 	311.597	81.6707	118.045	86.1211	113.449	0.589345	0.288844
20 <pt<25 	3<chiso range<11 	311.597	81.6707	118.045	86.4831	113.084	0.634623	0.311491
20 <pt<25 	3<chiso range<12 	311.597	81.6707	118.045	85.4068	114.169	0.498882	0.244045
20 <pt<25 	3<chiso range<13 	311.597	81.6707	118.045	84.5712	114.993	0.391083	0.192541
20 <pt<25 	4<chiso range<9 	311.597	81.6707	118.045	89.3223	109.789	0.974796	0.512254
20 <pt<25 	4<chiso range<10 	311.597	81.6707	118.045	86.4942	112.816	0.635106	0.327437
20 <pt<25 	4<chiso range<11 	311.597	81.6707	118.045	86.8761	112.455	0.68248	0.349784
20 <pt<25 	4<chiso range<12 	311.597	81.6707	118.045	85.6028	113.757	0.523234	0.269252
20 <pt<25 	4<chiso range<13 	311.597	81.6707	118.045	84.6336	114.733	0.39877	0.208489
20 <pt<25 	5<chiso range<10 	311.597	81.6707	118.045	84.3677	114.862	0.363857	0.200229
20 <pt<25 	5<chiso range<11 	311.597	81.6707	118.045	85.1114	114.148	0.460233	0.244762
20 <pt<25 	5<chiso range<12 	311.597	81.6707	118.045	83.8478	115.446	0.295628	0.163809
20 <pt<25 	5<chiso range<13 	311.597	81.6707	118.045	82.927	116.38	0.172489	0.105196
20 <pt<25 	6<chiso range<11 	311.597	81.6707	118.045	82.825	116.636	0.158814	0.0891846
20 <pt<25 	6<chiso range<12 	311.597	81.6707	118.045	81.6342	117.852	0.00509539	0.012255
20 <pt<25 	6<chiso range<13 	311.597	81.6707	118.045	80.8305	118.65	0.118448	0.0384889
20 <pt<25 	7<chiso range<12 	311.597	81.6707	118.045	76.8778	122.873	0.71135	0.310918
20 <pt<25 	7<chiso range<13 	311.597	81.6707	118.045	76.5865	123.111	0.757215	0.326296
20 <pt<25 	8<chiso range<13 	311.597	81.6707	118.045	75.3817	124.485	0.952479	0.416664
#######################################################################################
25 <pt<30 	3<chiso range<8 	164.457	34.7318	67.9391	43.578	58.9895	1.42339	0.756959
25 <pt<30 	3<chiso range<9 	164.457	34.7318	67.9391	40.1743	62.3598	0.948672	0.481285
25 <pt<30 	3<chiso range<10 	164.457	34.7318	67.9391	39.8014	62.698	0.891418	0.452732
25 <pt<30 	3<chiso range<11 	164.457	34.7318	67.9391	39.358	63.1338	0.822414	0.416076
25 <pt<30 	3<chiso range<12 	164.457	34.7318	67.9391	39.3355	63.156	0.818848	0.414189
25 <pt<30 	3<chiso range<13 	164.457	34.7318	67.9391	39.4654	63.0326	0.83917	0.424548
25 <pt<30 	4<chiso range<9 	164.457	34.7318	67.9391	38.0182	64.5151	0.605122	0.299141
