pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	32.3912	6.95267e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<9 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<10 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<11 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<12 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<13 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<9 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<10 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<11 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<12 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<13 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<10 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<11 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<12 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<13 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	6<chiso range<11 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	6<chiso range<12 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	6<chiso range<13 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	7<chiso range<12 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	7<chiso range<13 	32.3912	6.92192e-310	6.95267e-310	inf
20  <pt<25 	8<chiso range<13 	32.3912	6.92192e-310	6.95267e-310	inf
#######################################################################################
25  <pt<30 	3<chiso range<8 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	3<chiso range<9 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	3<chiso range<10 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	3<chiso range<11 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	3<chiso range<12 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	3<chiso range<13 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	4<chiso range<9 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	4<chiso range<10 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	4<chiso range<11 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	4<chiso range<12 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	4<chiso range<13 	20.996	6.92192e-310	6.95267e-310	inf
25  <pt<30 	5<chiso range<10 	20.996	6.92192e-310	6.95267e-310	inf
