pt range	total	half	sum	chiso
20~400		74	37	36	5.94925
20~400		74	37	36	5.9495
20~400		74	37	36	5.94975
20~400		74	37	36	5.95
20~400		74	37	36	5.95025
20~400		74	37	36	5.9505
20~400		74	37	36	5.95075
20~400		74	37	36	5.951
20~400		74	37	36	5.95125
20~400		74	37	36	5.9515
20~400		74	37	36	5.95175
20~400		74	37	36	5.952
20~400		74	37	36	5.95225
20~400		74	37	36	5.9525
20~400		74	37	36	5.95275
20~400		74	37	36	5.953
20~400		74	37	36	5.95325
20~400		74	37	36	5.9535
20~400		74	37	36	5.95375
20~400		74	37	36	5.954
20~400		74	37	36	5.95425
20~400		74	37	36	5.9545
20~400		74	37	36	5.95475
20~400		74	37	36	5.955
20~400		74	37	36	5.95525
20~400		74	37	36	5.9555
20~400		74	37	36	5.95575
20~400		74	37	36	5.956
20~400		74	37	36	5.95625
20~400		74	37	36	5.9565
20~400		74	37	36	5.95675
20~400		74	37	36	5.957
20~400		74	37	36	5.95725
20~400		74	37	36	5.9575
20~400		74	37	36	5.95775
20~400		74	37	36	5.958
20~400		74	37	36	5.95825
20~400		74	37	36	5.9585
20~400		74	37	36	5.95875
20~400		74	37	37	5.959
20~400		74	37	37	5.95925
20~400		74	37	37	5.9595
20~400		74	37	37	5.95975
20~400		74	37	37	5.96
20~400		74	37	37	5.96025
20~400		74	37	37	5.9605
20~400		74	37	37	5.96075
20~400		74	37	37	5.961
20~400		74	37	37	5.96125
20~400		74	37	37	5.9615
20~400		74	37	37	5.96175
20~400		74	37	37	5.962
20~400		74	37	37	5.96225
20~400		74	37	37	5.9625
20~400		74	37	37	5.96275
20~400		74	37	37	5.963
20~400		74	37	37	5.96325
20~400		74	37	37	5.9635
20~400		74	37	37	5.96375
20~400		74	37	37	5.964
20~400		74	37	37	5.96425
20~400		74	37	37	5.9645
20~400		74	37	37	5.96475
20~400		74	37	37	5.965
20~400		74	37	37	5.96525
20~400		74	37	37	5.9655
20~400		74	37	37	5.96575
20~400		74	37	37	5.966
20~400		74	37	37	5.96625
20~400		74	37	37	5.9665
20~400		74	37	37	5.96675
20~400		74	37	37	5.967
20~400		74	37	37	5.96725
20~400		74	37	37	5.9675
20~400		74	37	37	5.96775
20~400		74	37	37	5.968
20~400		74	37	37	5.96825
20~400		74	37	37	5.9685
20~400		74	37	37	5.96875
20~400		74	37	37	5.969
20~400		74	37	37	5.96925
20~400		74	37	37	5.9695
20~400		74	37	37	5.96975
20~400		74	37	37	5.97
20~400		74	37	37	5.97025
20~400		74	37	37	5.9705
20~400		74	37	37	5.97075
20~400		74	37	37	5.971
20~400		74	37	37	5.97125
20~400		74	37	37	5.9715
20~400		74	37	37	5.97175
20~400		74	37	37	5.972
20~400		74	37	37	5.97225
20~400		74	37	37	5.9725
20~400		74	37	37	5.97275
20~400		74	37	37	5.973
20~400		74	37	37	5.97325
20~400		74	37	37	5.9735
20~400		74	37	37	5.97375
20~400		74	37	37	5.974
20~400		74	37	37	5.97425
20~400		74	37	37	5.9745
20~400		74	37	37	5.97475
20~400		74	37	37	5.975
20~400		74	37	37	5.97525
20~400		74	37	37	5.9755
20~400		74	37	37	5.97575
20~400		74	37	37	5.976
20~400		74	37	37	5.97625
20~400		74	37	37	5.9765
20~400		74	37	37	5.97675
20~400		74	37	37	5.977
20~400		74	37	37	5.97725
20~400		74	37	37	5.9775
20~400		74	37	37	5.97775
20~400		74	37	37	5.978
20~400		74	37	37	5.97825
20~400		74	37	37	5.9785
20~400		74	37	37	5.97875
20~400		74	37	37	5.979
20~400		74	37	37	5.97925
20~400		74	37	37	5.9795
20~400		74	37	37	5.97975
20~400		74	37	37	5.98
20~400		74	37	37	5.98025
20~400		74	37	37	5.9805
20~400		74	37	37	5.98075
20~400		74	37	37	5.981
20~400		74	37	37	5.98125
20~400		74	37	37	5.9815
20~400		74	37	37	5.98175
20~400		74	37	37	5.982
20~400		74	37	37	5.98225
20~400		74	37	37	5.9825
20~400		74	37	37	5.98275
20~400		74	37	37	5.983
20~400		74	37	37	5.98325
20~400		74	37	37	5.9835
20~400		74	37	37	5.98375
20~400		74	37	37	5.984
20~400		74	37	37	5.98425
20~400		74	37	37	5.9845
20~400		74	37	37	5.98475
20~400		74	37	37	5.985
20~400		74	37	37	5.98525
20~400		74	37	37	5.9855
20~400		74	37	37	5.98575
20~400		74	37	37	5.986
20~400		74	37	37	5.98625
20~400		74	37	37	5.9865
20~400		74	37	37	5.98675
20~400		74	37	37	5.987
20~400		74	37	37	5.98725
20~400		74	37	37	5.9875
20~400		74	37	37	5.98775
20~400		74	37	37	5.988
20~400		74	37	37	5.98825
20~400		74	37	37	5.9885
20~400		74	37	37	5.98875
20~400		74	37	37	5.989
20~400		74	37	37	5.98925
20~400		74	37	37	5.9895
20~400		74	37	37	5.98975
20~400		74	37	37	5.99
20~400		74	37	37	5.99025
20~400		74	37	37	5.9905
20~400		74	37	37	5.99075
20~400		74	37	37	5.991
20~400		74	37	37	5.99125
20~400		74	37	37	5.9915
20~400		74	37	37	5.99175
20~400		74	37	37	5.992
20~400		74	37	37	5.99225
20~400		74	37	37	5.9925
20~400		74	37	37	5.99275
20~400		74	37	37	5.993
20~400		74	37	37	5.99325
20~400		74	37	37	5.9935
20~400		74	37	37	5.99375
20~400		74	37	37	5.994
20~400		74	37	37	5.99425
20~400		74	37	37	5.9945
20~400		74	37	37	5.99475
20~400		74	37	37	5.995
20~400		74	37	37	5.99525
20~400		74	37	37	5.9955
20~400		74	37	37	5.99575
20~400		74	37	37	5.996
20~400		74	37	37	5.99625
20~400		74	37	37	5.9965
20~400		74	37	37	5.99675
20~400		74	37	37	5.997
20~400		74	37	37	5.99725
20~400		74	37	37	5.9975
20~400		74	37	37	5.99775
20~400		74	37	37	5.998
20~400		74	37	37	5.99825
20~400		74	37	37	5.9985
20~400		74	37	37	5.99875
20~400		74	37	37	5.999
20~400		74	37	37	5.99925
20~400		74	37	37	5.9995
20~400		74	37	37	5.99975
20~400		74	37	37	6
20~400		74	37	37	6.00025
20~400		74	37	37	6.0005
20~400		74	37	37	6.00075
20~400		74	37	37	6.001
20~400		74	37	37	6.00125
20~400		74	37	37	6.0015
20~400		74	37	37	6.00175
20~400		74	37	37	6.002
20~400		74	37	37	6.00225
20~400		74	37	37	6.0025
20~400		74	37	37	6.00275
20~400		74	37	37	6.003
20~400		74	37	37	6.00325
20~400		74	37	37	6.0035
20~400		74	37	37	6.00375
20~400		74	37	37	6.004
20~400		74	37	37	6.00425
20~400		74	37	37	6.0045
20~400		74	37	37	6.00475
20~400		74	37	37	6.005
20~400		74	37	37	6.00525
20~400		74	37	37	6.0055
20~400		74	37	37	6.00575
20~400		74	37	37	6.006
20~400		74	37	37	6.00625
20~400		74	37	37	6.0065
20~400		74	37	37	6.00675
20~400		74	37	37	6.007
20~400		74	37	37	6.00725
20~400		74	37	37	6.0075
20~400		74	37	37	6.00775
20~400		74	37	37	6.008
20~400		74	37	37	6.00825
20~400		74	37	37	6.0085
20~400		74	37	37	6.00875
20~400		74	37	37	6.009
20~400		74	37	38	6.00925
20~400		74	37	38	6.0095
20~400		74	37	38	6.00975
20~400		74	37	38	6.01
20~400		74	37	38	6.01025
20~400		74	37	38	6.0105
20~400		74	37	38	6.01075
20~400		74	37	38	6.011
20~400		74	37	38	6.01125
20~400		74	37	38	6.0115
20~400		74	37	38	6.01175
