pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	118.85	51.9632	0.437217	0.446388	0.0478182	0.191796
20 <pt<25 	3<chiso range<9 	118.85	51.9632	0.437217	0.447492	0.0481167	0.21355
20 <pt<25 	3<chiso range<10 	118.85	51.9632	0.437217	0.455526	0.0491359	0.372627
20 <pt<25 	3<chiso range<11 	118.85	51.9632	0.437217	0.461081	0.0497993	0.47921
20 <pt<25 	3<chiso range<12 	118.85	51.9632	0.437217	0.456619	0.0492939	0.393605
20 <pt<25 	3<chiso range<13 	118.85	51.9632	0.437217	0.451655	0.0487379	0.296245
20 <pt<25 	4<chiso range<9 	118.85	51.9632	0.437217	0.421756	0.0452937	0.341342
20 <pt<25 	4<chiso range<10 	118.85	51.9632	0.437217	0.436143	0.0470271	0.0228307
20 <pt<25 	4<chiso range<11 	118.85	51.9632	0.437217	0.445213	0.0480882	0.166285
20 <pt<25 	4<chiso range<12 	118.85	51.9632	0.437217	0.441852	0.0476989	0.0971792
20 <pt<25 	4<chiso range<13 	118.85	51.9632	0.437217	0.437742	0.047233	0.0111223
20 <pt<25 	5<chiso range<10 	118.85	51.9632	0.437217	0.431286	0.0465494	0.127406
20 <pt<25 	5<chiso range<11 	118.85	51.9632	0.437217	0.442687	0.0478528	0.114316
20 <pt<25 	5<chiso range<12 	118.85	51.9632	0.437217	0.439164	0.0474441	0.0410449
20 <pt<25 	5<chiso range<13 	118.85	51.9632	0.437217	0.434796	0.0469476	0.0515609
20 <pt<25 	6<chiso range<11 	118.85	51.9632	0.437217	0.464405	0.0501471	0.542172
20 <pt<25 	6<chiso range<12 	118.85	51.9632	0.437217	0.45674	0.0492838	0.396141
20 <pt<25 	6<chiso range<13 	118.85	51.9632	0.437217	0.449116	0.0484319	0.245692
20 <pt<25 	7<chiso range<12 	118.85	51.9632	0.437217	0.467312	0.0505283	0.595614
20 <pt<25 	7<chiso range<13 	118.85	51.9632	0.437217	0.456469	0.0493091	0.390442
20 <pt<25 	8<chiso range<13 	118.85	51.9632	0.437217	0.455546	0.0492891	0.371874
#######################################################################################
25 <pt<30 	3<chiso range<8 	64.6011	23.1918	0.359	0.353607	0.0614906	0.0877057
25 <pt<30 	3<chiso range<9 	64.6011	23.1918	0.359	0.326328	0.0567319	0.575903
25 <pt<30 	3<chiso range<10 	64.6011	23.1918	0.359	0.362836	0.0629433	0.0609425
25 <pt<30 	3<chiso range<11 	64.6011	23.1918	0.359	0.35503	0.0616849	0.0643606
25 <pt<30 	3<chiso range<12 	64.6011	23.1918	0.359	0.355622	0.0618292	0.0546357
25 <pt<30 	3<chiso range<13 	64.6011	23.1918	0.359	0.371516	0.0645614	0.193861
25 <pt<30 	4<chiso range<9 	64.6011	23.1918	0.359	0.329781	0.0571881	0.510929
25 <pt<30 	4<chiso range<10 	64.6011	23.1918	0.359	0.372438	0.0643477	0.208833
25 <pt<30 	4<chiso range<11 	64.6011	23.1918	0.359	0.362523	0.0628389	0.0560627
25 <pt<30 	4<chiso range<12 	64.6011	23.1918	0.359	0.362621	0.0629426	0.0575274
25 <pt<30 	4<chiso range<13 	64.6011	23.1918	0.359	0.380208	0.0659555	0.321549
25 <pt<30 	5<chiso range<10 	64.6011	23.1918	0.359	0.331249	0.0573344	0.484021
25 <pt<30 	5<chiso range<11 	64.6011	23.1918	0.359	0.325661	0.0565349	0.589708
25 <pt<30 	5<chiso range<12 	64.6011	23.1918	0.359	0.329809	0.0573175	0.509287
25 <pt<30 	5<chiso range<13 	64.6011	23.1918	0.359	0.352262	0.0611859	0.110125
25 <pt<30 	6<chiso range<11 	64.6011	23.1918	0.359	0.346074	0.0600942	0.215097
25 <pt<30 	6<chiso range<12 	64.6011	23.1918	0.359	0.348308	0.0605522	0.176576
25 <pt<30 	6<chiso range<13 	64.6011	23.1918	0.359	0.373625	0.0648994	0.225348
25 <pt<30 	7<chiso range<12 	64.6011	23.1918	0.359	0.353894	0.0615068	0.0830165
25 <pt<30 	7<chiso range<13 	64.6011	23.1918	0.359	0.382834	0.0664709	0.358562
25 <pt<30 	8<chiso range<13 	64.6011	23.1918	0.359	0.395756	0.0686553	0.535369
#######################################################################################
30 <pt<40 	3<chiso range<8 	54.7193	20.8391	0.380836	0.283594	0.0599967	1.6208
30 <pt<40 	3<chiso range<9 	54.7193	20.8391	0.380836	0.278329	0.0589123	1.74
30 <pt<40 	3<chiso range<10 	54.7193	20.8391	0.380836	0.264745	0.056058	2.07092
30 <pt<40 	3<chiso range<11 	54.7193	20.8391	0.380836	0.25419	0.053836	2.35245
30 <pt<40 	3<chiso range<12 	54.7193	20.8391	0.380836	0.243274	0.0515411	2.66898
30 <pt<40 	3<chiso range<13 	54.7193	20.8391	0.380836	0.241844	0.0512435	2.71239
30 <pt<40 	4<chiso range<9 	54.7193	20.8391	0.380836	0.267432	0.0566167	2.00302
30 <pt<40 	4<chiso range<10 	54.7193	20.8391	0.380836	0.254362	0.0538653	2.34797
30 <pt<40 	4<chiso range<11 	54.7193	20.8391	0.380836	0.243547	0.0515908	2.66112
30 <pt<40 	4<chiso range<12 	54.7193	20.8391	0.380836	0.231853	0.0491407	3.03177
30 <pt<40 	4<chiso range<13 	54.7193	20.8391	0.380836	0.231347	0.0490368	3.04851
30 <pt<40 	5<chiso range<10 	54.7193	20.8391	0.380836	0.245551	0.0520006	2.60161
30 <pt<40 	5<chiso range<11 	54.7193	20.8391	0.380836	0.234144	0.0496134	2.95671
30 <pt<40 	5<chiso range<12 	54.7193	20.8391	0.380836	0.222212	0.0471055	3.36743
30 <pt<40 	5<chiso range<13 	54.7193	20.8391	0.380836	0.222729	0.0472163	3.34858
30 <pt<40 	6<chiso range<11 	54.7193	20.8391	0.380836	0.242384	0.0513056	2.69858
30 <pt<40 	6<chiso range<12 	54.7193	20.8391	0.380836	0.227121	0.0481309	3.19369
30 <pt<40 	6<chiso range<13 	54.7193	20.8391	0.380836	0.227077	0.0481261	3.19493
30 <pt<40 	7<chiso range<12 	54.7193	20.8391	0.380836	0.223917	0.0474661	3.30593
30 <pt<40 	7<chiso range<13 	54.7193	20.8391	0.380836	0.224303	0.0475465	3.29222
30 <pt<40 	8<chiso range<13 	54.7193	20.8391	0.380836	0.199497	0.0422942	4.28757
#######################################################################################
40 <pt<60 	3<chiso range<8 	34.3508	11.2262	0.32681	0.236887	0.0624603	1.43969
40 <pt<60 	3<chiso range<9 	34.3508	11.2262	0.32681	0.234344	0.0618008	1.4962
40 <pt<60 	3<chiso range<10 	34.3508	11.2262	0.32681	0.228645	0.0603367	1.62696
40 <pt<60 	3<chiso range<11 	34.3508	11.2262	0.32681	0.226581	0.0598083	1.67584
40 <pt<60 	3<chiso range<12 	34.3508	11.2262	0.32681	0.232859	0.061465	1.52854
40 <pt<60 	3<chiso range<13 	34.3508	11.2262	0.32681	0.22192	0.0586005	1.78992
40 <pt<60 	4<chiso range<9 	34.3508	11.2262	0.32681	0.21977	0.0579673	1.84657
40 <pt<60 	4<chiso range<10 	34.3508	11.2262	0.32681	0.216225	0.0570707	1.93769
40 <pt<60 	4<chiso range<11 	34.3508	11.2262	0.32681	0.215705	0.0569491	1.95096
40 <pt<60 	4<chiso range<12 	34.3508	11.2262	0.32681	0.223394	0.0589807	1.75339
40 <pt<60 	4<chiso range<13 	34.3508	11.2262	0.32681	0.2127	0.0561801	2.03115
40 <pt<60 	5<chiso range<10 	34.3508	11.2262	0.32681	0.202173	0.0533554	2.33599
40 <pt<60 	5<chiso range<11 	34.3508	11.2262	0.32681	0.203826	0.0538122	2.28544
40 <pt<60 	5<chiso range<12 	34.3508	11.2262	0.32681	0.213525	0.056373	2.00957
40 <pt<60 	5<chiso range<13 	34.3508	11.2262	0.32681	0.202975	0.0536185	2.30957
40 <pt<60 	6<chiso range<11 	34.3508	11.2262	0.32681	0.208516	0.0550697	2.14809
40 <pt<60 	6<chiso range<12 	34.3508	11.2262	0.32681	0.219317	0.0579146	1.85607
40 <pt<60 	6<chiso range<13 	34.3508	11.2262	0.32681	0.206318	0.0545096	2.21048
40 <pt<60 	7<chiso range<12 	34.3508	11.2262	0.32681	0.208603	0.0551117	2.14487
40 <pt<60 	7<chiso range<13 	34.3508	11.2262	0.32681	0.195352	0.0516294	2.54619
40 <pt<60 	8<chiso range<13 	34.3508	11.2262	0.32681	0.205912	0.0543947	2.22261
#######################################################################################
60 <pt<400 	3<chiso range<8 	16.3351	6.11727	0.374486	0.105119	0.0389874	6.90908
60 <pt<400 	3<chiso range<9 	16.3351	6.11727	0.374486	0.102701	0.0380718	7.13875
60 <pt<400 	3<chiso range<10 	16.3351	6.11727	0.374486	0.103357	0.0382859	7.0817
60 <pt<400 	3<chiso range<11 	16.3351	6.11727	0.374486	0.106452	0.0394222	6.79907
60 <pt<400 	3<chiso range<12 	16.3351	6.11727	0.374486	0.10369	0.0384214	7.04806
60 <pt<400 	3<chiso range<13 	16.3351	6.11727	0.374486	0.103153	0.038243	7.09498
60 <pt<400 	4<chiso range<9 	16.3351	6.11727	0.374486	0.106943	0.0395899	6.75787
60 <pt<400 	4<chiso range<10 	16.3351	6.11727	0.374486	0.10701	0.0395833	6.7573
60 <pt<400 	4<chiso range<11 	16.3351	6.11727	0.374486	0.11013	0.040732	6.49014
60 <pt<400 	4<chiso range<12 	16.3351	6.11727	0.374486	0.10653	0.039438	6.79437
60 <pt<400 	4<chiso range<13 	16.3351	6.11727	0.374486	0.105864	0.0392061	6.85154
60 <pt<400 	5<chiso range<10 	16.3351	6.11727	0.374486	0.10399	0.0384373	7.03734
60 <pt<400 	5<chiso range<11 	16.3351	6.11727	0.374486	0.1082	0.0399928	6.65835
60 <pt<400 	5<chiso range<12 	16.3351	6.11727	0.374486	0.104268	0.0385861	7.00299
60 <pt<400 	5<chiso range<13 	16.3351	6.11727	0.374486	0.103767	0.0384196	7.04638
60 <pt<400 	6<chiso range<11 	16.3351	6.11727	0.374486	0.110629	0.0408715	6.45578
60 <pt<400 	6<chiso range<12 	16.3351	6.11727	0.374486	0.105488	0.0390336	6.89145
60 <pt<400 	6<chiso range<13 	16.3351	6.11727	0.374486	0.104731	0.0387765	6.95667
60 <pt<400 	7<chiso range<12 	16.3351	6.11727	0.374486	0.0909569	0.0336521	8.42531
