pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	51.9632	54.7844	5.75842	0.489926
20 <pt<25 	3<chiso range<9 	51.9632	54.9199	5.7952	0.510198
20 <pt<25 	3<chiso range<10 	51.9632	55.9058	5.91868	0.666128
20 <pt<25 	3<chiso range<11 	51.9632	56.5877	5.99888	0.770894
20 <pt<25 	3<chiso range<12 	51.9632	56.04	5.93789	0.686574
20 <pt<25 	3<chiso range<13 	51.9632	55.4309	5.87082	0.590667
20 <pt<25 	4<chiso range<9 	51.9632	51.7614	5.45495	0.0369939
20 <pt<25 	4<chiso range<10 	51.9632	53.5271	5.66458	0.276084
20 <pt<25 	4<chiso range<11 	51.9632	54.6401	5.79278	0.46211
20 <pt<25 	4<chiso range<12 	51.9632	54.2277	5.74576	0.394117
20 <pt<25 	4<chiso range<13 	51.9632	53.7232	5.68953	0.30934
20 <pt<25 	5<chiso range<10 	51.9632	52.9309	5.60725	0.17258
20 <pt<25 	5<chiso range<11 	51.9632	54.3302	5.76458	0.410611
20 <pt<25 	5<chiso range<12 	51.9632	53.8979	5.71523	0.338517
20 <pt<25 	5<chiso range<13 	51.9632	53.3617	5.6553	0.24729
20 <pt<25 	6<chiso range<11 	51.9632	56.9956	6.04072	0.83308
20 <pt<25 	6<chiso range<12 	51.9632	56.0549	5.93657	0.689236
20 <pt<25 	6<chiso range<13 	51.9632	55.1192	5.83381	0.540984
20 <pt<25 	7<chiso range<12 	51.9632	57.3524	6.08696	0.885368
20 <pt<25 	7<chiso range<13 	51.9632	56.0216	5.93986	0.683248
20 <pt<25 	8<chiso range<13 	51.9632	55.9083	5.93782	0.664402
#######################################################################################
25 <pt<30 	3<chiso range<8 	23.1918	23.8291	4.09597	0.155592
25 <pt<30 	3<chiso range<9 	23.1918	21.9908	3.77897	0.317811
25 <pt<30 	3<chiso range<10 	23.1918	24.451	4.1925	0.300346
25 <pt<30 	3<chiso range<11 	23.1918	23.925	4.10883	0.178445
25 <pt<30 	3<chiso range<12 	23.1918	23.9649	4.11851	0.187714
25 <pt<30 	3<chiso range<13 	23.1918	25.036	4.30045	0.428839
25 <pt<30 	4<chiso range<9 	23.1918	22.2235	3.80913	0.254205
25 <pt<30 	4<chiso range<10 	23.1918	25.0981	4.28563	0.444812
25 <pt<30 	4<chiso range<11 	23.1918	24.4299	4.18547	0.295809
25 <pt<30 	4<chiso range<12 	23.1918	24.4365	4.19251	0.296887
25 <pt<30 	4<chiso range<13 	23.1918	25.6217	4.39313	0.553114
25 <pt<30 	5<chiso range<10 	23.1918	22.3224	3.8187	0.227669
25 <pt<30 	5<chiso range<11 	23.1918	21.9459	3.76572	0.330853
25 <pt<30 	5<chiso range<12 	23.1918	22.2254	3.81794	0.253121
25 <pt<30 	5<chiso range<13 	23.1918	23.7385	4.07557	0.134141
25 <pt<30 	6<chiso range<11 	23.1918	23.3215	4.00282	0.0324022
25 <pt<30 	6<chiso range<12 	23.1918	23.472	4.03344	0.0694692
25 <pt<30 	6<chiso range<13 	23.1918	25.1781	4.32292	0.459481
25 <pt<30 	7<chiso range<12 	23.1918	23.8485	4.097	0.160288
25 <pt<30 	7<chiso range<13 	23.1918	25.7987	4.42755	0.588791
25 <pt<30 	8<chiso range<13 	23.1918	26.6695	4.57297	0.76049
#######################################################################################
30 <pt<40 	3<chiso range<8 	20.8391	19.8743	4.17655	0.231004
30 <pt<40 	3<chiso range<9 	20.8391	19.5053	4.10109	0.325231
30 <pt<40 	3<chiso range<10 	20.8391	18.5533	3.90241	0.585741
30 <pt<40 	3<chiso range<11 	20.8391	17.8137	3.74774	0.80726
30 <pt<40 	3<chiso range<12 	20.8391	17.0487	3.588	1.05641
30 <pt<40 	3<chiso range<13 	20.8391	16.9484	3.56729	1.09066
30 <pt<40 	4<chiso range<9 	20.8391	18.7417	3.9413	0.532159
30 <pt<40 	4<chiso range<10 	20.8391	17.8257	3.74978	0.80362
30 <pt<40 	4<chiso range<11 	20.8391	17.0678	3.59146	1.05007
30 <pt<40 	4<chiso range<12 	20.8391	16.2483	3.42092	1.34198
30 <pt<40 	4<chiso range<13 	20.8391	16.2128	3.41369	1.35522
30 <pt<40 	5<chiso range<10 	20.8391	17.2082	3.61997	1.00302
30 <pt<40 	5<chiso range<11 	20.8391	16.4088	3.45381	1.28273
30 <pt<40 	5<chiso range<12 	20.8391	15.5726	3.27925	1.60601
30 <pt<40 	5<chiso range<13 	20.8391	15.6088	3.28696	1.59123
30 <pt<40 	6<chiso range<11 	20.8391	16.9862	3.57156	1.07877
30 <pt<40 	6<chiso range<12 	20.8391	15.9167	3.35061	1.46911
30 <pt<40 	6<chiso range<13 	20.8391	15.9135	3.35028	1.47021
30 <pt<40 	7<chiso range<12 	20.8391	15.6921	3.30435	1.55764
30 <pt<40 	7<chiso range<13 	20.8391	15.7192	3.30994	1.54683
30 <pt<40 	8<chiso range<13 	20.8391	13.9808	2.94431	2.32934
#######################################################################################
40 <pt<60 	3<chiso range<8 	11.2262	12.9982	3.41169	0.519391
40 <pt<60 	3<chiso range<9 	11.2262	12.8587	3.37567	0.483608
40 <pt<60 	3<chiso range<10 	11.2262	12.546	3.29572	0.400459
40 <pt<60 	3<chiso range<11 	11.2262	12.4327	3.26687	0.369314
40 <pt<60 	3<chiso range<12 	11.2262	12.7772	3.35736	0.46197
40 <pt<60 	3<chiso range<13 	11.2262	12.177	3.2009	0.297041
40 <pt<60 	4<chiso range<9 	11.2262	12.059	3.16629	0.263021
40 <pt<60 	4<chiso range<10 	11.2262	11.8645	3.11733	0.204759
40 <pt<60 	4<chiso range<11 	11.2262	11.836	3.1107	0.196033
40 <pt<60 	4<chiso range<12 	11.2262	12.2579	3.22167	0.320238
40 <pt<60 	4<chiso range<13 	11.2262	11.6711	3.06871	0.144979
40 <pt<60 	5<chiso range<10 	11.2262	11.0934	2.91439	0.045567
40 <pt<60 	5<chiso range<11 	11.2262	11.1841	2.93935	0.0143229
40 <pt<60 	5<chiso range<12 	11.2262	11.7164	3.07923	0.159196
40 <pt<60 	5<chiso range<13 	11.2262	11.1375	2.92879	0.0302855
40 <pt<60 	6<chiso range<11 	11.2262	11.4415	3.00805	0.0715746
40 <pt<60 	6<chiso range<12 	11.2262	12.0342	3.16344	0.255418
40 <pt<60 	6<chiso range<13 	11.2262	11.3209	2.97747	0.0318055
40 <pt<60 	7<chiso range<12 	11.2262	11.4463	3.01035	0.0731144
40 <pt<60 	7<chiso range<13 	11.2262	10.7192	2.82015	0.179778
