pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	0	69.216	12.217	5.66555
20  <pt<25 	3<chiso range<9 	0	68.6558	12.3151	5.57493
20  <pt<25 	3<chiso range<10 	0	67.2559	12.4455	5.40403
20  <pt<25 	3<chiso range<11 	0	66.3941	12.5145	5.30537
20  <pt<25 	3<chiso range<12 	0	67.0196	12.4732	5.37309
20  <pt<25 	3<chiso range<13 	0	67.6977	12.4308	5.44596
20  <pt<25 	4<chiso range<9 	0	72.0151	12.133	5.93547
20  <pt<25 	4<chiso range<10 	0	69.7224	12.3157	5.66126
20  <pt<25 	4<chiso range<11 	0	68.3642	12.4155	5.50636
20  <pt<25 	4<chiso range<12 	0	68.8578	12.3805	5.56179
20  <pt<25 	4<chiso range<13 	0	69.4336	12.3432	5.62525
20  <pt<25 	5<chiso range<10 	0	70.215	12.3105	5.70367
20  <pt<25 	5<chiso range<11 	0	68.5784	12.4197	5.52174
20  <pt<25 	5<chiso range<12 	0	69.0977	12.3827	5.58018
20  <pt<25 	5<chiso range<13 	0	69.7134	12.3426	5.64819
20  <pt<25 	6<chiso range<11 	0	66.0001	12.5306	5.26711
20  <pt<25 	6<chiso range<12 	0	67.051	12.4625	5.38022
20  <pt<25 	6<chiso range<13 	0	68.0809	12.3989	5.49088
20  <pt<25 	7<chiso range<12 	0	65.5805	12.5795	5.21328
20  <pt<25 	7<chiso range<13 	0	66.9412	12.4895	5.3598
20  <pt<25 	8<chiso range<13 	0	66.8381	12.5262	5.33586
#######################################################################################
25  <pt<30 	3<chiso range<8 	0	43.591	9.12212	4.7786
25  <pt<30 	3<chiso range<9 	0	45.4985	8.98262	5.06517
25  <pt<30 	3<chiso range<10 	0	43.0626	9.13747	4.71275
25  <pt<30 	3<chiso range<11 	0	43.5248	9.11795	4.77353
25  <pt<30 	3<chiso range<12 	0	43.4528	9.1309	4.75887
25  <pt<30 	3<chiso range<13 	0	42.3881	9.2111	4.60185
25  <pt<30 	4<chiso range<9 	0	45.3594	8.96715	5.0584
25  <pt<30 	4<chiso range<10 	0	42.5681	9.13198	4.66143
25  <pt<30 	4<chiso range<11 	0	43.1031	9.12551	4.72336
25  <pt<30 	4<chiso range<12 	0	43.0336	9.14617	4.7051
25  <pt<30 	4<chiso range<13 	0	41.8586	9.23472	4.53274
25  <pt<30 	5<chiso range<10 	0	45.3409	8.94896	5.06661
25  <pt<30 	5<chiso range<11 	0	45.5874	8.96094	5.08735
25  <pt<30 	5<chiso range<12 	0	45.2619	8.99738	5.03056
25  <pt<30 	5<chiso range<13 	0	43.7105	9.10022	4.80324
25  <pt<30 	6<chiso range<11 	0	44.1464	9.06425	4.87039
25  <pt<30 	6<chiso range<12 	0	43.9417	9.09169	4.83317
25  <pt<30 	6<chiso range<13 	0	42.2493	9.21751	4.58359
25  <pt<30 	7<chiso range<12 	0	43.5716	9.11768	4.7788
25  <pt<30 	7<chiso range<13 	0	41.6379	9.26327	4.49495
